"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"Germany","33.90%","1401","33.91%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Netherlands","8.47%","347","8.40%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Colombia","6.10%","250","6.05%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chile","4.07%","165","3.99%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Australia","3.73%","154","3.73%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Turkey","3.73%","153","3.70%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hungary","3.39%","142","3.44%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Argentina","3.39%","140","3.39%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Spain","3.05%","133","3.22%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Belgium","2.71%","118","2.86%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Japan","2.71%","115","2.78%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"India","2.37%","93","2.25%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Italy","2.03%","82","1.98%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mexico","2.03%","79","1.91%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Switzerland","1.69%","74","1.79%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Austria","1.69%","74","1.79%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United Kingdom","1.69%","73","1.77%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"France","1.69%","71","1.72%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canada","1.69%","68","1.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Poland","1.69%","67","1.62%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Brazil","1.36%","57","1.38%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Czech Republic","1.36%","53","1.28%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sweden","1.36%","51","1.23%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States","1.02%","49","1.19%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Finland","1.02%","43","1.04%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Portugal","1.02%","43","1.04%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Uruguay","1.02%","37","0.90%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
