"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-28","1980","0","16430","0","N/A","N/A","N/A","N/A","N/A","N/A","6358","0","0","1482","0","32"
"2023-03-29","1980","0","16360","-70","N/A","N/A","N/A","N/A","N/A","N/A","6361","3","112","1483","1","75"
"2023-03-30","1980","0","16225","-135","N/A","N/A","N/A","N/A","N/A","N/A","6361","0","0","1485","2","43"
"2023-03-31","1981","1","16055","-170","N/A","N/A","N/A","N/A","N/A","N/A","6363","2","20","1486","1","124"
"2023-04-01","1982","1","15967","-88","N/A","N/A","N/A","N/A","N/A","N/A","6363","0","0","1489","3","83"
"2023-04-02","1983","1","15777","-190","N/A","N/A","N/A","N/A","N/A","N/A","6365","2","0","1489","0","72"
"2023-04-03","1985","2","15567","-210","N/A","N/A","N/A","N/A","N/A","N/A","6365","0","0","1489","0","32"
"2023-04-04","1986","1","15384","-183","N/A","N/A","N/A","N/A","N/A","N/A","6364","-1","1","1489","0","31"
"2023-04-05","1987","1","15174","-210","N/A","N/A","N/A","N/A","N/A","N/A","6364","0","0","1492","3","52"
"2023-04-06","1987","0","14982","-192","N/A","N/A","N/A","N/A","N/A","N/A","6368","4","0","1494","2","26"
"2023-04-07","1987","0","14694","-288","N/A","N/A","N/A","N/A","N/A","N/A","6368","0","0","1494","0","49"
"2023-04-08","1989","2","14552","-142","N/A","N/A","N/A","N/A","N/A","N/A","6369","1","0","1497","3","24"
"2023-04-09","1989","0","14317","-235","N/A","N/A","N/A","N/A","N/A","N/A","6369","0","0","1501","4","39"
"2023-04-10","1989","0","14138","-179","N/A","N/A","N/A","N/A","N/A","N/A","6365","-4","0","1500","-1","19"
"2023-04-11","1990","1","13936","-202","N/A","N/A","N/A","N/A","N/A","N/A","6365","0","0","1500","0","45"
"2023-04-12","1990","0","13582","-354","N/A","N/A","N/A","N/A","N/A","N/A","6362","-3","109","1500","0","10"
"2023-04-13","1992","2","13325","-257","N/A","N/A","N/A","N/A","N/A","N/A","6362","0","0","1501","1","24"
"2023-04-14","1993","1","13085","-240","N/A","N/A","N/A","N/A","N/A","N/A","6364","2","6","1503","2","19"
"2023-04-15","1996","3","12798","-287","N/A","N/A","N/A","N/A","N/A","N/A","6364","0","0","1503","0","43"
"2023-04-16","1997","1","12495","-303","N/A","N/A","N/A","N/A","N/A","N/A","6362","-2","133","1505","2","19"
"2023-04-17","2000","3","12232","-263","N/A","N/A","N/A","N/A","N/A","N/A","6362","0","0","1507","2","20"
"2023-04-18","2000","0","12031","-201","N/A","N/A","N/A","N/A","N/A","N/A","6360","-2","10","1507","0","21"
"2023-04-19","1999","-1","11824","-207","N/A","N/A","N/A","N/A","N/A","N/A","6360","0","0","1507","0","31"
"2023-04-20","2002","3","11590","-234","N/A","N/A","N/A","N/A","N/A","N/A","6359","-1","0","1509","2","39"
"2023-04-21","2002","0","11286","-304","N/A","N/A","N/A","N/A","N/A","N/A","6359","0","0","1510","1","15"
"2023-04-22","2003","1","10945","-341","N/A","N/A","N/A","N/A","N/A","N/A","6360","1","0","1510","0","21"
"2023-04-23","2004","1","10726","-219","N/A","N/A","N/A","N/A","N/A","N/A","6360","0","0","1511","1","25"
"2023-04-24","2004","0","11457","731","N/A","N/A","N/A","N/A","N/A","N/A","6360","0","0","1511","0","10"
