"Date","New followers","Total followers"
"2023-03-13","-1","1477"
"2023-03-20","2","1478"
"2023-03-27","11","1479"
"2023-04-03","12","1489"
"2023-04-10","4","1500"
"2023-04-17","6","1507"
"2023-04-24","13","1511"
"2023-05-01","11","1529"
"2023-05-08","12","1537"
"2023-05-15","19","1549"
"2023-05-22","15","1571"
"2023-05-29","6","1582"
"2023-06-05","4","1588"
"2023-06-12","6","1592"
"2023-06-19","2","1596"
"2023-06-26","4","1599"
"2023-07-03","5","1603"
"2023-07-10","14","1609"
"2023-07-17","8","1623"
"2023-07-24","14","1632"
"2023-07-31","7","1645"
"2023-08-07","7","1653"
"2023-08-14","8","1659"
"2023-08-21","4","1668"
"2023-08-28","6","1670"
"2023-09-04","6","1676"
"2023-09-11","9","1681"
"2023-09-18","15","1692"
"2023-09-25","8","1706"
"2023-10-02","14","1716"
"2023-10-09","2","1728"
"2023-10-16","4","1730"
"2023-10-23","9","1734"
"2023-10-30","7","1744"
"2023-11-06","19","1754"
"2023-11-13","10","1769"
"2023-11-20","9","1779"
"2023-11-27","8","1788"
"2023-12-04","8","1800"
"2023-12-11","6","1805"
"2023-12-18","11","1810"
"2023-12-25","5","1821"
"2024-01-01","8","1829"
"2024-01-08","7","1835"
"2024-01-15","0","1842"
"2024-01-22","0","1842"
"2024-01-29","4","1842"
"2024-02-05","4","1847"
