"Date","Plays"
"2023-03-20","92"
"2023-03-27","105"
"2023-04-03","448"
"2023-04-10","253"
"2023-04-17","179"
"2023-04-24","172"
"2023-05-01","668"
"2023-05-08","573"
"2023-05-15","468"
"2023-05-22","457"
"2023-05-29","802"
"2023-06-05","364"
"2023-06-12","345"
"2023-06-19","332"
"2023-06-26","303"
"2023-07-03","234"
"2023-07-10","273"
"2023-07-17","257"
"2023-07-24","311"
"2023-07-31","569"
"2023-08-07","281"
"2023-08-14","309"
"2023-08-21","337"
"2023-08-28","247"
"2023-09-04","270"
"2023-09-11","193"
"2023-09-18","237"
"2023-09-25","848"
"2023-10-02","503"
"2023-10-09","386"
"2023-10-16","390"
"2023-10-23","314"
"2023-10-30","359"
"2023-11-06","319"
"2023-11-13","1099"
"2023-11-20","463"
"2023-11-27","312"
"2023-12-04","389"
"2023-12-11","270"
"2023-12-18","259"
"2023-12-25","275"
"2024-01-01","286"
"2024-01-08","259"
"2024-01-15","268"
"2024-01-22","259"
"2024-01-29","238"
"2024-02-05","242"
"2024-02-12","106"
