"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3626","0","0","N/A","N/A","N/A"
"2023-03-28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3625","-1","0","N/A","N/A","N/A"
"2023-03-29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3625","0","0","N/A","N/A","N/A"
"2023-03-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3626","1","0","N/A","N/A","N/A"
"2023-03-31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3626","0","0","N/A","N/A","N/A"
"2023-04-01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3626","0","0","N/A","N/A","N/A"
"2023-04-02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3628","2","-1","N/A","N/A","N/A"
"2023-04-03","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3628","0","0","N/A","N/A","N/A"
"2023-04-04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3629","1","2","N/A","N/A","N/A"
"2023-04-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3629","0","0","N/A","N/A","N/A"
"2023-04-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3629","0","0","N/A","N/A","N/A"
"2023-04-07","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3629","0","0","N/A","N/A","N/A"
"2023-04-08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3631","2","2","N/A","N/A","N/A"
"2023-04-09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3631","0","0","N/A","N/A","N/A"
"2023-04-10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3631","0","0","N/A","N/A","N/A"
"2023-04-11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3638","7","1","N/A","N/A","N/A"
"2023-04-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3638","0","0","N/A","N/A","N/A"
"2023-04-13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3638","0","0","N/A","N/A","N/A"
"2023-04-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3652","14","2","N/A","N/A","N/A"
