"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"Colombia","37.3134328358209","2880","37.300867763243104","-255","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mexico","29.47761194029851","2279","29.51690195570522","152","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Venezuela","8.955223880597014","688","8.91076285455252","79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ecuador","6.343283582089552","483","6.255666364460562","68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States","5.223880597014925","391","5.0641108664680745","77","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chile","3.731343283582089","288","3.73008677632431","-20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peru","2.6119402985074625","214","2.7716617018520915","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Spain","1.8656716417910446","156","2.0204636705090016","-7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Argentina","1.4925373134328357","123","1.5930578940551743","61","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Panama","1.1194029850746268","77","0.9972801450589301","-10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dominican Republic","0.7462686567164178","54","0.6993912705608082","-1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Guatemala","0.7462686567164178","46","0.595777748996244","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Costa Rica","0.3731343283582089","42","0.543970988213962","-1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
