"Date","Plays"
"2023-04-09","0"
"2023-04-16","0"
"2023-04-23","0"
"2023-04-30","0"
"2023-05-07","0"
"2023-05-14","0"
"2023-05-21","0"
"2023-05-28","0"
"2023-06-04","0"
"2023-06-11","0"
"2023-06-18","0"
"2023-06-25","0"
"2023-07-02","0"
"2023-07-09","0"
"2023-07-16","0"
"2023-07-23","0"
"2023-07-30","2"
"2023-08-06","2"
"2023-08-13","1"
"2023-08-20","5"
"2023-08-27","3"
"2023-09-03","1"
"2023-09-10","1"
"2023-09-17","3"
"2023-09-24","5"
"2023-10-01","1"
"2023-10-08","0"
"2023-10-15","830"
"2023-10-22","3980"
"2023-10-29","1405"
"2023-11-05","731"
"2023-11-12","453"
"2023-11-19","282"
"2023-11-26","270"
"2023-12-03","209"
"2023-12-10","132"
"2023-12-17","92"
"2023-12-24","85"
"2023-12-31","145"
"2024-01-07","90"
"2024-01-14","66"
"2024-01-21","71"
"2024-01-28","59"
"2024-02-04","32"
"2024-02-11","114"
"2024-02-18","67"
"2024-02-25","17"
"2024-03-03","0"
