"Date","Streams"
"2023-08-06","25"
"2023-08-13","41"
"2023-08-20","29"
"2023-08-27","30"
"2023-09-03","49"
"2023-09-10","25"
"2023-09-17","36"
"2023-09-24","45"
"2023-10-01","53"
"2023-10-08","30"
"2023-10-15","8"
"2023-10-22","0"
"2023-10-29","0"
"2023-11-05","0"
"2023-11-12","0"
"2023-11-19","0"
"2023-11-26","0"
"2023-12-03","0"
"2023-12-10","0"
"2023-12-17","0"
"2023-12-24","0"
"2023-12-31","0"
"2024-01-07","0"
"2024-01-14","0"
"2024-01-21","0"
"2024-01-28","0"
"2024-02-04","0"
"2024-02-11","645"
"2024-02-18","32"
"2024-02-25","31"
