"Date","Spotify streams","Youtube views","Instagram post likes","Shazams","Airplay spins","X likes","Soundcloud plays","Tiktok likes"
"2023-03-06","19987","20125","0","619","29","0","950","1"
"2023-03-13","21698","1264","0","928","43","0","1040","26"
"2023-03-20","20731","19848","0","855","45","0","1012","6"
"2023-03-27","20510","10947","0","817","44","0","1028","2"
"2023-04-03","21513","11522","18","705","42","0","1006","0"
"2023-04-10","21355","10802","154","816","46","0","992","1"
"2023-04-17","18961","9922","107","892","46","0","871","0"
"2023-04-24","15692","8202","6","927","48","0","858","1"
"2023-05-01","21341","14383","0","945","49","0","920","1"
"2023-05-08","20632","16202","12","1043","52","0","865","8"
"2023-05-15","20346","18620","59","1188","41","0","936","17"
"2023-05-22","19177","18745","141","1223","46","0","804","5"
"2023-05-29","41432","15566","250","1210","44","0","826","8"
"2023-06-05","19303","16450","323","1166","71","0","1459","4"
"2023-06-12","19656","17000","12","1213","48","0","1420","0"
"2023-06-19","19091","14860","6","1145","51","0","1194","0"
"2023-06-26","19666","10766","3","1232","46","0","1137","0"
"2023-07-03","18007","17431","2","1911","58","0","1180","1"
"2023-07-10","18435","13143","0","1600","55","0","1256","0"
"2023-07-17","19777","11148","0","1284","56","0","1163","0"
"2023-07-24","19053","7862","0","1257","57","0","1183","0"
"2023-07-31","17964","13275","0","1463","54","0","1064","0"
"2023-08-07","18535","11285","0","1440","50","0","1027","0"
"2023-08-14","19285","11062","0","1359","55","0","1152","0"
"2023-08-21","18104","8326","0","1877","59","0","1182","1"
"2023-08-28","17001","10314","0","1348","54","0","942","0"
"2023-09-04","15491","10285","0","1237","52","0","952","0"
"2023-09-11","16165","11343","20","1172","56","0","899","0"
"2023-09-18","17110","8443","75","1167","50","0","784","0"
"2023-09-25","13217","12900","19","1082","48","0","768","0"
"2023-10-02","13981","11337","211","1151","51","0","763","0"
"2023-10-09","13792","10107","43","1107","58","0","1110","0"
"2023-10-16","14207","9029","7","1031","54","0","870","0"
"2023-10-23","14811","6027","0","1063","65","0","839","0"
"2023-10-30","14277","10856","2","1091","53","0","820","0"
"2023-11-06","14537","6614","3","1111","50","0","665","0"
"2023-11-13","14309","11726","0","1058","58","0","711","0"
"2023-11-20","9699","9509","3","1136","53","0","797","0"
"2023-11-27","18595","10576","539","1204","49","0","800","0"
"2023-12-04","15307","8260","1554","1114","59","0","800","0"
"2023-12-11","7626","5246","0","1056","52","0","824","0"
"2023-12-18","8271","9652","0","1044","51","0","752","0"
"2023-12-25","18687","9066","0","1090","44","0","658","0"
"2024-01-01","35614","5138","0","1090","47","0","1767","0"
"2024-01-08","23291","14569","0","1339","47","0","1736","0"
"2024-01-15","59205","7619","0","1227","68","0","1269","0"
"2024-01-22","72357","8656","0","1350","54","0","1199","0"
"2024-01-29","41248","10747","0","1226","55","0","1025","0"
"2024-02-05","48654","9140","0","1197","65","0","1466","0"
"2024-02-12","42532","7047","0","1153","76","0","2401","0"
"2024-02-19","40219","7970","0","1109","78","0","2263","0"
"2024-02-26","35595","8837","0","1561","67","0","2037","0"
