"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-27","7786","0","54164","0","N/A","N/A","154","0","0","0","24502","0","0","25385","0","28"
"2023-03-28","7786","0","54207","43","N/A","N/A","159","5","0","6","24502","0","0","25385","0","0"
"2023-03-29","7787","1","54222","15","N/A","N/A","159","0","0","0","24502","0","0","25385","0","0"
"2023-03-30","7790","3","54337","115","N/A","N/A","159","0","0","0","24500","-2","0","25396","11","599"
"2023-03-31","7796","6","54352","15","N/A","N/A","160","1","0","6","24500","0","0","25396","0","32"
"2023-04-01","7797","1","54103","-249","N/A","N/A","160","0","0","0","24490","-10","0","25396","0","0"
"2023-04-02","7797","0","53924","-179","N/A","N/A","160","0","0","0","24490","0","0","25396","0","0"
"2023-04-03","7803","6","53751","-173","N/A","N/A","162","2","1","4","24492","2","0","25408","12","509"
"2023-04-04","7806","3","53733","-18","N/A","N/A","162","0","0","0","24492","0","0","25408","0","34"
"2023-04-05","7809","3","53760","27","N/A","N/A","162","0","0","0","24485","-7","0","25408","0","0"
"2023-04-06","7810","1","53700","-60","N/A","N/A","164","2","0","8","24485","0","0","25408","0","0"
"2023-04-07","7816","6","53706","6","N/A","N/A","164","0","0","0","24485","0","0","25423","15","559"
"2023-04-08","7818","2","53515","-191","N/A","N/A","164","0","0","0","24484","-1","172","25424","1","59"
"2023-04-09","7821","3","53401","-114","N/A","N/A","164","0","0","3","24475","-9","12","25424","0","0"
"2023-04-10","7822","1","53389","-12","N/A","N/A","164","0","0","0","24475","0","0","25424","0","0"
"2023-04-11","7824","2","53370","-19","N/A","N/A","164","0","0","0","24475","0","0","25431","7","380"
"2023-04-12","7824","0","53405","35","N/A","N/A","164","0","0","0","24473","-2","2","25433","2","108"
"2023-04-13","7827","3","53353","-52","N/A","N/A","165","1","0","2","24456","-17","42","25433","0","0"
"2023-04-14","7831","4","53307","-46","N/A","N/A","165","0","0","1","24456","0","0","25433","0","0"
"2023-04-15","7838","7","53199","-108","N/A","N/A","165","0","0","0","24441","-15","51","25433","0","0"
"2023-04-16","7839","1","53056","-143","N/A","N/A","165","0","0","0","24441","0","0","25444","11","511"
"2023-04-17","7840","1","52956","-100","N/A","N/A","165","0","0","0","24441","0","0","25446","2","83"
"2023-04-18","7842","2","52871","-85","N/A","N/A","175","10","1","6","24441","0","0","25446","0","0"
"2023-04-19","7843","1","52691","-180","N/A","N/A","177","2","0","0","24441","0","0","25446","0","0"
"2023-04-20","7845","2","52335","-356","N/A","N/A","177","0","0","0","24425","-16","6","25456","10","432"
"2023-04-21","7845","0","52242","-93","N/A","N/A","177","0","0","0","24425","0","0","25458","2","83"
"2023-04-22","7848","3","52278","36","N/A","N/A","177","0","0","0","24425","0","0","25458","0","0"
"2023-04-23","7849","1","52156","-122","N/A","N/A","177","0","0","0","24425","0","0","25458","0","0"
"2023-04-24","7850","1","52085","-71","N/A","N/A","182","5","1","7","24425","0","0","25454","-4","398"
"2023-04-25","7854","4","52009","-76","N/A","N/A","182","0","0","0","24414","-11","0","25456","2","133"
"2023-04-26","7856","2","51938","-71","N/A","N/A","182","0","0","0","24414","0","0","25456","0","0"
"2023-04-27","7859","3","51780","-158","N/A","N/A","182","0","0","0","24414","0","0","25456","0","0"
"2023-04-28","7863","4","51598","-182","N/A","N/A","185","3","0","2","24414","0","0","25464","8","502"
"2023-04-29","7862","-1","51489","-109","N/A","N/A","185","0","0","3","24392","-22","0","25465","1","19"
"2023-04-30","7862","0","51412","-77","N/A","N/A","185","0","0","0","24392","0","1","25465","0","0"
"2023-05-01","7864","2","51461","49","N/A","N/A","185","0","0","0","24392","0","0","25465","0","0"
"2023-05-02","7868","4","51547","86","N/A","N/A","185","0","0","4","24382","-10","0","25465","0","0"
"2023-05-03","7870","2","51487","-60","N/A","N/A","185","0","0","0","24382","0","0","25475","10","516"
"2023-05-04","7871","1","51534","47","N/A","N/A","185","0","0","0","24374","-8","0","25477","2","85"
"2023-05-05","7872","1","51515","-19","N/A","N/A","185","0","0","0","24374","0","0","25477","0","0"
"2023-05-06","7877","5","51721","206","N/A","N/A","189","4","0","2","24374","0","0","25477","0","0"
"2023-05-07","7877","0","51718","-3","N/A","N/A","189","0","0","0","24374","0","0","25487","10","397"
"2023-05-08","7878","1","51752","34","N/A","N/A","189","0","0","0","24364","-10","0","25487","0","40"
"2023-05-09","7876","-2","51752","0","N/A","N/A","189","0","0","0","24364","0","0","25487","0","0"
"2023-05-10","7880","4","51752","0","N/A","N/A","196","7","0","0","24364","0","0","25487","0","0"
"2023-05-11","7884","4","52195","443","N/A","N/A","196","0","23","286","24364","0","0","25498","11","595"
