"Date","Spotify followers total","Spotify followers new","Youtube subscribers total","Youtube subscribers new","Instagram followers total","Instagram followers new","Facebook followers total","Facebook followers new","Deezer fans total","Deezer fans new","X followers total","X followers new","Soundcloud followers total","Soundcloud followers new","Tiktok followers total","Tiktok followers new"
"2023-03-06","7723","3","","","24576","-3","19422","-2","78","0","4360","0","25301","16","138","2"
"2023-03-13","7742","17","","","24553","-14","19419","0","78","0","4352","-1","25328","23","144","6"
"2023-03-20","7759","16","","","24544","-11","19417","-3","78","0","4352","0","25357","29","150","6"
"2023-03-27","7784","27","","","24509","-37","19409","-3","78","0","4344","-4","25385","23","154","6"
"2023-04-03","7797","15","","","24490","-14","19408","0","78","0","4334","-6","25396","22","160","4"
"2023-04-10","7821","21","","","24475","-4","19407","-2","80","1","4334","-4","25424","22","164","4"
"2023-04-17","7839","20","","","24441","-40","19400","-5","81","2","4323","-4","25444","17","165","5"
"2023-04-24","7849","10","","","24425","-19","19399","1","82","1","4323","0","25458","16","177","11"
"2023-05-01","7862","14","","","24392","-26","19397","0","82","0","4323","0","25465","9","185","5"
"2023-05-08","7877","15","","","24374","-21","19393","-3","82","0","4323","0","25487","18","189","4"
"2023-05-15","7892","15","","","24339","-31","19386","-5","82","0","4323","0","25499","18","196","10"
"2023-05-22","7909","15","","","24314","-13","19379","-5","83","1","4323","0","25528","27","201","2"
"2023-05-29","7919","15","","","24290","-24","19380","1","83","0","4323","0","25560","25","203","1"
"2023-06-05","7936","11","","","24284","-3","19383","3","83","0","4323","0","25568","17","205","3"
"2023-06-12","7954","21","","","24282","-4","19383","0","83","0","4323","0","25576","8","207","2"
"2023-06-19","7971","17","","","24266","-12","19374","-4","83","0","4323","0","25598","19","208","1"
"2023-06-26","7985","12","","","24243","-18","19388","14","83","0","4323","0","25619","24","208","1"
"2023-07-03","8002","17","","","24228","-13","19383","0","83","0","4323","0","25648","23","210","3"
"2023-07-10","8018","17","","","24205","-16","19382","0","83","0","4323","0","25660","18","216","7"
"2023-07-17","8037","18","","","24174","-33","19376","0","83","0","4323","0","25682","20","221","5"
"2023-07-24","8047","11","","","24151","-30","19370","-6","83","0","4323","0","25694","11","226","3"
"2023-07-31","8070","24","","","24122","-14","19365","-3","85","2","4323","0","25713","16","232","5"
"2023-08-07","8091","17","","","24120","-5","19362","0","85","0","4323","0","25728","21","235","4"
"2023-08-14","8114","27","","","24089","-28","19357","0","86","1","4323","0","25752","19","235","0"
"2023-08-21","8132","18","","","24054","-25","19356","0","86","0","4323","0","25770","18","235","0"
"2023-08-28","8146","13","","","24038","-20","19352","-4","86","0","4323","0","25776","8","238","3"
"2023-09-04","8147","2","","","24010","-22","19350","0","87","1","4323","0","25774","6","241","2"
"2023-09-11","8174","25","","","23993","-17","19350","-1","87","0","4323","0","25803","22","244","4"
"2023-09-18","8193","21","","","23959","-25","19338","-7","87","0","4323","0","25820","20","245","5"
"2023-09-25","8208","14","","","23958","-8","19338","0","87","0","4323","0","25835","15","253","4"
"2023-10-02","8220","15","","","23939","-14","19338","-5","87","0","4323","0","25851","16","260","6"
"2023-10-09","8242","13","","","23924","-17","19326","-4","87","0","4323","0","25864","18","265","6"
"2023-10-16","8299","45","","","23901","-13","19321","0","88","0","4323","0","25884","15","264","0"
"2023-10-23","8314","25","","","23905","5","19309","-4","88","1","4323","0","25894","10","263","0"
"2023-10-30","8346","33","","","23888","-5","19313","3","88","0","4323","0","25901","7","265","2"
"2023-11-06","8386","43","","","23877","-23","19308","2","88","0","4323","0","25919","17","265","0"
"2023-11-13","8403","17","","","23861","-17","19303","-9","88","0","4323","0","25930","14","273","7"
"2023-11-20","8369","-32","","","23824","-31","19298","-2","88","0","4323","0","25942","13","273","1"
"2023-11-27","8395","20","","","23797","-22","19293","-6","88","0","4323","0","25950","12","273","0"
"2023-12-04","8393","-3","","","23842","45","19284","-5","88","0","4323","0","25982","23","273","0"
"2023-12-11","8417","27","","","23842","-3","19284","0","88","0","4323","0","25998","21","273","0"
"2023-12-18","8457","42","","","23833","-5","19284","0","89","1","4323","0","26019","20","273","0"
"2023-12-25","8480","24","","","23833","0","19280","3","89","0","4323","0","26088","80","273","0"
"2024-01-01","8506","18","","","23833","0","19287","7","89","0","4323","0","26159","82","273","0"
"2024-01-08","8623","57","","","23833","0","19293","3","89","0","4323","0","26216","48","273","4"
"2024-01-15","8661","98","","","23833","0","19290","1","89","0","4323","0","26262","43","295","18"
"2024-01-22","8695","38","","","23833","0","19289","0","89","0","4323","0","26302","42","296","1"
"2024-01-29","8724","34","","","23833","162","19288","-2","89","0","4323","0","26345","39","297","1"
"2024-02-05","8777","48","","","24049","54","19288","0","89","0","4323","0","26374","28","297","0"
"2024-02-12","8782","12","","","24049","0","19282","-2","89","0","4323","0","26402","32","303","6"
"2024-02-19","8803","16","","","24049","0","19275","0","90","1","4323","0","26440","38","305","2"
"2024-02-26","8831","26","","","24049","0","19273","0","90","0","4323","0","26487","36","305","0"
