"Date","Likes","Comments"
"2023-03-05","0","0"
"2023-03-12","0","0"
"2023-03-19","0","0"
"2023-03-26","0","0"
"2023-04-02","172","12"
"2023-04-09","107","11"
"2023-04-16","6","0"
"2023-04-23","0","0"
"2023-04-30","1","0"
"2023-05-07","53","0"
"2023-05-14","141","25"
"2023-05-21","209","48"
"2023-05-28","368","72"
"2023-06-04","25","3"
"2023-06-11","6","0"
"2023-06-18","3","0"
"2023-06-25","2","0"
"2023-07-02","0","0"
"2023-07-09","0","0"
"2023-07-16","0","0"
"2023-07-23","0","0"
"2023-07-30","0","0"
"2023-08-06","0","0"
"2023-08-13","0","0"
"2023-08-20","0","0"
"2023-08-27","0","0"
"2023-09-03","0","0"
"2023-09-10","65","21"
"2023-09-17","49","10"
"2023-09-24","204","44"
"2023-10-01","49","8"
"2023-10-08","8","1"
"2023-10-15","0","0"
"2023-10-22","0","0"
"2023-10-29","5","0"
"2023-11-05","0","0"
"2023-11-12","3","0"
"2023-11-19","0","0"
"2023-11-26","2093","120"
"2023-12-03","0","0"
"2023-12-10","0","0"
"2023-12-17","0","0"
"2023-12-24","0","0"
"2023-12-31","0","0"
"2024-01-07","0","0"
"2024-01-14","0","0"
"2024-01-21","0","0"
"2024-01-28","0","0"
"2024-02-04","0","0"
"2024-02-11","0","0"
"2024-02-18","0","0"
"2024-02-25","0","0"
