"Date","New followers","Total followers"
"2023-04-02","28","25396"
"2023-04-09","9","25424"
"2023-04-16","25","25444"
"2023-04-23","7","25458"
"2023-04-30","12","25465"
"2023-05-07","22","25487"
"2023-05-14","29","25499"
"2023-05-21","25","25528"
"2023-05-28","15","25560"
"2023-06-04","8","25568"
"2023-06-11","21","25576"
"2023-06-18","22","25598"
"2023-06-25","15","25619"
"2023-07-02","26","25648"
"2023-07-09","22","25660"
"2023-07-16","11","25682"
"2023-07-23","8","25694"
"2023-07-30","27","25713"
"2023-08-06","21","25728"
"2023-08-13","9","25752"
"2023-08-20","18","25770"
"2023-08-27","-2","25776"
"2023-09-03","17","25774"
"2023-09-10","29","25803"
"2023-09-17","15","25820"
"2023-09-24","16","25835"
"2023-10-01","13","25851"
"2023-10-08","20","25864"
"2023-10-15","10","25884"
"2023-10-22","-2","25894"
"2023-10-29","24","25901"
"2023-11-05","14","25919"
"2023-11-12","12","25930"
"2023-11-19","8","25942"
"2023-11-26","13","25950"
"2023-12-03","36","25982"
"2023-12-10","20","25998"
"2023-12-17","69","26019"
"2023-12-24","71","26088"
"2023-12-31","57","26159"
"2024-01-07","46","26216"
"2024-01-14","40","26262"
"2024-01-21","43","26302"
"2024-01-28","29","26345"
"2024-02-04","28","26374"
"2024-02-11","38","26402"
"2024-02-18","47","26440"
"2024-02-25","0","26487"
