"Date","Soundcloud followers","Soundcloud plays","Soundcloud likes","Soundcloud comments","Soundcloud reposts"
"Dec 2022","134","6144","283","14","23"
"Jan 2023","87","4448","171","1","5"
"Feb 2023","107","4835","201","21","8"
"Mar 2023","69","3842","148","2","4"
"Apr 2023","95","3570","117","1","7"
"May 2023","74","5729","191","5","8"
"Jun 2023","79","5378","200","5","7"
"Jul 2023","56","4509","140","3","7"
"Aug 2023","76","3626","95","4","9"
"Sep 2023","55","3944","127","4","6"
"Oct 2023","63","3108","94","2","2"
"Nov 2023","196","3760","124","1","20"
"Dec 2023","186","5974","263","3","65"
"Jan 2024","142","8167","390","15","41"
