"Date","Followers","Listeners"
"2021-03-07","5761","64541"
"2021-03-14","5782","72018"
"2021-03-21","5812","78732"
"2021-03-28","5841","83600"
"2021-04-04","5869","84750"
"2021-04-11","5892","84598"
"2021-04-18","5927","80797"
"2021-04-25","5948","75371"
"2021-05-02","5962","69175"
"2021-05-09","5973","63772"
"2021-05-16","5992","61616"
"2021-05-23","6009","60700"
"2021-05-30","6023","61001"
"2021-06-06","6043","61646"
"2021-06-13","6056","61715"
"2021-06-20","6067","61430"
"2021-06-27","6078","60475"
"2021-07-04","6104","59876"
"2021-07-11","6108","61981"
"2021-07-18","6122","63111"
"2021-07-25","6122","63187"
"2021-08-01","6131","63926"
"2021-08-08","6144","61638"
"2021-08-15","6157","60467"
"2021-08-22","6177","60021"
"2021-08-29","6191","58863"
"2021-09-05","6204","57858"
"2021-09-12","6231","56608"
"2021-09-19","6236","55371"
"2021-09-26","6247","54493"
"2021-10-03","6264","54613"
"2021-10-10","6279","54299"
"2021-10-17","6290","53542"
"2021-10-24","6311","54184"
"2021-10-31","6320","55184"
"2021-11-07","6329","55474"
"2021-11-14","6346","57342"
"2021-11-21","6351","57479"
"2021-11-28","6363","56649"
"2021-12-05","6375","56074"
"2021-12-12","6386","55054"
"2021-12-19","6403","54598"
"2021-12-26","6424","53940"
"2022-01-02","6438","55148"
"2022-01-09","6446","55338"
"2022-01-16","6456","55291"
"2022-01-23","6487","57169"
"2022-01-30","6512","56904"
"2022-02-06","6552","58716"
"2022-02-13","6627","64186"
"2022-02-20","6669","67681"
"2022-02-27","6706","68151"
"2022-03-06","6719","67556"
"2022-03-13","6745","63626"
"2022-03-20","6775","60171"
"2022-03-27","6788","59912"
"2022-04-03","6810","60096"
"2022-04-10","6826","60201"
"2022-04-17","6847","60305"
"2022-04-24","6857","59986"
"2022-05-01","6880","59943"
"2022-05-08","6911","59450"
"2022-05-15","6918","59373"
"2022-05-22","6930","60585"
"2022-05-29","6964","67126"
"2022-06-05","6984","69362"
"2022-06-12","7000","71502"
"2022-06-19","7027","72003"
"2022-06-26","7048","66524"
"2022-07-03","7067","66820"
"2022-07-10","7084","64544"
"2022-07-17","7104","64352"
"2022-07-24","7113","62993"
"2022-07-31","7133","60517"
"2022-08-07","7152","60941"
"2022-08-14","7179","60821"
"2022-08-21","7194","59890"
"2022-08-28","7212","66884"
"2022-09-04","7189","71014"
"2022-09-11","7213","71354"
"2022-09-18","7223","69825"
"2022-09-25","7247","66177"
"2022-10-02","7267","61783"
"2022-10-09","7290","59235"
"2022-10-16","7305","59272"
"2022-10-23","7315","57161"
"2022-10-30","7330","56940"
"2022-11-06","7353","58345"
"2022-11-13","7366","60067"
"2022-11-20","7388","59419"
"2022-11-27","7408","59269"
"2022-12-04","7440","60403"
"2022-12-11","7474","61158"
"2022-12-18","7495","61117"
"2022-12-25","7514","60950"
"2023-01-01","7532","60554"
"2023-01-08","7561","60657"
"2023-01-15","7583","62101"
"2023-01-22","7609","63814"
"2023-01-29","7635","63254"
"2023-02-05","7665","62444"
"2023-02-12","7681","60360"
"2023-02-19","7697","57398"
"2023-02-26","7715","55716"
"2023-03-05","7723","54376"
"2023-03-12","7742","54595"
"2023-03-19","7759","54339"
"2023-03-26","7784","54171"
"2023-04-02","7797","53924"
"2023-04-09","7821","53401"
"2023-04-16","7839","53056"
"2023-04-23","7849","52156"
"2023-04-30","7862","51412"
"2023-05-07","7877","51718"
"2023-05-14","7892","51886"
"2023-05-21","7909","52114"
"2023-05-28","7919","53040"
"2023-06-04","7936","51781"
"2023-06-11","7954","51253"
"2023-06-18","7971","51252"
"2023-06-25","7985","51000"
"2023-07-02","8002","50510"
"2023-07-09","8018","50262"
"2023-07-16","8037","50542"
"2023-07-23","8047","50284"
"2023-07-30","8070","49743"
"2023-08-06","8091","50204"
"2023-08-13","8114","51074"
"2023-08-20","8132","50487"
"2023-08-27","8146","50005"
"2023-09-03","8147","47631"
"2023-09-10","8174","44961"
"2023-09-17","8193","43521"
"2023-09-24","8208","42229"
"2023-10-01","8220","41598"
"2023-10-08","8242","40728"
"2023-10-15","8299","40254"
"2023-10-22","8314","39816"
"2023-10-29","8346","39679"
"2023-11-05","8386","39219"
"2023-11-12","8403","38763"
"2023-11-19","8369","38453"
"2023-11-26","8395","37968"
"2023-12-03","8393","37802"
"2023-12-10","8417","37343"
"2023-12-17","8457","38515"
"2023-12-24","8480","44923"
"2023-12-31","8506","62384"
"2024-01-07","8623","81348"
"2024-01-14","8661","98806"
"2024-01-21","8695","112059"
"2024-01-28","8724","113217"
"2024-02-04","8777","111649"
"2024-02-11","8782","106657"
"2024-02-18","8803","100188"
"2024-02-25","8831","95249"
