"Date","Streams"
"2023-04-02","21513"
"2023-04-09","21355"
"2023-04-16","18961"
"2023-04-23","15692"
"2023-04-30","21341"
"2023-05-07","20632"
"2023-05-14","20346"
"2023-05-21","19177"
"2023-05-28","41432"
"2023-06-04","19303"
"2023-06-11","19656"
"2023-06-18","19091"
"2023-06-25","19666"
"2023-07-02","18007"
"2023-07-09","18435"
"2023-07-16","19777"
"2023-07-23","19053"
"2023-07-30","17964"
"2023-08-06","18535"
"2023-08-13","19285"
"2023-08-20","18104"
"2023-08-27","17001"
"2023-09-03","15491"
"2023-09-10","16165"
"2023-09-17","17110"
"2023-09-24","13217"
"2023-10-01","13981"
"2023-10-08","13792"
"2023-10-15","14207"
"2023-10-22","14811"
"2023-10-29","14277"
"2023-11-05","14537"
"2023-11-12","14309"
"2023-11-19","9699"
"2023-11-26","18595"
"2023-12-03","15307"
"2023-12-10","7626"
"2023-12-17","8271"
"2023-12-24","18687"
"2023-12-31","35614"
"2024-01-07","23291"
"2024-01-14","59205"
"2024-01-21","72357"
"2024-01-28","41248"
"2024-02-04","48654"
"2024-02-11","42532"
"2024-02-18","40219"
"2024-02-25","35595"
