"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Cycle","Veerus","263219","251587","97436","19397","2023-12-15"
"My Train","Veerus, Maxie Devine","1780823","206075","19287","3868","2015-03-02"
"The Sound","Veerus, Maxie Devine","1473026","174429","7719","1831","2013-12-16"
"Phoney","Veerus","16986","14294","4314","1497","2023-09-29"
"It's Funky","Veerus","17491","14194","6425","1491","2023-12-15"
"Heavy","Veerus","768186","76585","6229","1152","2018-08-20"
"Phase","Veerus","376903","52147","3785","825","2018-12-07"
"Yard","Veerus","187706","40371","2606","634","2022-02-04"
"Nobody","Veerus","89765","26318","1731","550","2022-02-04"
"Organum - Original Mix","Veerus","106891","24742","2103","519","2017-06-08"
"Bypass","Veerus","53256","16585","1388","366","2022-02-04"
"Hypnosis","Veerus","419641","24903","1368","339","2019-04-01"
"Hypnosis","Veerus","419641","24903","1316","339","2019-07-12"
"Recovery","Veerus","306450","21194","1272","327","2021-02-08"
"Lights on Me","Veerus","55998","18174","1127","250","2022-11-25"
"System","Veerus","241508","21990","1089","239","2020-05-11"
"Wheel","Veerus","139721","16270","848","230","2018-09-21"
"Yard - Mixed","Veerus","15342","12374","810","215","2023-08-04"
"No Lips - Veerus & Maxie Devine Remix","Purple Disco Machine, Veerus, Maxie Devine","57813","4858","276","88","2015-03-17"
"Pyramid","Veerus","103807","7001","353","82","2020-05-11"
"Infinity","Veerus","9718","6367","281","72","2023-05-26"
"Hybrid","Veerus","2490","1335","320","68","2023-09-29"
"Fact","Veerus","38109","6275","282","66","2018-03-19"
"Ehm","Veerus","36182","4014","285","60","2018-12-07"
"My Train - Veerus Reinterpretation","Veerus, Maxie Devine","16509","5933","259","59","2022-10-07"
"Arp - Original Mix","Veerus","96552","4042","240","58","2017-06-08"
"Together - Original Club Mix","Veerus, Maxie Devine, Emanuele Matte","21705","1689","156","52","2012-05-29"
"Dysfunction","Veerus","29876","3194","194","51","2021-02-08"
"Beat That - OC & Verde Remix","Veerus, OC & Verde","23599","2033","174","46","2017-08-04"
"Embargo (Mix Cut) - Original Mix","Veerus, Maxie Devine","35047","1481","183","45","2014-11-21"
"What the F**k (Maxie Devine & Veerus Remix)","Fatboy Slim, Funkagenda, Maxie Devine, Veerus","15944","1665","130","38","2008-08-02"
"Acid Mode On - Original Mix","Veerus","29765","2219","149","35","2018-08-13"
"Echota","OC & Verde, Veerus","30127","1793","101","33","2018-09-21"
"Year","Veerus","23951","2213","150","32","2020-05-11"
"Mouses At My Proteins - Original Mix","Veerus, Maxie Devine","11488","935","108","31","2009-07-13"
"Arp - Mixed","Veerus","5512","1734","163","30","2019-04-19"
"Eosh - Original Mix","Veerus","10802","881","103","29","2018-08-13"
"Brain Tool (Veerus & T78 Rework) - Edit","Junk Project, Veerus, T78","15296","1644","145","27","2018-02-12"
"Twins","Veerus, Maxie Devine","27102","2511","115","26","2013-12-16"
"Embargo - Original Mix","Veerus, Maxie Devine","113786","1569","86","21","2014-09-23"
"Cars - Everything Vox","Veerus, Maxie Devine","23047","1256","70","18","2013-12-16"
"Be Sure - Original Mix","Veerus, Maxie Devine","14127","774","65","18","2014-12-15"
"Freak Out - Original Mix","Veerus, Maxie Devine","10301","624","50","18","2016-07-12"
"Funky Beat - Original Mix","Veerus, Maxie Devine","16932","845","70","17","2012-04-03"
"Paranoic - Original Mix","Veerus","19002","1107","63","17","2018-05-11"
"My music","Veerus, Maxie Devine","5748","673","65","16","2016-02-08"
"1234","Veerus","18150","414","83","16","2018-09-21"
"Naaki","OC & Verde, Veerus","42573","1067","67","14","2018-01-01"
"Serendipity","Veerus, Maxie Devine","2718","221","43","13","2016-09-12"
"Serendipity - Original Mix","Veerus, Maxie Devine","2718","221","43","13","2017-03-03"
"Mind Awake, Body Asleep","Veerus","21071","1107","59","12","2017-06-30"
"I'm One","Veerus, Maxie Devine","20038","778","61","11","2014-06-16"
"Refurb","Veerus, Maxie Devine","12134","804","34","11","2016-02-08"
"Special (feat. Veerus)","Veerus","2127","172","16","10","2016-02-12"
"Calinda - Menini e Viani Remix","Veerus, Maxie Devine, Viani","5009","185","24","9","2011-01-01"
"Cars - Plan B Mix","Veerus, Maxie Devine","14099","808","38","9","2013-12-16"
"My Way - Veerus & Maxie Devine Dub","Sharam, HONEYHONEY, Veerus, Maxie Devine","31431","778","34","9","2014-05-05"
"My Way - Veerus & Maxie Devine Remix","Sharam, HONEYHONEY, Veerus, Maxie Devine","31431","778","34","9","2014-05-05"
