"Date","Spotify streams","Youtube views","Instagram post likes","Shazams","Airplay spins","X likes","Soundcloud plays","Tiktok likes"
"2023-03-06","3396634","1212480","15000","20903","653","3576","29614","0"
"2023-03-13","3824535","1075118","8250","55398","791","3956","47536","0"
"2023-03-20","3728532","1425908","6750","49126","832","1814","48280","0"
"2023-03-27","3679830","1209586","5375","41997","861","2408","47921","0"
"2023-04-03","4049282","1213474","16625","39061","808","3571","48019","0"
"2023-04-10","3789746","1081939","17500","37612","841","640","48982","0"
"2023-04-17","3790905","904215","12486","36697","833","0","47718","0"
"2023-04-24","3545695","978316","11014","38360","857","0","52710","0"
"2023-05-01","4742749","962068","10000","34737","851","0","54069","0"
"2023-05-08","4109495","860438","15425","32041","848","0","52516","0"
"2023-05-15","4193548","924963","14575","60958","784","0","51221","0"
"2023-05-22","4309858","951707","13000","38256","812","0","51251","0"
"2023-05-29","4353426","955978","6000","33454","830","0","51480","0"
"2023-06-05","4289964","924499","3125","44975","827","0","52975","0"
"2023-06-12","4252633","1011505","2875","38926","746","0","51106","1362"
"2023-06-19","4337174","1117752","11500","41277","805","0","54852","1547"
"2023-06-26","4214404","1126206","1900","136472","722","0","59823","6407"
"2023-07-03","4081240","939871","8600","59225","728","0","57227","680"
"2023-07-10","4119965","1117465","23000","56319","723","0","58391","5491"
"2023-07-17","4048705","975181","18500","49298","698","0","54992","1221"
"2023-07-24","4222160","925182","8000","110733","695","0","56250","2484"
"2023-07-31","4970748","1004224","11500","110785","736","0","55669","2807"
"2023-08-07","4810270","881576","8500","94597","729","0","53956","936"
"2023-08-14","4895725","1018796","8000","100708","743","0","55133","850"
"2023-08-21","4851438","913049","3100","95115","727","0","52449","17493"
"2023-08-28","5016279","1013540","4025","119027","730","0","57894","20392"
"2023-09-04","5001195","913171","11375","78120","712","0","56780","9247"
"2023-09-11","4892200","847923","9332","70563","709","0","59043","6225"
"2023-09-18","5457573","991890","1501","66672","668","0","75750","4068"
"2023-09-25","4092465","963727","8167","58824","672","0","82334","4565"
"2023-10-02","4413810","908300","3666","51373","734","0","68176","4557"
"2023-10-09","4413302","858805","4666","48645","970","0","61990","2589"
"2023-10-16","4335375","12625303","1668","44859","997","0","57461","1603"
"2023-10-23","4220372","1127629","2625","56099","942","0","56667","1662"
"2023-10-30","4204267","1198071","5708","39414","1082","0","56172","1692"
"2023-11-06","4048003","1023231","4665","35458","1006","0","51370","732"
"2023-11-13","4146762","1068235","3334","294027","983","0","51522","0"
"2023-11-20","2878933","1048965","5668","33215","1037","0","52389","0"
"2023-11-27","5327969","1084115","8500","33725","1090","0","51587","1115"
"2023-12-04","4315754","908709","4832","31403","1050","0","53218","1860"
"2023-12-11","3199242","1038550","668","35554","1049","0","50889","0"
"2023-12-18","1785452","960452","0","34024","1060","0","50729","0"
"2023-12-25","5348566","1340896","0","33649","1023","0","46121","0"
"2024-01-01","2250278","1197376","0","38850","1096","0","48561","0"
"2024-01-08","4601474","880112","0","37952","841","0","48413","0"
"2024-01-15","4949773","741307","125","76411","1044","0","50465","0"
"2024-01-22","6049717","832472","875","35134","988","0","51181","0"
"2024-01-29","4028187","864309","0","33948","987","0","53062","0"
"2024-02-05","4396660","868095","0","34674","947","0","51539","618"
"2024-02-12","4737681","818521","125","31436","914","0","55209","1040"
"2024-02-19","4473364","962278","875","33246","947","0","47091","0"
"2024-02-26","4581028","1011114","2664","33571","929","0","49369","0"
