"Date","Spotify followers","Youtube subscribers","Instagram followers","Facebook followers","Deezer fans","X followers","Soundcloud followers","Tiktok followers"
"2023-03-06","742","0","1268","87","71","300","211","0"
"2023-03-13","1364","1000","832","73","136","327","291","0"
"2023-03-20","1186","750","1149","67","133","161","305","0"
"2023-03-27","1068","250","1030","25","104","176","256","0"
"2023-04-03","1102","875","597","126","99","170","294","0"
"2023-04-10","1083","125","1135","200","95","47","264","0"
"2023-04-17","1046","875","785","50","96","0","282","0"
"2023-04-24","1089","125","816","48","95","0","263","0"
"2023-05-01","1446","625","1518","54","99","0","346","0"
"2023-05-08","1129","375","1432","297","79","0","302","0"
"2023-05-15","1433","625","2697","29","118","0","358","0"
"2023-05-22","1361","375","1696","187","110","0","313","0"
"2023-05-29","1187","625","1019","67","105","0","274","0"
"2023-06-05","1209","375","915","82","90","0","244","0"
"2023-06-12","1264","750","1212","58","85","0","273","103"
"2023-06-19","1352","500","1857","158","113","0","333","156"
"2023-06-26","1454","750","1329","62","113","0","326","232"
"2023-07-03","1477","625","1838","164","98","0","362","254"
"2023-07-10","1352","375","1955","174","104","0","364","951"
"2023-07-17","1264","875","1410","53","131","0","332","195"
"2023-07-24","1405","250","1830","93","112","0","378","193"
"2023-07-31","1951","875","1564","111","138","0","367","223"
"2023-08-07","1424","375","1523","48","119","0","333","119"
"2023-08-14","1603","625","2151","62","117","0","327","189"
"2023-08-21","1495","375","1976","250","129","0","364","1164"
"2023-08-28","1502","625","1907","27","150","0","337","1452"
"2023-09-04","1487","375","3233","92","135","0","380","1733"
"2023-09-11","1475","625","2884","184","150","0","401","808"
"2023-09-18","2298","750","3284","186","154","0","379","376"
"2023-09-25","2457","875","2456","188","144","0","381","660"
"2023-10-02","1530","375","1358","129","121","0","323","455"
"2023-10-09","1375","750","2272","169","105","0","297","340"
"2023-10-16","1604","250","3334","133","122","0","286","540"
"2023-10-23","1174","750","978","175","141","0","296","264"
"2023-10-30","1283","250","928","207","145","0","262","234"
"2023-11-06","1235","250","762","100","133","0","257","215"
"2023-11-13","1095","750","448","55","182","0","258","87"
"2023-11-20","1195","0","970","93","172","0","283","0"
"2023-11-27","1326","750","1842","121","151","0","258","150"
"2023-12-04","1832","250","1345","208","159","0","265","250"
"2023-12-11","1426","250","545","99","146","0","277","0"
"2023-12-18","1342","750","0","199","123","0","205","0"
"2023-12-25","950","0","0","117","122","0","213","0"
"2024-01-01","1218","250","466","78","106","0","223","0"
"2024-01-08","1341","750","1404","62","96","0","263","335"
"2024-01-15","1650","0","247","50","138","0","301","597"
"2024-01-22","1623","500","1778","273","167","0","295","117"
"2024-01-29","1486","500","0","82","210","0","332","51"
"2024-02-05","1599","0","0","32","161","0","215","110"
"2024-02-12","1251","875","1822","139","174","0","285","190"
"2024-02-19","1540","125","2735","36","165","0","271","0"
"2024-02-26","1749","625","1978","91","189","0","334","0"
