"Channel","Track","Artists","Release date","Engagement 1w","Engagement 1m","Engagement Total"
"Shazam","Cola (Club Mix) - CamelPhat & Elderbrook","CamelPhat, Elderbrook","2017-06-17","15225","61909","10060922"
"Shazam","Cola (Mousse T.'s Glitterbox Mix) - CamelPhat & Elderbrook","CamelPhat, Elderbrook","2017-10-13","N/A","2509","380971"
"Shazam","Cola (Robin Schulz Remix) - CamelPhat & Elderbrook","CamelPhat, Elderbrook","2017-12-08","N/A","N/A","680313"
"Shazam","Cola (Zhu Remix) - CamelPhat & Elderbrook","CamelPhat, Elderbrook","2018-01-19","N/A","N/A","587600"
"Shazam","Right Here, Right Now ((CamelPhat Remix) [Radio Edit])","Fatboy Slim, CamelPhat","2018-02-23","N/A","N/A","315985"
"Shazam","Panic Room - AU/RA & Camelphat","CamelPhat, Au/Ra","2018-03-29","877","3523","1439295"
"Shazam","Breathe - CamelPhat & Cristoph Feat. Jem Cooke","CamelPhat, Cristoph, Jem Cooke","2018-11-16","2963","9309","1770259"
"Shazam","Be Someone - CamelPhat & Jake Bugg","Jake Bugg, CamelPhat","2019-05-23","619","N/A","612315"
"Shazam","Rabbit Hole - CamelPhat & Jem Cooke","CamelPhat, Jem Cooke","2019-11-08","N/A","N/A","684215"
"Shazam","For a Feeling - CamelPhat & ARTBAT Feat. RHODES","RHODES, CamelPhat, ARTBAT","2020-04-24","1799","5368","550694"
"Shazam","Spektrum (feat. Ali Love)","Ali Love, CamelPhat","2020-10-30","911","3360","N/A"
"Shazam","The Sign","Anyma, CamelPhat","2023-07-24","1322","4548","N/A"
"Shazam","Night After Night (Camelphat Remix)","Be No Rain, CamelPhat, Fideles","2023-03-03","2570","10963","N/A"
"Shazam","Hope","Max Milner, CamelPhat","2023-06-09","1241","5602","N/A"
"Shazam","Higher","London Grammar, CamelPhat","2023-07-20","713","3453","N/A"
"Airplay","CamelPhat ft. Jem Cooke - Breath","CamelPhat","2021-08-25","86","809","N/A"
"Airplay","Higher - Higher - Original Mix","CamelPhat","2023-10-17","79","1030","N/A"
"Airplay","CamelPhat - Yannis-Hypercolour","CamelPhat","2021-08-25","62","773","N/A"
"Airplay","CamelPhat ft Rhodes - Home","CamelPhat","2023-10-17","58","N/A","N/A"
"Airplay","Cari Golden, CamelPhat - Freak feat. Cari Golden (Original Mix)","CamelPhat","2021-08-25","56","588","N/A"
"Airplay","CamelPhat & Cristoph - Breathe (Original Mix)","CamelPhat","2021-08-25","55","528","N/A"
"Airplay","CamelPhat, LOWES - CamelPhat, LOWES - Easier (feat. LOWES)","CamelPhat","2021-05-04","55","577","N/A"
"Airplay","CamelPhat - Rabbit Hole","CamelPhat","2021-08-25","36","343","N/A"
"Airplay","CamelPhat - Not Over Yet (feat. Noel Gallagher)","CamelPhat","2021-08-25","30","363","N/A"
"Airplay","CamelPhat feat. LOWES - Easier","CamelPhat","2021-08-25","24","299","N/A"
"Airplay","CAMELPHAT - Cola TAG","CamelPhat","2020-01-01","N/A","194","N/A"
"Spotify","Cola","CamelPhat, Elderbrook","2017-06-16","1385662","5543875","335977551"
"Spotify","Breathe","CamelPhat, Cristoph, Jem Cooke","2018-11-16","312179","1377632","109303803"
"Spotify","The Sign","Anyma, CamelPhat","2022-10-28","309234","1323076","30868188"
"Spotify","Hope","CamelPhat, Max Milner","2023-06-15","188417","N/A","N/A"
"Spotify","Night After Night - CamelPhat Remix","Fideles, CamelPhat, Be No Rain","2023-03-03","183761","759905","N/A"
"Spotify","Panic Room","Au/Ra, CamelPhat","2018-07-28","133400","531141","103787649"
"Spotify","Higher","London Grammar, CamelPhat","2023-07-20","125940","508559","N/A"
"Spotify","Believe","CamelPhat, Mathame","2022-07-15","110790","446042","N/A"
"Spotify","Be Someone","CamelPhat, Jake Bugg","2019-06-04","106362","399584","54125296"
"Spotify","For a Feeling (feat. RHODES)","CamelPhat, ARTBAT, RHODES","2020-05-01","102921","400721","N/A"
"Spotify","Running Man","CamelPhat","2024-01-11","N/A","382460","N/A"
"Spotify","Cola - Robin Schulz Remix","CamelPhat, Elderbrook, Robin Schulz","2017-12-08","N/A","N/A","69533525"
"Spotify","Siren Song - Radio Edit","CamelPhat, EDEN","2015-08-17","N/A","N/A","39048339"
"Spotify","Cola - Club Mix","CamelPhat, Elderbrook","2017-06-16","N/A","N/A","38346572"
"Spotify","Rabbit Hole","CamelPhat, Jem Cooke","2019-11-08","N/A","N/A","36555721"
"Spotify","Right Here Right Now (CamelPhat Remix) - Radio Edit","Fatboy Slim, CamelPhat","2018-03-09","N/A","N/A","35637256"
"Youtube","CamelPhat - Spektrum (Visualiser) ft. Ali Love","CamelPhat","2020-11-06","106139","376235","16365498"
"Youtube","CamelPhat & Cristoph - Breathe (ft. Jem Cooke)","CamelPhat","2018-11-13","55741","164003","17165253"
