"Date","Followers","Follower growth","Popularity"
"2021-02-28","239018","4597","72"
"2021-03-31","243748","4218","71"
"2021-04-30","247930","3359","71"
"2021-05-31","251274","2931","72"
"2021-06-30","254091","3530","70"
"2021-07-31","257621","3939","71"
"2021-08-31","261739","4150","71"
"2021-09-30","265832","3280","67"
"2021-10-31","269205","3303","68"
"2021-11-30","272293","3948","67"
"2021-12-31","276476","3494","68"
"2022-01-31","279848","3255","68"
"2022-02-28","283163","4264","68"
"2022-03-31","287369","3801","69"
"2022-04-30","291165","3485","69"
"2022-05-31","294645","3685","63"
"2022-06-30","298337","3913","63"
"2022-07-31","302296","4858","63"
"2022-08-31","307189","2070","64"
"2022-09-30","309197","4459","65"
"2022-10-31","313688","4862","64"
"2022-11-30","318624","5771","64"
"2022-12-31","324359","5870","65"
"2023-01-31","330167","4068","67"
"2023-02-28","334438","5528","67"
"2023-03-31","339743","4940","66"
"2023-04-30","344765","5595","66"
"2023-05-31","350300","5794","65"
"2023-06-30","356166","6650","65"
"2023-07-31","362808","6688","64"
"2023-08-31","369487","8140","64"
"2023-09-30","377673","5988","66"
"2023-10-31","383797","5408","64"
"2023-11-30","389357","5901","63"
"2023-12-31","395082","6566","64"
"2024-01-31","401693","7085","65"
"2024-02-29","408864","612","65"
