"Country","Monthly Listeners"
"Australia","386600"
"United Kingdom","362120"
"Germany","235064"
"United States","172745"
"Netherlands","118716"
"Mexico","117008"
"Brazil","100187"
"Ireland","77242"
"Canada","73163"
"Colombia","71950"
"Belgium","71865"
"Spain","68388"
"Turkey","61776"
"Chile","60532"
"Argentina","56105"
"France","52655"
"Italy","45057"
"Poland","43771"
"Austria","35652"
"Switzerland","35311"
"Hungary","33182"
"Greece","32618"
"Czech Republic","31950"
"New Zealand","30179"
"Peru","26682"
"Norway","25132"
"Sweden","24927"
