"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2021-02-28","N/A","N/A","2741667","N/A","N/A"
"2021-03-07","240224","5029830","2652281","20.94","0.53"
"2021-03-14","241369","4946617","2610858","20.49","0.53"
"2021-03-21","241923","4928757","2595156","20.37","0.53"
"2021-03-28","243282","4860623","2594931","19.98","0.53"
"2021-04-04","244412","4867137","2643780","19.91","0.54"
"2021-04-11","245456","4840815","2447904","19.72","0.51"
"2021-04-18","246401","4851183","2554898","19.69","0.53"
"2021-04-25","247318","4874631","2535417","19.71","0.52"
"2021-05-02","248215","4830348","2479207","19.46","0.51"
"2021-05-09","249030","4804727","2383658","19.29","0.50"
"2021-05-16","249843","4786898","2427153","19.16","0.51"
"2021-05-23","250487","4710667","2330894","18.81","0.49"
"2021-05-30","251160","4649502","2373487","18.51","0.51"
"2021-06-06","251956","4706032","2581864","18.68","0.55"
"2021-06-13","252685","4698322","2467229","18.59","0.53"
"2021-06-20","253327","4721533","2421532","18.64","0.51"
"2021-06-27","253995","4713888","2317171","18.56","0.49"
"2021-07-04","254702","4607945","2229781","18.09","0.48"
"2021-07-11","255515","4585665","2386159","17.95","0.52"
"2021-07-18","256242","4572975","2363699","17.85","0.52"
"2021-07-25","256999","4617220","2579830","17.97","0.56"
"2021-08-01","257753","4650767","2109074","18.04","0.45"
"2021-08-08","258710","4774862","2973840","18.46","0.62"
"2021-08-15","259540","4900220","2423837","18.88","0.49"
"2021-08-22","260285","4852102","2476816","18.64","0.51"
"2021-08-29","261425","4854559","2573757","18.57","0.53"
"2021-09-05","262267","4701239","2526863","17.93","0.54"
"2021-09-12","263238","4502313","2399670","17.10","0.53"
"2021-09-19","264421","4408095","2342818","16.67","0.53"
"2021-09-26","265239","4333116","2286051","16.34","0.53"
"2021-10-03","266089","4273455","1282742","16.06","0.30"
"2021-10-10","267007","4245395","3327935","15.90","0.78"
"2021-10-17","267723","4202820","2190975","15.70","0.52"
"2021-10-24","268423","4173885","2199107","15.55","0.53"
"2021-10-31","269205","4162488","2248476","15.46","0.54"
"2021-11-07","269900","4126512","2155613","15.29","0.52"
"2021-11-14","270617","4117543","2197566","15.22","0.53"
"2021-11-21","271119","4087876","2126516","15.08","0.52"
"2021-11-28","272203","4032676","2095499","14.81","0.52"
"2021-12-05","273091","4022801","2192319","14.73","0.55"
"2021-12-12","274211","4013202","2142707","14.64","0.53"
"2021-12-19","275093","3984699","2119322","14.48","0.53"
"2021-12-26","275890","3921421","1920906","14.21","0.49"
"2022-01-02","276712","3943538","2027397","14.25","0.51"
"2022-01-09","277422","3897907","1941997","14.05","0.50"
"2022-01-16","278035","3893595","811046","14.00","0.21"
"2022-01-23","278856","3961443","3350260","14.21","0.85"
"2022-01-30","279735","3937324","2156563","14.08","0.55"
"2022-02-06","280485","3973537","2139546","14.17","0.54"
"2022-02-13","281208","3980237","2099368","14.15","0.53"
"2022-02-20","281996","3961006","2085477","14.05","0.53"
"2022-02-27","282990","3963895","2090298","14.01","0.53"
"2022-03-06","284098","4019053","3277107","14.15","0.82"
"2022-03-13","285111","4034690","3074066","14.15","0.76"
"2022-03-20","286013","4085314","3055869","14.28","0.75"
"2022-03-27","286893","4095401","3117765","14.28","0.76"
"2022-04-03","287779","4074203","3111634","14.16","0.76"
"2022-04-10","288683","4070072","2625841","14.10","0.65"
"2022-04-17","289721","4121203","3301082","14.22","0.80"
"2022-04-24","290557","4120643","3201976","14.18","0.78"
"2022-05-01","291274","4111270","3187088","14.11","0.78"
"2022-05-08","291996","4100431","3095213","14.04","0.75"
"2022-05-15","292999","4068231","3148311","13.88","0.77"
"2022-05-22","293920","4041228","3167768","13.75","0.78"
"2022-05-29","294450","4022570","3132892","13.66","0.78"
"2022-06-05","295142","4012055","3067731","13.59","0.76"
"2022-06-12","295906","3959346","2993661","13.38","0.76"
"2022-06-19","296899","3938264","3142017","13.26","0.80"
"2022-06-26","297872","3917221","3031285","13.15","0.77"
"2022-07-03","298804","3870369","2933369","12.95","0.76"
"2022-07-10","299223","3861706","2914550","12.91","0.75"
"2022-07-17","300406","3833890","2970413","12.76","0.77"
"2022-07-24","301325","3886935","3299541","12.90","0.85"
"2022-07-31","302296","3923064","3240788","12.98","0.83"
"2022-08-07","303381","4062389","3550718","13.39","0.87"
"2022-08-14","304453","4187900","4018266","13.76","0.96"
"2022-08-21","305521","4232293","3270888","13.85","0.77"
"2022-08-28","306596","4299929","4405676","14.02","1.02"
"2022-09-04","305794","4313971","3796737","14.11","0.88"
"2022-09-11","306800","4276049","3760520","13.94","0.88"
"2022-09-18","307627","4247461","3749921","13.81","0.88"
