"Date","Streams"
"2023-04-02","4049282"
"2023-04-09","3789746"
"2023-04-16","3790905"
"2023-04-23","3545695"
"2023-04-30","4742749"
"2023-05-07","4109495"
"2023-05-14","4193548"
"2023-05-21","4309858"
"2023-05-28","4353426"
"2023-06-04","4289964"
"2023-06-11","4252633"
"2023-06-18","4337174"
"2023-06-25","4214404"
"2023-07-02","4081240"
"2023-07-09","4119965"
"2023-07-16","4048705"
"2023-07-23","4222160"
"2023-07-30","4970748"
"2023-08-06","4810270"
"2023-08-13","4895725"
"2023-08-20","4851438"
"2023-08-27","5016279"
"2023-09-03","5001195"
"2023-09-10","4892200"
"2023-09-17","5457573"
"2023-09-24","4092465"
"2023-10-01","4413810"
"2023-10-08","4413302"
"2023-10-15","4335375"
"2023-10-22","4220372"
"2023-10-29","4204267"
"2023-11-05","4048003"
"2023-11-12","4146762"
"2023-11-19","2878933"
"2023-11-26","5327969"
"2023-12-03","4315754"
"2023-12-10","3199242"
"2023-12-17","1785452"
"2023-12-24","5348566"
"2023-12-31","2250278"
"2024-01-07","4601474"
"2024-01-14","4949773"
"2024-01-21","6049717"
"2024-01-28","4028187"
"2024-02-04","4396660"
"2024-02-11","4737681"
"2024-02-18","4473364"
"2024-02-25","4581028"
