"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Cola","CamelPhat, Elderbrook","336182255","68058585","5543875","1385662","2017-06-16"
"Breathe","CamelPhat, Cristoph, Jem Cooke","109350806","14767493","1377632","312179","2018-11-16"
"The Sign","Anyma, CamelPhat","30918145","21750384","1323076","309234","2022-10-28"
"Hope","CamelPhat, Max Milner","8045697","375557","375557","188417","2023-06-15"
"Night After Night - CamelPhat Remix","Fideles, CamelPhat, Be No Rain","9546758","9359946","759905","183761","2023-03-03"
"Panic Room","Au/Ra, CamelPhat","103807747","7982994","531141","133400","2018-07-28"
"Higher","London Grammar, CamelPhat","4969830","4728778","508559","125940","2023-07-20"
"Believe","CamelPhat, Mathame","8431594","5420307","446042","110790","2022-07-15"
"Be Someone","CamelPhat, Jake Bugg","54141409","6730429","399584","106362","2019-06-04"
"For a Feeling (feat. RHODES)","CamelPhat, ARTBAT, RHODES","25341374","5423858","400721","102921","2020-05-01"
"Running Man","CamelPhat","899758","382460","382460","82143","2024-01-11"
"Compute","CamelPhat, Ali Love","1936620","114803","114803","76127","2023-09-13"
"Right Here Right Now (CamelPhat Remix) - Radio Edit","Fatboy Slim, CamelPhat","35648425","3332760","350600","67765","2018-03-09"
"Siren Song - Radio Edit","CamelPhat, EDEN","39057807","4131955","252355","63699","2015-08-17"
"Tighter (feat. Jalja) - CamelPhat Remix","HOSH, Jalja, CamelPhat","9148710","4222073","267833","62390","2021-09-17"
"Cola - Club Mix","CamelPhat, Elderbrook","38355143","3927937","244083","61636","2017-06-16"
"Spektrum (feat. Ali Love)","CamelPhat, Ali Love","9152808","3225875","292274","57140","2020-10-30"
"I Talk To Water (With Perry Farrell) - CamelPhat Remix","Kölsch, CamelPhat, Perry Farrell","489796","371144","371144","56832","2024-01-26"
"Dance with My Ghost (feat. Elderbrook)","CamelPhat, Elderbrook","12853495","3783035","284378","55289","2020-10-30"
"Cola - Robin Schulz Remix","CamelPhat, Elderbrook, Robin Schulz","69541059","2889355","199246","48802","2017-12-08"
"Lose Your Head - CamelPhat Remix","London Grammar, CamelPhat","10110297","2645033","188726","47727","2021-01-22"
"Many Times","CamelPhat, Mathame, Frýnn","1256964","85233","85233","47652","2023-09-13"
"Silenced","CamelPhat, Jem Cooke","10013970","2877864","174180","43031","2022-02-25"
"Rabbit Hole","CamelPhat, Jem Cooke","36561792","2728791","166116","41960","2019-11-08"
"The Sign - Spiritual Milk Edit","CamelPhat, Anyma","1058496","63710","63710","33417","2023-09-13"
"Your Mind","CamelPhat, Josh Gigante","2189322","2099105","125184","29746","2023-04-21"
"Heat Rising (feat. Jules Buckley) - CamelPhat Remix","Pete Tong, Jem Cooke, CamelPhat, Jules Buckley","675121","581459","121130","26449","2023-12-08"
"Easier (feat. LOWES) - Sub Focus Remix","CamelPhat, Lowes, Sub Focus","9661652","1663094","128890","25997","2021-01-15"
"Hypercolour","CamelPhat, Yannis, Foals","17235056","1707703","91007","23668","2020-06-26"
"Hypercolour - ARTBAT Remix","CamelPhat, Yannis, ARTBAT","6664820","1274294","94898","23595","2020-07-24"
"Cola - Simon Mills Full Sugar Mix","CamelPhat, Elderbrook, Simon Mills a.k.a One Half Of Bent","13339232","1390566","99300","20123","2017-11-10"
"Waiting","CamelPhat, Eli & Fur","5429750","1328941","98579","19564","2020-10-30"
"Embers","CamelPhat, Shimza, Julia Church","473516","36459","36459","19303","2023-09-13"
"NYP2","CamelPhat","14313581","925286","68396","17748","2017-02-28"
"Cola - ZHU Remix","CamelPhat, Elderbrook, ZHU","15943107","1122846","71507","17070","2018-01-19"
"Trip - Radio Edit","CamelPhat","2245523","818495","58772","16864","2016-03-18"
"Hangin’ Out With Charlie","CamelPhat","13169804","1020400","64256","16491","2017-03-04"
"Dopamine Machine","CamelPhat, Ali Love","8850472","877978","86288","16261","2018-07-13"
"Live For The Music feat. Erire - Instrumental","CamelPhat, Erire","5474723","961013","63825","15956","2013-04-16"
"Rennen","CamelPhat, SOHN","517809","28956","28956","15087","2023-09-13"
"Home","CamelPhat, RHODES","417455","28579","28579","15076","2023-09-13"
"Cola - Mixed","CamelPhat, Elderbrook","5030833","1685870","57594","14629","2018-01-19"
"In Your Eyes","CamelPhat","535594","24134","24134","14493","2023-09-13"
"Cola - Mousse T.'s Glitterbox Mix","CamelPhat, Elderbrook, Mousse T.","4898918","687785","72005","13698","2017-10-13"
"Hope - Spiritual Milk Edit","CamelPhat, Max Milner","448566","24024","24024","13307","2023-09-13"
"I'm Not Alone - CamelPhat Remix","Calvin Harris, CamelPhat","18930794","938211","51874","12932","2019-04-05"
"Secrets","Sub Focus, CamelPhat, Culture Shock, RHODES","1023397","976979","48759","12442","2023-05-12"
"For a Feeling (feat. RHODES) - Layton Giordani Remix","CamelPhat, ARTBAT, RHODES, Layton Giordani","3842897","723848","54003","11280","2020-06-12"
"Constellations - Radio Edit","CamelPhat","5334366","936598","42374","11172","2015-08-31"
"Constellations - Radio Edit","CamelPhat","5334366","936598","43698","11172","2015-08-31"
"Breathe - CamelPhat Just Chill Mix","CamelPhat, Cristoph, Jem Cooke","11123085","815292","54331","11029","2019-03-01"
"Breathe (feat. Jem Cooke) - Dark Matter Edit","CamelPhat, Cristoph, Jem Cooke","1768939","538932","53110","10884","2020-10-30"
"Drop It","CamelPhat","5684614","736128","40063","10614","2017-10-20"
"Panic Room - Club Mix","Au/Ra, CamelPhat","7597849","579510","41920","10171","2018-07-28"
