"Artist","Artist country","Artist genre","Viberate rank","Genre rank","Instagram","X","Soundcloud"
"Tiësto","Netherlands","Electronic","162","8","both","both","not following"
"Martin Garrix","Netherlands","Electronic","212","10","not following","is following","not following"
"Kygo","Norway","Electronic","269","12","both","not following","not following"
"Robin Schulz","Germany","Electronic","571","19","is following","not following","not following"
"Lost Frequencies","Belgium","Electronic","580","20","not following","both","not following"
"Jonas Blue","United Kingdom","Electronic","632","26","not following","is following","is following"
"Meduza","Italy","Electronic","752","27","not following","is following","not following"
"Alesso","Sweden","Electronic","753","28","both","not following","not following"
"Steve Aoki","United States","Electronic","785","30","is following","is following","not following"
"Ofenbach","France","Electronic","918","32","is following","not following","not following"
"Felix Jaehn","Germany","Electronic","958","35","not following","is following","is following"
"Kungs","France","Electronic","1091","43","is following","not following","not following"
"Purple Disco Machine","Germany","Electronic","1135","47","both","not following","not following"
"Benny Benassi","Italy","Electronic","1139","48","both","both","not following"
"Flume","Australia","Electronic","1221","51","not following","is following","not following"
"Vintage Culture","Brazil","Electronic","1298","54","both","not following","is following"
"Dom Dolla","Australia","Electronic","1379","57","both","is following","is following"
"Timmy Trumpet","Australia","Electronic","1479","63","is following","is following","not following"
"Duke Dumont","United Kingdom","Electronic","1598","67","not following","both","not following"
"Rüfüs DU SOL","Australia","Electronic","1700","74","not following","both","is following"
"HUGEL","United States","Electronic","1778","78","not following","is following","is following"
"Zerb","Brazil","Electronic","2009","88","not following","not following","is following"
"Oliver Heldens","Netherlands","Electronic","2132","95","both","both","not following"
"Sam Feldt","Netherlands","Electronic","2298","103","is following","both","is following"
"MK","United States","Electronic","2301","104","both","not following","not following"
"AronChupa","Sweden","Electronic","2670","131","is following","not following","not following"
"Nya","United States","R&B","2680","142","is following","not following","not following"
"Bakermat","Netherlands","Electronic","2694","135","both","not following","not following"
"Chris Lake","United States","Electronic","2701","137","both","not following","not following"
"Sonny Fodera","United Kingdom","Electronic","2763","141","both","not following","not following"
"Black Coffee","South Africa","Electronic","2967","155","both","not following","not following"
"Seeb","Norway","Electronic","3027","160","is following","not following","not following"
"Sofi Tukker","United States","Electronic","3150","171","both","not following","is following"
"Kaskade","United States","Electronic","3209","181","both","both","not following"
"CamelPhat","United Kingdom","Electronic","3228","183","both","both","not following"
"Steve Angello","Sweden","Electronic","3321","194","not following","both","not following"
"Mahmut Orhan","Turkey","Electronic","3484","207","not following","not following","is following"
"Dubdogz","Brazil","Electronic","3648","217","is following","not following","is following"
"Gorgon City","United Kingdom","Electronic","3669","218","both","both","not following"
"Claptone","Germany","Electronic","3703","222","both","both","not following"
"Blasterjaxx","Netherlands","Electronic","4108","250","not following","is following","not following"
"Todd Terry","United States","Electronic","4207","258","both","both","not following"
"Alle Farben","Germany","Electronic","4439","278","both","not following","not following"
"DJ Antoine","Switzerland","Electronic","4520","284","not following","not following","is following"
"Tujamo","Germany","Electronic","4548","285","not following","is following","not following"
"Mochakk","Brazil","Electronic","4767","297","not following","not following","is following"
"GAMPER & DADONI","Germany","Electronic","4888","310","is following","not following","not following"
"LIZOT","Germany","Electronic","4930","315","is following","not following","not following"
"NERVO","Australia","Electronic","5181","331","is following","not following","not following"
"Darude","Finland","Electronic","5432","349","not following","is following","not following"
"Klangkarussell","Austria","Electronic","5523","356","not following","both","not following"
"Younotus","Germany","Electronic","5545","363","is following","not following","not following"
"Eli Brown","United Kingdom","Electronic","5594","367","both","not following","not following"
"Monolink","Germany","Electronic","5611","369","both","not following","not following"
"Ben Böhmer","Germany","Electronic","5681","374","both","not following","is following"
"The Magician","Belgium","Electronic","6011","396","both","not following","not following"
"Morten","Denmark","Electronic","6102","404","is following","not following","not following"
"Cat Dealers","Brazil","Electronic","6259","419","both","both","is following"
"Surf Mesa","United States","Electronic","6396","430","not following","not following","is following"
"Havana Brown","Australia","Electronic","6628","445","not following","not following","is following"
"Krono","France","Electronic","6793","460","is following","not following","not following"
"Alex Gaudino","Italy","Electronic","6898","466","is following","not following","not following"
"Lucas & Steve","Netherlands","Electronic","6957","469","is following","is following","is following"
"Yall","Spain","Electronic","6988","470","is following","not following","not following"
"Giolì & Assia","Italy","Electronic","7053","473","not following","is following","not following"
"Feride Hilal Akın","Turkey","Pop","7348","2533","is following","not following","not following"
"Sevek","Brazil","Electronic","7602","510","not following","not following","is following"
"Chris Lorenzo","United Kingdom","Electronic","7845","528","both","not following","not following"
"Bhaskar","Brazil","Electronic","7913","533","is following","not following","not following"
"Moska","Colombia","Electronic","8123","549","not following","not following","is following"
"Bob Moses","Canada","Electronic","8149","552","both","not following","not following"
"KREAM","Norway","Electronic","8186","555","is following","is following","not following"
"Eli & Fur","United Kingdom","Electronic","8222","557","both","is following","not following"
"Netsky","Belgium","Electronic","8254","559","not following","is following","not following"
"Stereoact","Germany","Electronic","8285","562","is following","not following","not following"
"Francis Mercier","United States","Electronic","8393","567","not following","not following","is following"
"Odd Mob","Australia","Electronic","8399","568","is following","not following","not following"
"Leon Leiden","Mexico","Pop","8484","2908","not following","is following","not following"
"Westend","United States","Electronic","8630","587","not following","is following","is following"
"Zakes Bantwini","South Africa","Electronic","9048","620","is following","not following","not following"
"Deepend","Netherlands","Electronic","9097","630","is following","not following","is following"
"Mr. Belt & Wezol","Netherlands","Electronic","9299","651","not following","not following","is following"
"Trobi","Netherlands","Electronic","9636","681","not following","not following","is following"
"Klingande","France","Electronic","9734","690","both","both","not following"
"Will K","Australia","Electronic","9981","710","not following","not following","is following"
"Rhymastic","Vietnam","Pop","10064","3423","not following","not following","is following"
"Wankelmut","Germany","Electronic","10103","724","both","is following","not following"
"Kate Ryan","Belgium","Pop","10155","3450","is following","not following","not following"
"Candi Staton","United States","R&B","10690","474","not following","is following","not following"
"Hassan El Shafei","Egypt","Pop","10691","3610","not following","is following","is following"
"DJ Dark","Romania","Electronic","11013","823","not following","not following","is following"
"Deeperise","Turkey","Electronic","11129","834","is following","is following","is following"
"Eelke Kleijn","Netherlands","Electronic","11215","844","both","not following","not following"
"J. Worra","United States","Electronic","11341","852","not following","not following","is following"
"Yotto","Finland","Electronic","11715","883","both","both","not following"
"Bag Raiders","Australia","Electronic","11761","889","not following","is following","not following"
"Massano","United Kingdom","Electronic","11771","890","not following","is following","not following"
"PaulWetz","Germany","Pop","11898","4021","not following","not following","is following"
"Shermanology","Netherlands","Electronic","11915","903","is following","not following","not following"
"Faul & Wad","France","Electronic","11934","905","is following","not following","not following"
