"Date","Spotify streams","Youtube views","Instagram post likes","Shazams","Airplay spins","X likes","Soundcloud plays","Tiktok likes"
"2023-03-06","2307409","382726","10037","4840","1354","53","38311",""
"2023-03-13","2251603","467670","2551","8377","1797","3","70788",""
"2023-03-20","2513601","460836","7540","8210","1876","324","74604",""
"2023-03-27","2332086","390988","32533","8605","1791","64","73037",""
"2023-04-03","2660778","386890","11506","7190","1808","54","69838",""
"2023-04-10","2314233","380581","7500","251397","1785","2","72397",""
"2023-04-17","2285372","350319","11500","7025","1756","0","76873",""
"2023-04-24","2451799","360606","51666","8126","1826","0","82824",""
"2023-05-01","2973087","359138","16834","8572","1828","0","75144",""
"2023-05-08","2647868","339306","9500","8275","1794","0","70975",""
"2023-05-15","2675455","382558","2000","8161","1563","0","71437",""
"2023-05-22","2718940","344601","9000","7589","1790","0","74872",""
"2023-05-29","2913697","359928","4000","7722","1819","0","84082",""
"2023-06-05","2790973","384424","8000","9710","1736","0","72163",""
"2023-06-12","2907158","353351","19000","7948","1734","0","68379",""
"2023-06-19","2796059","387430","14500","8884","1729","0","68993",""
"2023-06-26","2668682","349728","7500","7238","1766","0","66991",""
"2023-07-03","2775990","423903","29000","8976","1736","0","68193",""
"2023-07-10","2877575","382544","13600","7913","1736","0","67590",""
"2023-07-17","2804755","422282","3150","7552","1739","0","65001",""
"2023-07-24","2762543","359702","10248","7219","1755","0","64918",""
"2023-07-31","2671470","44840","11002","7126","1706","0","54782",""
"2023-08-07","2895732","508555","13000","27162","1686","0","67128",""
"2023-08-14","2912026","568707","37000","9657","1657","0","58352",""
"2023-08-21","2949416","308584","13400","8384","1687","0","60843",""
"2023-08-28","2787930","223852","12266","11917","1679","0","66613",""
"2023-09-04","2689266","328027","8667","6760","1664","0","57073",""
"2023-09-11","2806144","361955","3667","6592","1670","0","58579",""
"2023-09-18","3070175","38479","2165","6316","1493","0","68152",""
"2023-09-25","2463328","416255","1499","5928","1434","0","60518",""
"2023-10-02","2633474","473760","2086","6046","1394","0","64922",""
"2023-10-09","2590331","391495","4916","6114","1383","0","55122",""
"2023-10-16","2541167","554017","9000","6037","1559","0","61451",""
"2023-10-23","2510357","94970","21834","32614","1698","0","51795",""
"2023-10-30","2687472","534036","8166","5820","1960","0","55768",""
"2023-11-06","2521449","396137","7334","5681","1746","0","58849",""
"2023-11-13","2744600","389542","10400","6980","1790","0","60950",""
"2023-11-20","1836331","344411","23600","7385","1797","0","63301",""
"2023-11-27","3257975","97041","4000","6544","1835","0","59290",""
"2023-12-04","2390714","588870","16400","6009","1831","0","64663",""
"2023-12-11","2194123","326093","1600","5010","1831","0","50946",""
"2023-12-18","1989727","300841","0","5060","1802","0","51720",""
"2023-12-25","2348687","301250","0","5329","1810","0","5687",""
"2024-01-01","1879702","304869","0","5409","1797","0","80128",""
"2024-01-08","1110537","31454","0","5586","1582","0","52576",""
"2024-01-15","2796349","570616","0","5276","1854","0","59411",""
"2024-01-22","3417760","287828","3375","5642","1804","0","59354",""
"2024-01-29","2227608","330741","7957","5396","1812","0","25104",""
"2024-02-05","2414742","495576","4668","5920","1717","0","64596",""
"2024-02-12","2610187","390000","0","5277","1778","0","72414",""
"2024-02-19","2259151","353714","0","5780","1772","0","54965",""
"2024-02-26","2260010","105653","0","5346","1738","0","52211",""
