"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-27","365368","0","2572591","0","350000","0","N/A","N/A","N/A","N/A","360248","0","0","256515","0","11475"
"2023-03-28","365459","91","2571673","-918","350000","0","N/A","N/A","N/A","N/A","360463","215","0","256559","44","11283"
"2023-03-29","365562","103","2572510","837","350000","0","N/A","N/A","N/A","N/A","360463","0","0","256601","42","10302"
"2023-03-30","365667","105","2572789","279","351000","1000","N/A","N/A","N/A","N/A","360603","140","1003","256636","35","9813"
"2023-03-31","365778","111","2571998","-791","351000","0","N/A","N/A","N/A","N/A","360603","0","0","256677","41","10264"
"2023-04-01","365915","137","2572312","314","351000","0","N/A","N/A","N/A","N/A","360708","105","9000","256705","28","8873"
"2023-04-02","366057","142","2567776","-4536","351000","0","N/A","N/A","N/A","N/A","360708","0","0","256737","32","8164"
"2023-04-03","366188","131","2570953","3177","351000","0","N/A","N/A","N/A","N/A","360835","127","5000","256778","41","11088"
"2023-04-04","366275","87","2574605","3652","351000","0","N/A","N/A","N/A","N/A","360835","0","0","256818","40","11121"
"2023-04-05","366370","95","2577615","3010","351000","0","N/A","N/A","N/A","N/A","360906","71","1000","256851","33","10893"
"2023-04-06","366471","101","2579954","2339","352000","1000","N/A","N/A","N/A","N/A","360906","0","0","256895","44","10923"
"2023-04-07","366594","123","2584401","4447","352000","0","N/A","N/A","N/A","N/A","361173","267","1000","256931","36","10636"
"2023-04-08","366723","129","2577066","-7335","352000","0","N/A","N/A","N/A","N/A","361173","0","0","256964","33","9572"
"2023-04-09","366854","131","2572754","-4312","352000","0","N/A","N/A","N/A","N/A","361564","391","1000","257002","38","8665"
"2023-04-10","366970","116","2569004","-3750","352000","0","N/A","N/A","N/A","N/A","361564","0","0","257035","33","10702"
"2023-04-11","367083","113","2568645","-359","352000","0","N/A","N/A","N/A","N/A","361757","193","2000","257076","41","11384"
"2023-04-12","367170","87","2565776","-2869","352000","0","N/A","N/A","N/A","N/A","361757","0","0","257109","33","10773"
"2023-04-13","367265","95","2560027","-5749","353000","1000","N/A","N/A","N/A","N/A","361908","151","2000","257131","22","10762"
"2023-04-14","367399","134","2555144","-4883","353000","0","N/A","N/A","N/A","N/A","361908","0","0","257175","44","13058"
"2023-04-15","367569","170","2575887","20743","353000","0","N/A","N/A","N/A","N/A","362256","348","7000","257212","37","11529"
"2023-04-16","367742","173","2597858","21971","353000","0","N/A","N/A","N/A","N/A","362256","0","0","257254","42","9761"
"2023-04-17","367891","149","2615819","17961","353000","0","N/A","N/A","N/A","N/A","362651","395","31000","257306","52","13150"
"2023-04-18","368022","131","2632331","16512","353000","0","N/A","N/A","N/A","N/A","362651","0","0","257336","30","13515"
"2023-04-19","368175","153","2641219","8888","353000","0","N/A","N/A","N/A","N/A","362884","233","4000","257382","46","11773"
"2023-04-20","368316","141","2648432","7213","353000","0","N/A","N/A","N/A","N/A","362884","0","0","257437","55","12248"
"2023-04-21","368463","147","2658102","9670","354000","1000","N/A","N/A","N/A","N/A","363367","483","12000","257485","48","11633"
"2023-04-22","368665","202","2669811","11709","354000","0","N/A","N/A","N/A","N/A","363367","0","0","257556","71","10744"
"2023-04-23","368946","281","2685764","15953","354000","0","N/A","N/A","N/A","N/A","363367","0","0","257592","36","8656"
"2023-04-24","369096","150","2695433","9669","354000","0","N/A","N/A","N/A","N/A","363982","615","14000","257615","23","12569"
"2023-04-25","369203","107","2703899","8466","354000","0","N/A","N/A","N/A","N/A","363982","0","0","257645","30","11740"
"2023-04-26","369351","148","2712541","8642","354000","0","N/A","N/A","N/A","N/A","364321","339","6000","257685","40","11206"
"2023-04-27","369471","120","2719795","7254","354000","0","N/A","N/A","N/A","N/A","364321","0","0","257757","72","10957"
"2023-04-28","369582","111","2723669","3874","354000","0","N/A","N/A","N/A","N/A","364628","307","0","257800","43","10570"
"2023-04-29","369680","98","2733193","9524","354000","0","N/A","N/A","N/A","N/A","364628","0","0","257852","52","9446"
"2023-04-30","369803","123","2747631","14438","355000","1000","N/A","N/A","N/A","N/A","364923","295","2000","257901","49","8430"
"2023-05-01","369905","102","2764404","16773","355000","0","N/A","N/A","N/A","N/A","364923","0","0","257957","56","10248"
"2023-05-02","370016","111","2775295","10891","355000","0","N/A","N/A","N/A","N/A","365068","145","1000","258011","54","11171"
"2023-05-03","370125","109","2778389","3094","355000","0","N/A","N/A","N/A","N/A","365068","0","0","258089","78","10917"
"2023-05-04","370354","229","2783666","5277","355000","0","N/A","N/A","N/A","N/A","365237","169","6000","258148","59","10526"
"2023-05-05","370488","134","2785744","2078","355000","0","N/A","N/A","N/A","N/A","365237","0","0","258187","39","10597"
"2023-05-06","370627","139","2796054","10310","355000","0","N/A","N/A","N/A","N/A","365458","221","2000","258248","61","9086"
"2023-05-07","370762","135","2805856","9802","355000","0","N/A","N/A","N/A","N/A","365458","0","0","258293","45","7771"
"2023-05-08","370868","106","2813173","7317","356000","1000","N/A","N/A","N/A","N/A","365458","0","0","258358","65","11306"
"2023-05-09","370962","94","2813173","0","356000","0","N/A","N/A","N/A","N/A","365709","251","0","258406","48","11166"
"2023-05-10","371059","97","2813173","0","356000","0","N/A","N/A","N/A","N/A","365709","0","0","258446","40","10622"
"2023-05-11","371142","83","2822872","9699","356000","0","N/A","N/A","N/A","N/A","366020","311","1000","258496","50","10613"
"2023-05-12","371258","116","2822872","0","356000","0","N/A","N/A","N/A","N/A","366020","0","0","258571","75","10595"
"2023-05-13","371466","208","2824852","1980","356000","0","N/A","N/A","N/A","N/A","366348","328","1000","258626","55","9364"
"2023-05-14","371639","173","2824852","0","356000","0","N/A","N/A","N/A","N/A","366348","0","0","258674","48","8082"
"2023-05-15","371787","148","2827221","2369","356000","0","N/A","N/A","N/A","N/A","366348","0","0","258722","48","11113"
"2023-05-16","371904","117","2827221","0","356000","0","N/A","N/A","N/A","N/A","366348","0","0","258775","53","11131"
"2023-05-17","372015","111","2826258","-963","357000","1000","N/A","N/A","N/A","N/A","367199","851","0","258822","47","10743"
"2023-05-18","372146","131","2832243","5985","357000","0","N/A","N/A","N/A","N/A","367199","0","0","258890","68","9737"
"2023-05-19","372262","116","2840393","8150","357000","0","N/A","N/A","N/A","N/A","367199","0","0","258956","66","12271"
"2023-05-20","372434","172","2852942","12549","357000","0","N/A","N/A","N/A","N/A","367691","492","9000","259025","69","11795"
"2023-05-21","372615","181","2865643","12701","357000","0","N/A","N/A","N/A","N/A","367691","0","0","259072","47","9926"
"2023-05-22","372726","111","2883322","17679","357000","0","N/A","N/A","N/A","N/A","367691","0","0","259122","50","14094"
"2023-05-23","372869","143","2894484","11162","357000","0","N/A","N/A","N/A","N/A","367859","168","1000","259181","59","13610"
"2023-05-24","373018","149","2902481","7997","357000","0","N/A","N/A","N/A","N/A","367859","0","0","259252","71","12472"
"2023-05-25","373151","133","2910844","8363","358000","1000","N/A","N/A","N/A","N/A","367859","0","1000","259302","50","12009"
"2023-05-26","373300","149","2915526","4682","358000","0","N/A","N/A","N/A","N/A","367859","0","0","259354","52","12087"
"2023-05-27","373479","179","2917690","2164","358000","0","N/A","N/A","N/A","N/A","367859","0","0","259397","43","9884"
"2023-05-28","373622","143","2919096","1406","358000","0","N/A","N/A","N/A","N/A","368617","758","3000","259464","67","8585"
"2023-05-29","373804","182","2920959","1863","358000","0","N/A","N/A","N/A","N/A","368617","0","0","259508","44","10909"
"2023-05-30","373971","167","2925231","4272","358000","0","N/A","N/A","N/A","N/A","368617","0","0","259562","54","11822"
"2023-05-31","374101","130","2926534","1303","358000","0","N/A","N/A","N/A","N/A","369477","860","4000","259623","61","11391"
"2023-06-01","374219","118","2924726","-1808","359000","1000","N/A","N/A","N/A","N/A","369477","0","0","259680","57","10366"
"2023-06-02","374337","118","2925703","977","359000","0","N/A","N/A","N/A","N/A","369477","0","0","259732","52","10144"
"2023-06-03","374467","130","2928900","3197","359000","0","N/A","N/A","N/A","N/A","369904","427","3000","259786","54","8946"
"2023-06-04","374652","185","2932761","3861","359000","0","N/A","N/A","N/A","N/A","369904","0","0","259832","46","7796"
"2023-06-05","374798","146","2942710","9949","359000","0","N/A","N/A","N/A","N/A","370365","461","2000","259886","54","10726"
"2023-06-06","374932","134","2949035","6325","359000","0","N/A","N/A","N/A","N/A","370539","174","7000","259942","56","10399"
"2023-06-07","375118","186","2953557","4522","359000","0","N/A","N/A","N/A","N/A","370539","0","0","259982","40","10468"
"2023-06-08","375259","141","2957746","4189","359000","0","N/A","N/A","N/A","N/A","370659","120","4000","260031","49","9787"
"2023-06-09","375389","130","2959914","2168","359000","0","N/A","N/A","N/A","N/A","370659","0","0","260088","57","10503"
"2023-06-10","375529","140","2965954","6040","360000","1000","N/A","N/A","N/A","N/A","370925","266","6000","260153","65","8700"
