"Date","Followers","Follower growth","Popularity"
"2021-02-28","244117","4552","68"
"2021-03-31","248620","6675","67"
"2021-04-30","255377","5750","68"
"2021-05-31","261105","5627","69"
"2021-06-30","266539","7299","68"
"2021-07-31","274293","6537","69"
"2021-08-31","280556","6529","68"
"2021-09-30","287047","4557","65"
"2021-10-31","291822","4828","66"
"2021-11-30","296289","4997","64"
"2021-12-31","301687","5389","66"
"2022-01-31","306885","4427","66"
"2022-02-28","311235","4318","66"
"2022-03-31","315590","4065","66"
"2022-04-30","319603","4503","66"
"2022-05-31","324133","4777","61"
"2022-06-30","328897","4307","61"
"2022-07-31","333232","4963","61"
"2022-08-31","338298","970","62"
"2022-09-30","339181","4843","62"
"2022-10-31","343995","4116","61"
"2022-11-30","348096","4274","61"
"2022-12-31","352413","5308","62"
"2023-01-31","357673","3676","63"
"2023-02-28","361450","4445","64"
"2023-03-31","365778","4013","63"
"2023-04-30","369803","4291","62"
"2023-05-31","374101","4264","62"
"2023-06-30","378361","4857","62"
"2023-07-31","383229","4787","60"
"2023-08-31","388001","4345","60"
"2023-09-30","392376","3386","61"
"2023-10-31","395869","4142","59"
"2023-11-30","400292","4168","59"
"2023-12-31","404210","3991","59"
"2024-01-31","408193","3405","60"
"2024-02-29","411587","255","60"
