"Country","Monthly Listeners"
"Germany","149779"
"United States","128889"
"Australia","96094"
"Netherlands","52244"
"Canada","47753"
"Mexico","34396"
"United Kingdom","27893"
"Colombia","26545"
"South Africa","25958"
"Spain","24608"
"Switzerland","24331"
"Brazil","20351"
"France","20056"
"Chile","19661"
"Belgium","19633"
"Argentina","17682"
"Austria","17638"
"Poland","16841"
"Norway","15845"
"Hungary","14778"
"Czech Republic","14200"
"Sweden","14059"
"Italy","12974"
"Turkey","10527"
"Ireland","10341"
"Finland","10001"
"New Zealand","9838"
