"Date","Followers","Listeners"
"2021-03-07","245236","2558431"
"2021-03-14","246282","2539773"
"2021-03-21","247269","2511970"
"2021-03-28","248210","2505340"
"2021-04-04","249203","2538556"
"2021-04-11","250491","2551183"
"2021-04-18","252378","2624959"
"2021-04-25","254291","2737852"
"2021-05-02","255915","2793008"
"2021-05-09","257382","2828036"
"2021-05-16","258589","2844092"
"2021-05-23","259710","2786500"
"2021-05-30","260912","2751816"
"2021-06-06","262264","2847457"
"2021-06-13","263685","2938037"
"2021-06-20","264928","3013161"
"2021-06-27","266080","3052696"
"2021-07-04","267868","2995731"
"2021-07-11","269910","2932827"
"2021-07-18","271470","2893552"
"2021-07-25","272752","2927349"
"2021-08-01","274539","2952270"
"2021-08-08","275737","2922322"
"2021-08-15","277458","2891233"
"2021-08-22","279054","2786400"
"2021-08-29","280375","2690724"
"2021-09-05","281334","2665495"
"2021-09-12","283479","2679102"
"2021-09-19","284766","2816895"
"2021-09-26","286421","2976395"
"2021-10-03","287436","3019161"
"2021-10-10","288606","3019036"
"2021-10-17","289823","2893836"
"2021-10-24","290834","2714416"
"2021-10-31","291822","2618039"
"2021-11-07","292931","2535196"
"2021-11-14","293931","2514431"
"2021-11-21","295017","2503630"
"2021-11-28","296004","2480532"
"2021-12-05","297471","2467386"
"2021-12-12","298645","2449274"
"2021-12-19","299775","2449088"
"2021-12-26","300624","2417797"
"2022-01-02","301994","2444313"
"2022-01-09","303218","2474648"
"2022-01-16","304410","2494718"
"2022-01-23","305434","2615359"
"2022-01-30","306675","2697658"
"2022-02-06","307930","2725039"
"2022-02-13","308991","2693526"
"2022-02-20","309989","2675350"
"2022-02-27","311102","2598323"
"2022-03-06","312077","2549168"
"2022-03-13","313080","2552677"
"2022-03-20","314037","2637415"
"2022-03-27","315005","2720276"
"2022-04-03","315981","2774421"
"2022-04-10","316942","2771999"
"2022-04-17","317914","2728596"
"2022-04-24","318838","2729784"
"2022-05-01","319759","2740633"
"2022-05-08","320640","2786828"
"2022-05-15","321573","2841579"
"2022-05-22","322667","2850211"
"2022-05-29","323838","2868816"
"2022-06-05","324943","2876758"
"2022-06-12","326079","2838578"
"2022-06-19","327343","2838893"
"2022-06-26","328412","2836048"
"2022-07-03","329410","2825636"
"2022-07-10","329888","2833525"
"2022-07-17","331248","2792936"
"2022-07-24","332234","2779196"
"2022-07-31","333232","2777512"
"2022-08-07","334325","2784733"
"2022-08-14","335657","2841008"
"2022-08-21","336812","2916801"
"2022-08-28","337861","2934533"
"2022-09-04","335461","2913094"
"2022-09-11","336427","2835361"
"2022-09-18","337402","2711704"
"2022-09-25","338444","2641890"
"2022-10-02","339525","2607756"
"2022-10-09","340546","2597310"
"2022-10-16","341662","2603496"
"2022-10-23","342808","2597429"
"2022-10-30","343848","2608153"
"2022-11-06","344861","2644377"
"2022-11-13","345871","2669582"
"2022-11-20","346811","2668179"
"2022-11-27","347690","2619850"
"2022-12-04","348777","2547839"
"2022-12-11","349783","2481405"
"2022-12-18","350670","2426794"
"2022-12-25","351510","2399291"
"2023-01-01","352573","2469892"
"2023-01-08","353842","2542549"
"2023-01-15","355046","2608526"
"2023-01-22","356250","2680828"
"2023-01-29","357370","2634290"
"2023-02-05","358387","2572172"
"2023-02-12","359337","2541351"
"2023-02-19","360160","2485175"
"2023-02-26","361071","2481416"
"2023-03-05","362015","2492378"
"2023-03-12","363069","2516303"
"2023-03-19","364218","2558190"
"2023-03-26","365220","2575420"
"2023-04-02","366057","2567776"
"2023-04-09","366854","2572754"
"2023-04-16","367742","2597858"
"2023-04-23","368946","2685764"
"2023-04-30","369803","2747631"
"2023-05-07","370762","2805856"
"2023-05-14","371639","2824852"
"2023-05-21","372615","2865643"
"2023-05-28","373622","2919096"
"2023-06-04","374652","2932761"
"2023-06-11","375673","2968156"
"2023-06-18","376778","2997159"
"2023-06-25","377716","3057615"
"2023-07-02","378727","3095961"
"2023-07-09","379840","3111923"
"2023-07-16","380882","3106821"
"2023-07-23","382015","3047123"
"2023-07-30","383092","3014383"
"2023-08-06","384174","3007706"
"2023-08-13","385388","3003348"
"2023-08-20","386541","3024784"
"2023-08-27","387505","3028764"
"2023-09-03","388445","2984769"
"2023-09-10","389456","2956856"
"2023-09-17","390514","2909400"
"2023-09-24","391568","2893852"
"2023-10-01","392564","2858013"
"2023-10-08","393479","2791932"
"2023-10-15","394348","2720732"
"2023-10-22","394666","2671190"
"2023-10-29","395621","2656425"
"2023-11-05","396555","2630118"
"2023-11-12","397598","2634808"
"2023-11-19","398614","2642039"
"2023-11-26","399510","2612420"
"2023-12-03","401013","2584249"
"2023-12-10","402135","2532641"
"2023-12-17","403057","2464351"
"2023-12-24","403536","2402381"
"2023-12-31","404210","2334989"
"2024-01-07","405228","2331407"
"2024-01-14","406160","2356010"
"2024-01-21","406994","2349654"
"2024-01-28","407759","2384017"
"2024-02-04","408915","2387208"
"2024-02-11","409442","2378002"
"2024-02-18","410055","2368225"
"2024-02-25","411068","2343300"
