"Artist","Artist country","Artist genre","Viberate rank","Genre rank","Instagram","X","Soundcloud"
"Ariana Grande","United States","Pop","6","4","is following","not following","not following"
"Rihanna","Barbados","Pop","10","6","both","both","not following"
"Katy Perry","United States","Pop","20","15","not following","both","not following"
"Dua Lipa","United Kingdom","Pop","23","18","both","both","not following"
"Jason Derulo","United States","Pop","25","19","not following","is following","not following"
"Nicki Minaj","United States","Hip Hop","26","3","is following","both","not following"
"Post Malone","United States","Hip Hop","30","5","not following","both","not following"
"Imagine Dragons","United States","Rock","36","2","not following","is following","not following"
"David Guetta","France","Electronic","40","1","both","both","not following"
"Marshmello","United States","Electronic","41","2","not following","both","not following"
"Sia","Australia","Pop","46","27","not following","both","not following"
"Shawn Mendes","Canada","Pop","48","29","is following","not following","not following"
"Harry Styles","United Kingdom","Pop","51","30","not following","both","not following"
"Jennifer Lopez","United States","Pop","58","32","not following","not following","is following"
"Snoop Dogg","United States","Hip Hop","61","9","not following","both","not following"
"Sam Smith","United Kingdom","Pop","67","35","both","both","not following"
"Metro Boomin","United States","Hip Hop","75","13","not following","both","not following"
"Anitta","Brazil","Pop","81","42","is following","not following","not following"
"Sabrina Carpenter","United States","Pop","82","43","not following","is following","not following"
"Avicii","Sweden","Electronic","84","5","both","both","not following"
"Charlie Puth","United States","Pop","85","44","not following","both","not following"
"Enrique Iglesias","Spain","Pop","86","45","not following","is following","not following"
"The Chainsmokers","United States","Electronic","92","6","is following","both","not following"
"OneRepublic","United States","Pop","99","50","not following","both","not following"
"Don Omar","Puerto Rico","Latin","100","19","not following","is following","not following"
"Becky G","United States","Latin","106","21","not following","both","not following"
"DJ Snake","France","Electronic","122","7","both","both","not following"
"Halsey","United States","Pop","137","62","is following","both","not following"
"Ellie Goulding","United Kingdom","Pop","143","68","both","both","not following"
"Khalid","United States","Pop","145","69","both","both","not following"
"Lewis Capaldi","United Kingdom","Pop","147","70","both","both","not following"
"Meghan Trainor","United States","Pop","153","74","is following","is following","not following"
"Tiësto","Netherlands","Electronic","162","8","both","both","not following"
"DJ Khaled","United States","Hip Hop","166","27","is following","both","not following"
"Troye Sivan","Australia","Pop","195","95","not following","both","not following"
"ROSALÍA","Spain","Pop","203","98","is following","not following","not following"
"Burna Boy","Nigeria","African","207","1","not following","is following","not following"
"AVA MAX","United States","Pop","208","101","is following","is following","not following"
"Major Lazer","Jamaica","Electronic","209","9","not following","both","not following"
"Martin Garrix","Netherlands","Electronic","212","10","both","both","not following"
"Ne-Yo","United States","R&B","213","6","is following","not following","not following"
"Morat","Colombia","Pop","218","103","not following","is following","not following"
"Sean Paul","Jamaica","Reggae","220","1","not following","both","not following"
"Anirudh Ravichander","India","Pop","235","110","is following","not following","not following"
"Tyler, the Creator","United States","Hip Hop","245","50","is following","not following","not following"
"Davido","Nigeria","African","251","3","is following","not following","not following"
"Flo Rida","United States","Hip Hop","262","56","not following","is following","not following"
"Kygo","Norway","Electronic","269","12","is following","both","not following"
"Zara Larsson","Sweden","Pop","275","118","not following","is following","not following"
"Skrillex","United States","Electronic","280","13","both","not following","not following"
"Bryson Tiller","United States","R&B","289","9","not following","both","not following"
"Jessie J","United Kingdom","Pop","299","126","is following","both","not following"
"Pharrell Williams","United States","R&B","323","12","both","not following","not following"
"Niall Horan","Ireland","Pop","327","137","both","not following","not following"
"Macklemore","United States","Hip Hop","348","74","not following","both","not following"
"Nelly Furtado","Canada","Pop","355","147","not following","both","not following"
"T-Pain","United States","R&B","361","15","not following","both","not following"
"Wizkid","Nigeria","African","363","4","not following","both","not following"
"Mac Miller","United States","Hip Hop","388","84","not following","both","not following"
"Lil Yachty","United States","Hip Hop","389","85","not following","both","not following"
"Maiara & Maraisa","Brazil","Latin","396","71","not following","is following","not following"
"G-Eazy","United States","Hip Hop","399","87","not following","both","not following"
"Clean Bandit","United Kingdom","Pop","418","167","not following","is following","not following"
"Armaan Malik","India","Pop","423","170","not following","is following","not following"
"Calum Scott","United Kingdom","Pop","424","171","is following","is following","not following"
"Lindsey Stirling","United States","Classical","434","1","not following","is following","not following"
"Carlos Vives","Colombia","Pop","443","177","is following","not following","not following"
"Zedd","United States","Electronic","454","15","both","both","not following"
"Kehlani","United States","R&B","471","23","is following","not following","not following"
"Gwen Stefani","United States","Pop","472","187","not following","both","not following"
"Steve Lacy","United States","R&B","473","24","both","not following","not following"
"Big Sean","United States","Hip Hop","487","105","both","both","not following"
"Danny Ocean","Venezuela","Pop","514","201","is following","not following","not following"
"The Living Tombstone","United States","Electronic","524","17","not following","is following","not following"
"Labrinth","United Kingdom","Pop","529","204","not following","both","not following"
"Mark Ronson","United Kingdom","Pop","531","205","both","both","not following"
"Rita Ora","United Kingdom","Pop","565","212","both","not following","not following"
"Armin Van Buuren","Netherlands","Electronic","570","18","not following","is following","not following"
"Robin Schulz","Germany","Electronic","571","19","is following","is following","not following"
"Carly Rae Jepsen","Canada","Pop","575","217","not following","both","not following"
"Pablo Alboran","Spain","Pop","577","218","not following","is following","not following"
"Diplo","United States","Electronic","582","21","both","both","not following"
"Dimitri Vegas & Like Mike","Belgium","Electronic","591","22","is following","not following","not following"
"PARTYNEXTDOOR","Canada","R&B","595","29","not following","both","not following"
"Nick Jonas","United States","Pop","625","225","is following","both","not following"
"Lauv","United States","Pop","630","226","not following","is following","not following"
"Jonas Blue","United Kingdom","Electronic","632","26","is following","both","is following"
"Liam Payne","United Kingdom","Pop","709","252","is following","both","not following"
"Dennis DJ","Brazil","Latin","717","128","is following","not following","is following"
"James Blunt","United Kingdom","Pop","739","258","not following","both","not following"
"Benny Blanco","United States","Pop","745","260","both","both","not following"
"Gloria Trevi","Mexico","Pop","751","261","is following","is following","not following"
"Meduza","Italy","Electronic","752","27","not following","is following","not following"
"Alesso","Sweden","Electronic","753","28","not following","both","not following"
"will.i.am","United States","Pop","766","270","not following","both","not following"
"Steve Aoki","United States","Electronic","785","30","both","not following","not following"
"MC Kevin o Chris","Brazil","Latin","805","143","not following","not following","is following"
"Empire Of The Sun","Australia","Pop","807","290","not following","not following","is following"
"Sophie Ellis-Bextor","United Kingdom","Pop","816","295","not following","both","not following"
"Dido","United Kingdom","Pop","844","307","is following","is following","not following"
"R3hab","Netherlands","Electronic","845","31","both","both","not following"
"George Ezra","United Kingdom","Pop","852","309","not following","is following","not following"
"IZA","Brazil","R&B","864","44","not following","is following","not following"
"Cali Y El Dandee","Colombia","Latin","886","153","is following","not following","not following"
"Louis Tomlinson","United Kingdom","Pop","887","329","both","both","not following"
"6LACK","United States","R&B","896","48","not following","both","not following"
"Clairo","United States","Pop","904","340","not following","is following","not following"
"Ofenbach","France","Electronic","918","32","is following","not following","not following"
"Soulja Boy","United States","Hip Hop","924","177","not following","both","not following"
"Rag'n'Bone Man","United Kingdom","R&B","945","50","both","is following","not following"
"Xand Avião","Brazil","Latin","957","161","is following","not following","not following"
"Felix Jaehn","Germany","Electronic","958","35","is following","is following","not following"
"Afrojack","Netherlands","Electronic","975","36","both","both","not following"
"Becky Hill","United Kingdom","Pop","980","362","is following","is following","not following"
"Hardwell","Netherlands","Electronic","994","37","is following","both","not following"
"W&W","Netherlands","Electronic","995","38","not following","is following","not following"
"Disclosure","United Kingdom","Electronic","1001","39","both","both","is following"
"Tove Lo","Sweden","Pop","1009","376","is following","not following","not following"
