"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"United States","17.24%","2984942","13.80%","N/A","13251148","13.23%","N/A","1912141","13.85%","1647227","19.39%","410637","45.85%"
"Brazil","10.22%","1193567","5.52%","N/A","8275868","8.26%","N/A","2428124","17.58%","1185671","13.96%","42198","4.71%"
"United Kingdom","8.50%","2222672","10.27%","N/A","6120294","6.11%","N/A","728441","5.27%","724115","8.53%","173935","19.42%"
"Mexico","7.34%","1194407","5.52%","N/A","7672061","7.66%","N/A","1001604","7.25%","823619","9.70%","60952","6.81%"
"Australia","4.64%","2565604","11.86%","N/A","2120221","2.12%","N/A","242820","1.76%","198996","2.34%","19359","2.16%"
"India","3.56%","0","0","N/A","2789461","2.79%","N/A","1062309","7.69%","566581","6.67%","N/A","N/A"
"France","3.38%","634797","2.93%","N/A","3726039","3.72%","N/A","576669","4.18%","237683","2.80%","26770","2.99%"
"Italy","3.02%","422979","1.95%","N/A","1934053","1.93%","N/A","485620","3.52%","514063","6.05%","17545","1.96%"
"Indonesia","2.88%","517721","2.39%","N/A","1766872","1.76%","N/A","515983","3.74%","475377","5.60%","N/A","N/A"
"Germany","2.84%","1318017","6.09%","N/A","2694698","2.69%","N/A","N/A","N/A","140956","1.66%","24199","2.70%"
"Colombia","2.45%","442880","2.05%","N/A","2316236","2.31%","N/A","364211","2.64%","304022","3.58%","12099","1.35%"
"Chile","2.34%","771059","3.56%","N/A","1812202","1.81%","N/A","273163","1.98%","232161","2.73%","N/A","N/A"
"Poland","2.23%","432597","2.00%","N/A","3207970","3.20%","N/A","576669","4.18%","N/A","N/A","N/A","N/A"
"Argentina","2.23%","375967","1.74%","N/A","2930684","2.93%","N/A","303506","2.20%","190697","2.25%","12402","1.38%"
"Spain","2.20%","677915","3.13%","N/A","1849724","1.85%","N/A","212457","1.54%","193463","2.28%","12704","1.42%"
"Peru","2.20%","420091","1.94%","N/A","2449948","2.45%","N/A","303506","2.20%","237683","2.80%","14368","1.60%"
"Canada","2.09%","783454","3.62%","N/A","2293648","2.29%","N/A","N/A","N/A","171354","2.02%","21780","2.43%"
"Philippines","2.05%","265795","1.23%","N/A","1442716","1.44%","N/A","485620","3.52%","176887","2.08%","26468","2.96%"
"Netherlands","1.48%","1058137","4.89%","N/A","745684","0.74%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Russian Federation","1.44%","N/A","N/A","N/A","1818851","1.82%","N/A","303506","2.20%","143723","1.69%","20115","2.25%"
"Venezuela","0.94%","N/A","N/A","N/A","536869","0.54%","N/A","242820","1.76%","193463","2.28%","N/A","N/A"
"Turkey","0.90%","337485","1.56%","N/A","N/A","N/A","N/A","333868","2.42%","N/A","N/A","N/A","N/A"
"Ireland","0.79%","498774","2.31%","N/A","653041","0.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Belgium","0.79%","493384","2.28%","N/A","686585","0.69%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ecuador","0.68%","N/A","N/A","N/A","957398","0.96%","N/A","303506","2.20%","N/A","N/A","N/A","N/A"
"Thailand","0.61%","N/A","N/A","N/A","1106708","1.11%","N/A","212457","1.54%","N/A","N/A","N/A","N/A"
"Czech Republic","0.58%","305071","1.41%","N/A","770587","0.77%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ukraine","0.58%","N/A","N/A","N/A","2056606","2.05%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Malaysia","0.54%","243837","1.13%","N/A","953566","0.95%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Vietnam","0.54%","N/A","N/A","N/A","472434","0.47%","N/A","273163","1.98%","N/A","N/A","N/A","N/A"
"Norway","0.47%","358508","1.66%","N/A","182939","0.18%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sweden","0.43%","306693","1.42%","N/A","270250","0.27%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Austria","0.43%","272941","1.26%","N/A","449415","0.45%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dominican Republic","0.43%","N/A","N/A","N/A","262129","0.26%","N/A","242820","1.76%","N/A","N/A","N/A","N/A"
"Singapore","0.40%","268558","1.24%","N/A","210550","0.21%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Algeria","0.40%","N/A","N/A","N/A","295198","0.29%","N/A","212457","1.54%","N/A","N/A","N/A","N/A"
"Finland","0.36%","268034","1.24%","N/A","191590","0.19%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Egypt","0.36%","N/A","N/A","N/A","188166","0.19%","N/A","212457","1.54%","N/A","N/A","N/A","N/A"
"South Korea","0.32%","N/A","N/A","N/A","1221387","1.22%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Japan","0.32%","N/A","N/A","N/A","1129205","1.13%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Africa","0.29%","N/A","N/A","N/A","1082031","1.08%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hungary","0.29%","N/A","N/A","N/A","1076388","1.07%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Romania","0.29%","N/A","N/A","N/A","1037921","1.04%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"China","0.29%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","135423","1.59%","N/A","N/A"
"Guatemala","0.22%","0","0","N/A","769488","0.77%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Saudi Arabia","0.18%","N/A","N/A","N/A","653526","0.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Taiwan","0.18%","N/A","N/A","N/A","618097","0.62%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Portugal","0.14%","N/A","N/A","N/A","587338","0.59%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Israel","0.14%","N/A","N/A","N/A","575564","0.57%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bolivia","0.14%","N/A","N/A","N/A","568632","0.57%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Switzerland","0.11%","N/A","N/A","N/A","437841","0.44%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Honduras","0.11%","N/A","N/A","N/A","402988","0.40%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Greece","0.11%","N/A","N/A","N/A","399593","0.40%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"El Salvador","0.11%","N/A","N/A","N/A","387029","0.39%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Costa Rica","0.11%","N/A","N/A","N/A","362350","0.36%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Slovakia","0.11%","N/A","N/A","N/A","332838","0.33%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
