"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-27","23270633","0","62436911","0","18700000","0","1000000","0","68234","1502500","10782286","0","0","7181417","0","498623"
"2023-03-28","23272319","1686","62521932","85021","18700000","0","1000000","0","0","0","10785525","3239","13000","7181512","95","123794"
"2023-03-29","23274094","1775","62633773","111841","18700000","0","1000000","0","0","0","10785525","0","0","7181605","93","127544"
"2023-03-30","23275917","1823","62728979","95206","18700000","0","1000000","0","71305","2593100","10791642","6117","5000","7181710","105","133566"
"2023-03-31","23277965","2048","62818719","89740","18700000","0","1000000","0","0","0","10791642","0","0","7181849","139","150794"
"2023-04-01","23279983","2018","62992746","174027","18700000","0","1000000","0","0","0","10795411","3769","70000","7182008","159","138859"
"2023-04-02","23282135","2152","63104030","111284","18700000","0","1100000","100000","187964","2070600","10795411","0","0","7182111","103","113697"
"2023-04-03","23284308","2173","63200029","95999","18700000","0","1100000","0","0","0","10804859","9448","121000","7182217","106","129318"
"2023-04-04","23285867","1559","63365279","165250","18700000","0","1100000","0","0","0","10804859","0","0","7182288","71","127019"
"2023-04-05","23288287","2420","63507456","142177","18800000","100000","1100000","0","417274","4512500","10808397","3538","12000","7182402","114","118546"
"2023-04-06","23290302","2015","63622507","115051","18800000","0","1100000","0","0","0","10808397","0","0","7182528","126","135203"
"2023-04-07","23293100","2798","63807216","184709","18800000","0","1100000","0","0","0","10816643","8246","12000","7182627","99","145790"
"2023-04-08","23297988","4888","63716818","-90398","18800000","0","1100000","0","216720","2805900","10816643","0","0","7182730","103","130020"
"2023-04-09","23302747","4759","63675326","-41492","18800000","0","1100000","0","0","0","10819064","2421","138000","7182804","74","101675"
"2023-04-10","23304339","1592","63653073","-22253","18900000","100000","1100000","0","0","0","10819064","0","0","7182891","87","98556"
"2023-04-11","23305929","1590","63715428","62355","18900000","0","1100000","0","136415","3135100","10824747","5683","55000","7182973","82","103224"
"2023-04-12","23307643","1714","63709250","-6178","18900000","0","1100000","0","0","0","10824747","0","0","7183057","84","102928"
"2023-04-13","23309221","1578","63756106","46856","18900000","0","1100000","0","0","0","10827438","2691","3000","7183143","86","106352"
"2023-04-14","23309620","399","63796063","39957","18900000","0","1100000","0","148229","949100","10827438","0","0","7183210","67","122388"
"2023-04-15","23311434","1814","63861898","65835","18900000","0","1100000","0","0","0","10833330","5892","46000","7183296","86","118357"
"2023-04-16","23313405","1971","63895695","33797","18900000","0","1100000","0","0","0","10833330","0","0","7183396","100","89778"
"2023-04-17","23316232","2827","63905338","9643","18900000","0","1100000","0","272609","2787800","10839947","6617","17000","7183494","98","104792"
"2023-04-18","23318390","2158","63964903","59565","19000000","100000","1100000","0","0","0","10839947","0","0","7183578","84","115728"
"2023-04-19","23321520","3130","63974620","9717","19000000","0","1200000","100000","0","0","10850696","10749","135000","7183653","75","111044"
"2023-04-20","23325597","4077","63996010","21390","19000000","0","1200000","0","0","0","10850696","0","0","7183742","89","119020"
"2023-04-21","23329934","4337","64057435","61425","19000000","0","1200000","0","0","0","10852812","2116","110000","7183873","131","129635"
"2023-04-22","23333847","3913","64156238","98803","19000000","0","1200000","0","1228593","7924000","10852812","0","0","7183986","113","116424"
"2023-04-23","23337935","4088","64214678","58440","19000000","0","1200000","0","0","0","10852812","0","0","7184091","105","89612"
"2023-04-24","23341409","3474","64257364","42686","19000000","0","1200000","0","0","0","10862855","10043","57000","7184156","65","99563"
"2023-04-25","23343496","2087","64350775","93411","19000000","0","1200000","0","0","0","10862855","0","0","7184238","82","104635"
"2023-04-26","23344622","1126","64399677","48902","19000000","0","1200000","0","237507","2563100","10866093","3238","139000","7184295","57","102844"
"2023-04-27","23346187","1565","64416006","16329","19000000","0","1200000","0","0","0","10866093","0","0","7184372","77","101048"
"2023-04-28","23348019","1832","64486323","70317","19000000","0","1200000","0","0","0","10872214","6121","95000","7184429","57","116132"
"2023-04-29","23350231","2212","64594885","108562","19000000","0","1200000","0","137156","2262000","10872214","0","0","7184509","80","107735"
"2023-04-30","23352656","2425","64748721","153836","19000000","0","1200000","0","0","0","10878023","5809","65000","7184564","55","87884"
"2023-05-01","23354729","2073","64866401","117680","19000000","0","1200000","0","0","0","10878023","0","0","7184638","74","83795"
"2023-05-02","23356740","2011","64953382","86981","19000000","0","1200000","0","104950","1832600","10879787","1764","9000","7184663","25","88617"
"2023-05-03","23358382","1642","64963345","9963","19000000","0","1200000","0","0","0","10879787","0","0","7184713","50","92803"
"2023-05-04","23360184","1802","65005822","42477","19000000","0","1200000","0","0","0","10875090","-4697","11000","7184748","35","89429"
"2023-05-05","23362174","1990","65032852","27030","19000000","0","1200000","0","64770","690200","10875090","0","0","7184812","64","103313"
"2023-05-06","23364600","2426","65131345","98493","19000000","0","1200000","0","0","0","10876526","1436","37000","7184891","79","97833"
"2023-05-07","23366803","2203","65239757","108412","19000000","0","1200000","0","0","0","10876526","0","0","7184971","80","85261"
"2023-05-08","23368787","1984","65288807","49050","19000000","0","1200000","0","85198","1210100","10876526","0","0","7185032","61","75982"
"2023-05-09","23364228","-4559","65288807","0","19000000","0","1200000","0","0","0","10880579","4053","21000","7185109","77","86362"
"2023-05-10","23366058","1830","65288807","0","19000000","0","1200000","0","0","0","10880579","0","0","7185111","2","105702"
"2023-05-11","23367887","1829","65327160","38353","19000000","0","1200000","0","70028","538000","10883143","2564","3000","7185162","51","92255"
"2023-05-12","23370963","3076","65327160","0","19000000","0","1200000","0","0","0","10883143","0","0","7185232","70","103676"
"2023-05-13","23372606","1643","65417522","90362","19000000","0","1200000","0","0","0","10888720","5577","61000","7185307","75","104307"
"2023-05-14","23375014","2408","65507266","89744","19000000","0","1200000","0","85977","1572800","10888720","0","0","7185374","67","73688"
"2023-05-15","23377211","2197","65541202","33936","19000000","0","1200000","0","0","0","10888720","0","0","7185428","54","82194"
"2023-05-16","23379062","1851","65554408","13206","19000000","0","1200000","0","0","0","10888720","0","0","7185464","36","83879"
"2023-05-17","23380953","1891","65580514","26106","19000000","0","1200000","0","47673","652703","10895657","6937","18000","7185475","11","85268"
"2023-05-18","23383392","2439","65597903","17389","19000000","0","1200000","0","0","0","10895657","0","0","7185534","59","84371"
"2023-05-19","23385655","2263","65643172","45269","19000000","0","1200000","0","0","0","10895657","0","0","7185607","73","95742"
"2023-05-20","23387731","2076","65660913","17741","19000000","0","1200000","0","59393","367700","10899742","4085","2000","7185641","34","94436"
"2023-05-21","23389903","2172","65762925","102012","19000000","0","1200000","0","0","0","10899742","0","0","7185679","38","74525"
"2023-05-22","23391979","2076","65902916","139991","19000000","0","1200000","0","0","0","10899742","0","0","7185730","51","80654"
"2023-05-23","23393511","1532","65957241","54325","19000000","0","1200000","0","23248","446100","10904971","5229","2000","7185791","61","112425"
"2023-05-24","23395505","1994","66036188","78947","19000000","0","1200000","0","0","0","10904971","0","0","7185839","48","84124"
"2023-05-25","23397546","2041","66081389","45201","19000000","0","1200000","0","0","0","10910999","6028","1000","7185932","93","84337"
"2023-05-26","23399546","2000","66133359","51970","19000000","0","1200000","0","0","0","10910999","0","0","7185972","40","95798"
"2023-05-27","23401498","1952","66268768","135409","19000000","0","1200000","0","0","0","10910999","0","0","7186052","80","90080"
"2023-05-28","23403745","2247","66379951","111183","19000000","0","1200000","0","0","0","10917053","6054","155000","7186120","68","75491"
"2023-05-29","23405876","2131","66449392","69441","19000000","0","1200000","0","149804","610200","10917053","0","0","7186188","68","80058"
"2023-05-30","23407422","1546","66495018","45626","19000000","0","1200000","0","0","0","10917053","0","0","7186258","70","82736"
"2023-05-31","23409270","1848","66523515","28497","19000000","0","1200000","0","0","0","10921954","4901","148000","7186321","63","80189"
"2023-06-01","23411275","2005","66561298","37783","19000000","0","1200000","0","38643","485300","10921954","0","0","7186357","36","81935"
"2023-06-02","23413204","1929","66619296","57998","19000000","0","1200000","0","0","0","10921954","0","0","7186428","71","97342"
