"Channel","Track","Artists","Release date","Engagement 1w","Engagement 1m","Engagement Total"
"Airplay","Calvin Harris feat. Ellie Goulding - Outside (Original Mix)","Calvin Harris","2021-08-25","1308","12600","N/A"
"Airplay","Calvin Harris & Disciples - How Deep Is Your Love","Calvin Harris","2021-08-25","1875","18104","N/A"
"Shazam","We Found Love - Rihanna Feat. Calvin Harris","Rihanna, Calvin Harris","2011-01-01","31091","129027","12334131"
"Shazam","Feel So Close - Calvin Harris","Calvin Harris","2011-01-01","12313","47383","N/A"
"Shazam","Summer - Calvin Harris","Calvin Harris","2014-03-14","10716","42607","11154595"
"Shazam","Blame - Calvin Harris Feat. John Newman","John Newman, Calvin Harris","2014-09-05","N/A","N/A","10346576"
"Shazam","Outside - Calvin Harris Feat. Ellie Goulding","Calvin Harris, Ellie Goulding","2014-10-20","15811","66616","10279492"
"Shazam","How Deep Is Your Love - Calvin Harris & Disciples","Calvin Harris, Disciples","2015-07-17","20666","72128","14028961"
"Shazam","This Is What You Came For - Calvin Harris Feat. Rihanna","Calvin Harris, Rihanna","2016-04-29","14685","59303","13211639"
"Shazam","Feels - Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, watari, lorche","2017-06-16","10662","42373","13554010"
"Shazam","Promises - Calvin Harris & Sam Smith","Sam Smith, Calvin Harris","2018-08-17","N/A","N/A","11199594"
"Shazam","One Kiss - Calvin Harris & Dua Lipa","Calvin Harris, Dua Lipa","2018-04-06","13271","54432","15621436"
"Shazam","Giant - Calvin Harris & Rag'n'Bone Man","Rag'n'Bone Man, Calvin Harris","2019-01-11","N/A","N/A","9996536"
"Shazam","Miracle","Ellie Goulding, Calvin Harris","2023-03-10","14795","62034","N/A"
"Shazam","Desire","Calvin Harris, Sam Smith","2023-07-28","17261","85118","N/A"
"Airplay","Moving Love Regenerator","Calvin Harris","2021-08-25","5048","53156","N/A"
"Airplay","Calvin Harris, Ellie Goulding - Miracle NM","Calvin Harris","2023-05-11","3246","36509","N/A"
"Airplay","Calvin Harris, Rihanna - This Is What You Came For","Calvin Harris","2021-08-25","2342","22994","N/A"
"Airplay","Calvin Harris - Summer (Original Mix)","Calvin Harris","2021-08-25","2082","19739","N/A"
"Airplay","Calvin Harris - My Way","Calvin Harris","2021-08-25","1812","18014","N/A"
"Airplay","CALVIN HARRIS & RAG 'N' BONE MAN - GIANT","Calvin Harris","2021-08-25","1768","17288","N/A"
"Airplay","Calvin Harris - I Need Your Love","Calvin Harris","2021-08-25","1572","15183","N/A"
"Airplay","Calvin Harris Feat. John Newman - Blame","Calvin Harris","2021-08-25","1477","14556","N/A"
"Spotify","We Found Love (feat. Rihanna)","Calvin Harris, Rihanna","2012-10-29","10280605","49072145","1507895423"
"Spotify","We Found Love","Rihanna, Calvin Harris","2011-01-01","10280605","39039790","1507895423"
