"Date","Likes","Comments"
"2023-03-05","35000","261"
"2023-03-12","18000","215"
"2023-03-19","160000","1262"
"2023-03-26","146000","1158"
"2023-04-02","145000","862"
"2023-04-09","242000","1499"
"2023-04-16","262000","1200"
"2023-04-23","291000","2014"
"2023-04-30","122000","709"
"2023-05-07","85000","702"
"2023-05-14","20000","266"
"2023-05-21","3000","-35"
"2023-05-28","338000","3028"
"2023-06-04","74000","365"
"2023-06-11","207000","1433"
"2023-06-18","44000","72"
"2023-06-25","68000","221"
"2023-07-02","177000","1085"
"2023-07-09","276000","1207"
"2023-07-16","151000","1496"
"2023-07-23","342000","2117"
"2023-07-30","191000","1657"
"2023-08-06","161000","1515"
"2023-08-13","163000","1494"
"2023-08-20","309000","2428"
"2023-08-27","304000","2239"
"2023-09-03","113000","750"
"2023-09-10","41000","182"
"2023-09-17","19000","130"
"2023-09-24","5000","98"
"2023-10-01","2000","9"
"2023-10-08","0","0"
"2023-10-15","0","0"
"2023-10-22","0","0"
"2023-10-29","0","0"
"2023-11-05","13000","41"
"2023-11-12","57000","948"
"2023-11-19","82000","536"
"2023-11-26","113000","1096"
"2023-12-03","10000","60"
"2023-12-10","0","0"
"2023-12-17","0","0"
"2023-12-24","0","0"
"2023-12-31","0","0"
"2024-01-07","0","0"
"2024-01-14","0","0"
"2024-01-21","4000","29"
"2024-01-28","35000","667"
"2024-02-04","0","0"
"2024-02-11","0","0"
"2024-02-18","0","0"
"2024-02-25","0","0"
