"Artist","Artist country","Artist genre","Viberate rank","Subgenre rank","Number of mentions","Last mention date","Last mention time"
"Ellie Goulding","United Kingdom","Pop","143","64","2","2024-02-21","09:32:22"
"Will Smith","United States","Hip Hop","214","29","1","2024-02-09","23:40:26"
"Rag'n'Bone Man","United Kingdom","R&B","945","10","2","2024-01-31","03:43:45"
"Eliza Rose","United Kingdom","Electronic","3688","35","2","2024-01-05","03:32:26"
"Dopamine","United Kingdom","Electronic","10686","562","1","2024-01-02","10:14:49"
"MATTN","Belgium","Electronic","10759","569","1","2023-12-31","14:01:27"
"MistaJam","United Kingdom","Electronic","13421","236","2","2024-02-22","01:03:38"
"Paul Woolford","United Kingdom","Electronic","14090","250","1","2024-01-19","01:36:14"
"SYNTHONY","New Zealand","Electronic","17223","1005","1","2023-12-04","02:35:17"
"Anshuman Sharma","India","Pop","18703","784","1","2024-01-12","10:12:53"
"Riordan","United Kingdom","Electronic","20740","426","2","2024-01-06","11:11:49"
"Sandro Silva","Netherlands","Electronic","21097","1281","1","2024-01-29","21:52:30"
"DJ Blighty","United Kingdom","Electronic","26983","1703","2","2024-01-30","20:46:17"
"DJ S.K.T","United Kingdom","Electronic","40615","1117","1","2024-01-26","08:59:51"
"Super Disco Club","Australia","Electronic","51427","1595","1","2024-01-04","18:15:28"
"DJ Freak","Peru","Reggae","72878","748","1","2024-01-16","09:51:27"
"Tyson O’Brien","Australia","Electronic","76420","2894","1","2024-02-03","17:19:46"
"Jose De Mara","Spain","Electronic","79643","5898","1","2024-01-21","19:09:44"
"Geses","Canada","Electronic","90103","6733","1","2024-01-12","04:45:18"
"Deleasa","United States","Electronic","93378","6998","1","2024-01-29","09:04:23"
"Charlie Hedges","United Kingdom","Electronic","94684","7094","1","2023-12-03","04:45:16"
"Gil Glaze","Switzerland","Electronic","100200","4344","1","2024-02-18","18:04:30"
"Jacopo Catapano","Italy","Electronic","126324","9731","1","2024-02-11","10:32:54"
"Dave Bo","Poland","Electronic","128495","9926","1","2023-12-20","08:25:54"
"Sergio Mauri","Italy","Electronic","145396","11384","1","2024-02-23","17:45:22"
"Vee Brondi","Brazil","Electronic","147414","7681","1","2024-02-02","02:47:30"
"Natural Symphony","United Kingdom","Electronic","148126","6033","1","2024-01-31","07:01:00"
"DJ Industrial Badger","United States","Electronic","157650","8467","1","2024-01-25","09:12:04"
"Momento","United Kingdom","Pop","162367","18350","1","2024-01-14","22:23:33"
"BOBBY HARVEY","United Kingdom","Electronic","164476","9001","1","2024-02-08","20:51:15"
"Olla","Monaco","Pop","185097","20370","1","2024-01-18","10:33:36"
"Isla Wolfe","United Kingdom","R&B","189234","9714","1","2023-12-21","01:47:56"
"Axel N.","Germany","Electronic","199074","4001","1","2024-02-01","06:53:11"
"ellie d.","United States","Pop","201201","21740","1","2024-02-05","22:50:19"
"This Light","Canada","Electronic","226474","18464","2","2024-02-29","14:58:49"
"DJ EU","United States","Electronic","234638","19207","1","2023-12-27","01:58:57"
"Jordan Hind","United Kingdom","Electronic","235377","14777","1","2024-01-30","20:49:18"
"Andrea Benham","United States","Electronic","263973","21682","1","2023-12-03","19:58:21"
"Colin Jay","United Kingdom","Electronic","268697","17667","2","2023-12-19","22:30:16"
"2 Brothers Of Hardstyle","Italy","Electronic","309843","8259","1","2024-01-29","20:21:29"
"Tomachka","United States","Electronic","316947","25950","1","2023-12-19","10:49:28"
"KEVIN LNDN","Nigeria","Electronic","326168","26700","1","2024-01-24","18:24:02"
"Saddam","Indonesia","Electronic","330149","27017","1","2024-01-29","22:28:28"
"James Miller","Russian Federation","Electronic","364715","25958","1","2024-01-15","01:48:18"
"Chambre 317","France","Pop","373301","33898","1","2024-01-13","22:01:04"
"Roseanna","United Kingdom","Rock","376439","15267","1","2024-01-31","00:59:25"
"Chris Lawson","Canada","Pop","403738","35647","3","2024-02-05","20:03:32"
"nugroove","Australia","Electronic","404954","29366","1","2024-01-12","01:39:38"
"Grandmixer GMS","United States","Electronic","429791","14297","2","2024-02-08","19:19:39"
"DJ Bossa Nova","United States","Electronic","438688","34751","1","2023-12-30","09:44:31"
"Extella","Germany","Electronic","488933","3333","1","2024-02-01","20:17:45"
"Laev","United States","Electronic","493596","38274","1","2024-01-14","14:18:14"
"Janex","Austria","Electronic","544098","5835","1","2023-12-31","21:30:52"
"Bella Maree","Australia","R&B","557159","9826","1","2024-01-14","08:24:33"
"TAMSI QUEEN","N/A","Rock","738992","44549","1","2024-01-13","04:10:16"
