"Date","New followers","Total followers"
"2023-04-02","722","7182111"
"2023-04-09","566","7182804"
"2023-04-16","690","7183396"
"2023-04-23","523","7184091"
"2023-04-30","382","7184564"
"2023-05-07","416","7184971"
"2023-05-14","334","7185374"
"2023-05-21","411","7185679"
"2023-05-28","448","7186120"
"2023-06-04","283","7186567"
"2023-06-11","249","7186828"
"2023-06-18","308","7187083"
"2023-06-25","431","7187402"
"2023-07-02","540","7187834"
"2023-07-09","417","7188342"
"2023-07-16","556","7188813"
"2023-07-23","623","7189382"
"2023-07-30","774","7190019"
"2023-08-06","553","7190776"
"2023-08-13","545","7191318"
"2023-08-20","530","7191834"
"2023-08-27","579","7192392"
"2023-09-03","449","7192930"
"2023-09-10","346","7193404"
"2023-09-17","223","7193719"
"2023-09-24","243","7193906"
"2023-10-01","204","7194195"
"2023-10-08","169","7194394"
"2023-10-15","155","7194549"
"2023-10-22","108","7194691"
"2023-10-29","137","7194818"
"2023-11-05","128","7194945"
"2023-11-12","148","7195066"
"2023-11-19","314","7195255"
"2023-11-26","198","7195521"
"2023-12-03","225","7195704"
"2023-12-10","361","7196002"
"2023-12-17","340","7196365"
"2023-12-24","466","7196688"
"2023-12-31","377","7197191"
"2024-01-07","339","7197524"
"2024-01-14","946","7197847"
"2024-01-21","732","7198954"
"2024-01-28","436","7199663"
"2024-02-04","357","7199953"
"2024-02-11","969","7200381"
"2024-02-18","1204","7201439"
"2024-02-25","903","7202622"
