"Date","Soundcloud followers","Soundcloud plays","Soundcloud likes","Soundcloud comments","Soundcloud reposts"
"Dec 2022","687","793889","9152","118","-67"
"Jan 2023","622","728662","8320","105","40"
"Feb 2023","2957","3309594","89337","748","1797"
"Mar 2023","2799","3450716","54848","593","906"
"Apr 2023","1749","2757025","34548","369","490"
"May 2023","1348","2231651","29243","321","871"
"Jun 2023","2413","1912123","26976","413","380"
"Jul 2023","2587","2252819","37516","418","407"
"Aug 2023","1546","2222114","30826","573","186"
"Sep 2023","711","1980404","23938","538","403"
"Oct 2023","759","1698371","18781","193","195"
"Nov 2023","1480","1613155","17834","302","152"
"Dec 2023","2682","1564444","16968","231","108"
"Jan 2024","3367","1473312","17176","136","156"
