"Date","Plays"
"2023-04-09","899593"
"2023-04-16","753480"
"2023-04-23","786421"
"2023-04-30","721569"
"2023-05-07","643674"
"2023-05-14","653545"
"2023-05-21","599578"
"2023-05-28","621943"
"2023-06-04","587186"
"2023-06-11","528756"
"2023-06-18","538006"
"2023-06-25","500315"
"2023-07-02","456878"
"2023-07-09","441008"
"2023-07-16","409446"
"2023-07-23","429318"
"2023-07-30","433131"
"2023-08-06","486332"
"2023-08-13","511773"
"2023-08-20","513322"
"2023-08-27","527804"
"2023-09-03","506238"
"2023-09-10","535165"
"2023-09-17","519635"
"2023-09-24","511115"
"2023-10-01","494939"
"2023-10-08","474126"
"2023-10-15","450948"
"2023-10-22","437432"
"2023-10-29","436534"
"2023-11-05","403521"
"2023-11-12","406594"
"2023-11-19","396726"
"2023-11-26","396255"
"2023-12-03","373996"
"2023-12-10","382963"
"2023-12-17","363974"
"2023-12-24","344122"
"2023-12-31","351364"
"2024-01-07","364401"
"2024-01-14","366353"
"2024-01-21","344238"
"2024-01-28","349012"
"2024-02-04","341712"
"2024-02-11","356105"
"2024-02-18","345599"
"2024-02-25","373985"
"2024-03-03","250315"
