"Date","Followers","Follower growth","Popularity"
"2021-02-28","21302837","185909","88"
"2021-03-31","21484533","124986","88"
"2021-04-30","21607797","77951","88"
"2021-05-31","21685969","108147","89"
"2021-06-30","21790983","99653","89"
"2021-07-31","21897614","123914","89"
"2021-08-31","22018749","130524","89"
"2021-09-30","22151110","87842","85"
"2021-10-31","22236022","72810","86"
"2021-11-30","22305726","85190","85"
"2021-12-31","22394235","79138","86"
"2022-01-31","22472418","57033","86"
"2022-02-28","22528572","77430","86"
"2022-03-31","22607080","79406","87"
"2022-04-30","22685904","64264","87"
"2022-05-31","22750673","72962","83"
"2022-06-30","22826719","92914","84"
"2022-07-31","22916930","92652","85"
"2022-08-31","23007131","-161816","85"
"2022-09-30","22847466","70664","85"
"2022-10-31","22917696","64234","84"
"2022-11-30","22982050","93315","83"
"2022-12-31","23076438","81697","85"
"2023-01-31","23156831","55184","86"
"2023-02-28","23215486","65924","88"
"2023-03-31","23277965","74314","87"
"2023-04-30","23352656","57191","87"
"2023-05-31","23409270","50117","86"
"2023-06-30","23459640","71788","86"
"2023-07-31","23531887","72981","84"
"2023-08-31","23604455","60199","84"
"2023-09-30","23664772","-267256","85"
"2023-10-31","23399888","65297","83"
"2023-11-30","23471772","-335923","83"
"2023-12-31","23121204","-183481","83"
"2024-01-31","22937852","-529369","85"
"2024-02-29","22415987","3314","85"
