"Date","Spotify followers total","Spotify followers new","Youtube subscribers total","Youtube subscribers new","Instagram followers total","Instagram followers new","Facebook followers total","Facebook followers new","Deezer fans total","Deezer fans new","X followers total","X followers new","Soundcloud followers total","Soundcloud followers new","Tiktok followers total","Tiktok followers new"
"2023-03-06","1352","2","487","0","14594","-8","6272","-3","205","0","243","1","4336","1","",""
"2023-03-13","1356","5","487","0","14556","-28","6272","1","205","0","243","2","4336","3","",""
"2023-03-20","1360","4","487","0","14549","-13","6274","4","205","0","243","0","4343","8","",""
"2023-03-27","1360","1","487","0","14536","-13","6278","3","205","0","243","1","4347","4","",""
"2023-04-03","1368","7","487","0","14531","-4","6282","4","205","0","242","1","4351","4","",""
"2023-04-10","1368","1","487","0","14516","-8","6283","2","205","0","243","1","4355","4","",""
"2023-04-17","1369","2","487","0","14461","-60","6280","-2","205","0","243","0","4360","5","",""
"2023-04-24","1372","3","486","0","14678","256","6284","5","205","0","243","0","4372","14","",""
"2023-05-01","1376","3","486","1","14544","-81","6299","15","205","0","243","0","4376","2","",""
"2023-05-08","1376","1","487","1","14069","-563","6308","9","205","0","243","0","4389","11","",""
"2023-05-15","1378","2","487","0","13861","-207","6316","9","206","1","243","0","4398","12","",""
"2023-05-22","1378","0","487","0","13675","-182","6328","12","206","0","243","0","4398","1","",""
"2023-05-29","1382","4","487","0","13656","-13","6332","2","206","0","243","0","4396","-1","",""
"2023-06-05","1382","1","488","1","13653","-3","6341","10","206","0","243","0","4402","4","",""
"2023-06-12","1385","3","488","0","13632","-20","6350","11","206","0","243","0","4408","7","",""
"2023-06-19","1387","2","489","1","13606","-23","6352","2","206","0","243","0","4417","6","",""
"2023-06-26","1389","1","488","0","13598","-9","6363","12","206","0","243","0","4419","6","",""
"2023-07-03","1390","2","488","0","13618","20","6370","7","207","0","243","0","4431","11","",""
"2023-07-10","1395","6","488","0","13620","3","6371","2","207","1","243","0","4439","8","",""
"2023-07-17","1397","2","487","0","13518","-102","6373","2","207","0","243","0","4444","6","",""
"2023-07-24","1399","2","487","0","13521","6","6370","-2","207","0","243","0","4450","7","",""
"2023-07-31","1400","2","487","0","13508","-7","6371","2","207","0","243","0","4450","1","",""
"2023-08-07","1402","2","486","0","13481","-27","6373","3","206","0","243","0","4452","3","",""
"2023-08-14","1401","0","486","0","13466","-12","6369","-1","206","0","243","0","4456","3","",""
"2023-08-21","1405","4","486","0","13459","-5","6363","-6","206","0","243","0","4463","5","",""
"2023-08-28","1407","2","486","0","13450","-10","6360","1","206","0","243","0","4465","5","",""
"2023-09-04","1408","1","486","0","13435","-12","6358","-3","206","0","243","0","4468","3","",""
"2023-09-11","1411","3","486","0","13414","-23","6358","1","206","0","243","0","4470","3","",""
"2023-09-18","1410","0","485","0","13390","-14","6360","3","206","0","243","0","4474","3","",""
"2023-09-25","1411","2","484","0","13380","-11","6360","1","206","0","243","0","4477","4","",""
"2023-10-02","1413","2","484","0","13377","-2","6361","2","206","0","243","0","4487","9","",""
"2023-10-09","1420","4","483","0","13371","-1","6356","-1","207","1","243","0","4489","4","",""
"2023-10-16","1425","5","484","1","13371","1","6353","-1","207","0","243","0","4493","4","",""
"2023-10-23","1422","-2","483","0","13428","52","6351","-1","208","1","243","0","4496","2","",""
"2023-10-30","1426","4","483","0","13417","-8","6351","1","208","0","243","0","4497","2","",""
"2023-11-06","1434","9","483","0","13403","-10","6351","-2","208","0","243","0","4487","7","",""
"2023-11-13","1439","4","483","0","13395","-6","6347","-2","208","0","243","0","4493","-12","",""
"2023-11-20","1448","10","483","0","13394","0","6347","1","208","0","243","0","4499","8","",""
"2023-11-27","1456","7","483","0","13404","9","6348","1","209","1","243","0","4505","5","",""
"2023-12-04","1460","5","484","1","13402","0","6347","-1","209","0","243","0","4507","2","",""
"2023-12-11","1472","11","485","1","13423","21","6348","1","210","0","243","0","4509","3","",""
"2023-12-18","1476","6","484","0","12757","-581","6349","2","210","1","243","0","4516","5","",""
"2023-12-25","1486","9","484","0","12757","-83","6348","0","211","1","243","0","4518","4","",""
"2024-01-01","1484","-1","485","1","12757","9","6347","0","212","1","243","0","4531","14","",""
"2024-01-08","1493","7","485","0","12802","36","6347","0","212","0","243","0","4540","7","",""
"2024-01-15","1499","7","485","0","12802","-89","6355","9","212","0","243","0","4550","12","",""
"2024-01-22","1560","62","489","3","12084","-623","6365","10","212","0","243","0","4559","7","",""
"2024-01-29","1569","9","491","3","12084","0","6366","2","213","1","243","0","4561","3","",""
"2024-02-05","1573","6","491","0","12084","0","6363","0","213","0","243","0","4566","6","",""
"2024-02-12","1634","60","491","0","12084","0","6362","-1","213","0","243","0","4571","4","",""
"2024-02-19","1632","0","491","0","12084","0","6361","-1","213","0","243","0","4575","7","",""
"2024-02-26","1634","2","491","0","12084","0","6356","-2","213","0","243","0","4578","1","",""
