"Date","Likes","Comments"
"2023-03-05","140","29"
"2023-03-12","112","6"
"2023-03-19","331","49"
"2023-03-26","575","71"
"2023-04-02","58","11"
"2023-04-09","233","23"
"2023-04-16","259","33"
"2023-04-23","33","5"
"2023-04-30","10","1"
"2023-05-07","6","0"
"2023-05-14","2","0"
"2023-05-21","0","0"
"2023-05-28","139","26"
"2023-06-04","3","1"
"2023-06-11","210","43"
"2023-06-18","9","0"
"2023-06-25","147","24"
"2023-07-02","12","4"
"2023-07-09","127","18"
"2023-07-16","4","1"
"2023-07-23","2","0"
"2023-07-30","5","0"
"2023-08-06","0","0"
"2023-08-13","0","0"
"2023-08-20","20","7"
"2023-08-27","2","2"
"2023-09-03","3","0"
"2023-09-10","0","0"
"2023-09-17","78","10"
"2023-09-24","52","28"
"2023-10-01","2","0"
"2023-10-08","119","18"
"2023-10-15","77","11"
"2023-10-22","20","9"
"2023-10-29","33","8"
"2023-11-05","2","1"
"2023-11-12","3","0"
"2023-11-19","0","0"
"2023-11-26","25","2"
"2023-12-03","60","16"
"2023-12-10","0","0"
"2023-12-17","0","0"
"2023-12-24","0","0"
"2023-12-31","3","42"
"2024-01-07","0","0"
"2024-01-14","244","10"
"2024-01-21","0","0"
"2024-01-28","0","0"
"2024-02-04","0","0"
"2024-02-11","0","0"
"2024-02-18","0","0"
"2024-02-25","0","0"
