"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Devid Dega - Bring The Sun Home (Kostas Maskalides Mix)  (preview)","DEVID DEGA","10721","93","12","2","2017-11-27"
"Devid Dega @ Bunker Rave At Polygon Club  Berlin (15 - 11 - 2019) FreeDownload","DEVID DEGA","6714","528","14","1","2019-11-19"
"MAURO PICOTTO - LIZARD (DEVID DEGA Rework) (preview)  [Alchemy]","DEVID DEGA","5850","355","18","4","2017-06-19"
"Devid Dega, Giorgio Rusconi - Mizar (Heerhorst Rmx)(preview) [Ballroom Black]","DEVID DEGA","5488","164","7","1","2019-12-29"
"Giorgio Rusconi, Devid Dega - Antares (preview) [Phobiq]","DEVID DEGA","3576","427","14","3","2019-08-17"
"Devid Dega _studio mix for Techno Tuesday Amsterdam 5-2020 (FreeDownload)","DEVID DEGA","3206","79","2","0","2020-05-13"
"Devid Dega - Dirty Stuff Podcast #195 (10.03.2020) [FreeDownload]","DEVID DEGA","2923","76","4","2","2020-03-11"
"Nihil Young & Shay De Castro - Dichotomy (Devid Dega Rmx) (preview) [Frequenza]","DEVID DEGA","2853","122","5","1","2019-08-20"
"DEVID DEGA, LUCA GAETA - MEMORY (preview)  [AGILE Reordings]","DEVID DEGA","2652","8","0","0","2016-08-29"
"Devid Dega - Techno Tuesday MELKWEG, Amsterdam 28 - 03 - 2017","DEVID DEGA","2604","50","20","7","2017-04-03"
"DEVID DEGA - IRREGULAR EXPRESSIONS (preview) [Riot Recordings]","DEVID DEGA","2555","15","2","0","2017-07-29"
"DEVID DEGA, - BOOMSKI [Free Download]","DEVID DEGA","2473","133","9","1","2017-07-29"
"Devid Dega - Techno Tuesday at MELKWEG, Amsterdam 4-12-2018 (Free-Download)","DEVID DEGA","2458","59","1","0","2018-12-13"
"Devid Dega - Serotonin @ RedCatLounge - Cologne (DE) 11 - 8-2019 FreeDownload","DEVID DEGA","2357","106","11","5","2019-08-14"
"Devid Dega - Techno Tuesday MELKWEG, Amsterdam 12 -6-2018 (Free-Download)","DEVID DEGA","2169","9","1","1","2018-06-20"
"Devid Dega, Dok & Martin - Oscura (preview) [IAMT]","DEVID DEGA","2066","9","0","0","2019-05-02"
"Devid Dega, Luca B - Molecular Injection (preview) [Throne Room]","DEVID DEGA","1971","88","16","5","2021-01-29"
"Techno Recommends Podcast 079 Devid Dega Guest Mix","DEVID DEGA","1844","28","0","0","2016-12-09"
"The Southern, Devid Dega - On Acid (preview)  [Tronic]","DEVID DEGA","1806","13","0","0","2017-11-22"
"Street Slang, Charles D (USA) - Magic (Devid Dega Rmx) (preview) [Dense Audio]","DEVID DEGA","1772","16","1","1","2019-09-24"
"DEVID DEGA, PEPPELINO - EIGHT OF MAY (preview) [AGILE RECORDINGS]","DEVID DEGA","1767","5","0","0","2014-10-01"
"Superstrobe - Humanoid (Devid Dega Remix) (preview) [Funkn Deep Black]","DEVID DEGA","1708","10","1","1","2019-04-03"
"DEVID DEGA - Podcast Technostate Inc. Diesel.Fm 4-01-2018 FREE DOWNLOAD","DEVID DEGA","1701","17","0","0","2018-01-09"
"MATTEW JAY, DEVID DEGA - AFTERLIFE (preview) [TRANSMIT]","DEVID DEGA","1690","8","0","0","2014-09-14"
"Devid Dega, Sincronism - Mistery (preview) [Funk'n Deep]","DEVID DEGA","1672","6","0","0","2018-01-31"
"Devid Dega - Grand Easter @ Vilnius (Lithuania) 21 -4-019 FreeDownload","DEVID DEGA","1609","12","0","0","2019-05-18"
"Devid Dega - Dark Octaves Mix Sessions #003","DEVID DEGA","1591","107","10","2","2021-01-10"
"Devid Dega  @ Polygon Club Berlin - 18 - 8-2018 (Free Download)","DEVID DEGA","1570","27","0","0","2018-08-22"
"Devid Dega TechnoTuesday MELKWEG, Amsterdam 21-02-2017","DEVID DEGA","1565","11","1","0","2017-03-03"
"Devid Dega, Dok & Martin - Fly With The Beat  (preview) [Alchemy]","DEVID DEGA","1544","39","1","0","2019-01-15"
"Devid Dega B2b Ghaston @ DowntownFactory Toulouse (FR) (8 - 12 - 2018)","DEVID DEGA","1540","13","0","0","2018-12-17"
"DEVID DEGA, JUAN PABLOO - ASTEROID  (preview)  [Alchemy]","DEVID DEGA","1538","20","0","0","2017-03-31"
"DEVID DEGA, JULIAN ESS - LEFT BEHIND (preview) [IAMT]","DEVID DEGA","1495","18","0","0","2017-06-28"
"Devid Dega - Urban Eventi At Factory Padova (14/2/2020) FreeDownload","DEVID DEGA","1414","37","0","0","2020-02-17"
"Kai Tracid - Voyager (Devid Dega & Dariush Edit) [FREE DOWNLOAD]","DEVID DEGA","1399","424","132","19","2023-12-24"
"Devid Dega - Ra (preview) [Funk'n Deep]","DEVID DEGA","1397","6","1","1","2017-11-15"
"Devid Dega -  Volle Breitseite @ MS Treue - Bremen (DE) (22-11-2019) [Freedownload]","DEVID DEGA","1340","79","1","0","2019-11-26"
"DEVID DEGA, JULIAN ESS - OUTDATED (preview) [IAMT]","DEVID DEGA","1326","11","0","0","2017-07-18"
"Devid Dega - Bring The Sun Home (original Mix)  (Preview)","DEVID DEGA","1289","9","0","0","2017-11-27"
"Devid Dega  Underground Music Podcast #006","DEVID DEGA","1287","12","0","0","2017-10-29"
"Devid Dega - Techno Tuesday at MELKWEG - Amsterdam 10-12-2019 (FreeDownload)","DEVID DEGA","1283","75","2","0","2020-01-06"
"Devid Dega - Bring The Sun Home (Phuthek Rmx)  (Preview)","DEVID DEGA","1263","4","0","0","2017-11-27"
"TSC PODCAST #021 DEVID DEGA","DEVID DEGA","1259","8","1","0","2018-05-07"
"Devid Dega - Podcast April/018","DEVID DEGA","1235","0","0","0","2018-04-18"
"Devid Dega - MadeInTown @Dhome - Trieste (9 - 11 - 2018) FreeDownload","DEVID DEGA","1232","77","10","1","2018-11-10"
"Devid Dega - Price Tag Weekly   1 - 12 - 2017. Vicious Radio Mp3","DEVID DEGA","1225","10","2","1","2017-12-01"
"DEVID DEGA, DOK & MARTIN - VANIDAD (preview)  [Funk'n Deep]","DEVID DEGA","1208","3","0","0","2017-08-16"
"DEVID DEGA - NIGHTWATCH (preview)  [Driving Forces]","DEVID DEGA","1206","5","0","0","2016-10-31"
"Devid Dega Comfort Sessions EJRRadio.com 07 - 09 - 2017","DEVID DEGA","1185","6","0","0","2017-09-29"
"Devid Dega - Nefertum  (preview)","DEVID DEGA","1150","4","0","0","2017-11-27"
"DANIELE PETRONELLI - SHAKERNADO (DEVID DEGA rmx)  (preview) [Funk'N Deep records]","DEVID DEGA","1139","3","0","0","2016-03-24"
"Devid Dega - Indeep'n'Dance Showcase ADE2018 (20 - 10 - 2018) FreeDownload","DEVID DEGA","1136","13","1","0","2018-10-23"
"Devid Dega, Dok & Martin - Devoted (preview) [Alchemy]","DEVID DEGA","1134","13","0","0","2019-01-15"
"Devid Dega @Technostate Inc. Showcase ADE2018 -50Hertz TechnoCafé Amsterdam(17-10-2018)FreeDownload","DEVID DEGA","1121","14","0","0","2018-10-24"
"Devid Dega at Loco Club Padova (IT) 1-10-2022  FREE DOWNLOAD","DEVID DEGA","1090","317","0","0","2022-10-03"
