"Date","Followers","Follower growth","Popularity"
"2021-02-28","1083","22","19"
"2021-03-31","1102","5","17"
"2021-04-30","1108","13","15"
"2021-05-31","1121","7","16"
"2021-06-30","1127","8","15"
"2021-07-31","1136","20","16"
"2021-08-31","1156","26","15"
"2021-09-30","1181","5","13"
"2021-10-31","1186","2","15"
"2021-11-30","1188","8","13"
"2021-12-31","1197","20","15"
"2022-01-31","1216","17","14"
"2022-02-28","1233","16","14"
"2022-03-31","1249","15","15"
"2022-04-30","1264","10","15"
"2022-05-31","1275","5","10"
"2022-06-30","1281","18","10"
"2022-07-31","1297","11","10"
"2022-08-31","1308","-10","10"
"2022-09-30","1298","18","10"
"2022-10-31","1317","12","10"
"2022-11-30","1330","7","9"
"2022-12-31","1335","9","10"
"2023-01-31","1344","5","11"
"2023-02-28","1349","14","11"
"2023-03-31","1364","12","10"
"2023-04-30","1376","8","9"
"2023-05-31","1383","7","15"
"2023-06-30","1390","10","10"
"2023-07-31","1400","7","9"
"2023-08-31","1407","6","6"
"2023-09-30","1413","14","6"
"2023-10-31","1430","28","6"
"2023-11-30","1458","28","8"
"2023-12-31","1484","83","12"
"2024-01-31","1570","66","14"
"2024-02-29","1634","1","11"
