"Date","Streams"
"2023-04-02","957"
"2023-04-09","772"
"2023-04-16","718"
"2023-04-23","755"
"2023-04-30","992"
"2023-05-07","755"
"2023-05-14","7495"
"2023-05-21","4716"
"2023-05-28","1229"
"2023-06-04","748"
"2023-06-11","1825"
"2023-06-18","827"
"2023-06-25","766"
"2023-07-02","712"
"2023-07-09","802"
"2023-07-16","772"
"2023-07-23","778"
"2023-07-30","656"
"2023-08-06","747"
"2023-08-13","725"
"2023-08-20","590"
"2023-08-27","661"
"2023-09-03","625"
"2023-09-10","572"
"2023-09-17","683"
"2023-09-24","596"
"2023-10-01","639"
"2023-10-08","637"
"2023-10-15","600"
"2023-10-22","605"
"2023-10-29","725"
"2023-11-05","662"
"2023-11-12","680"
"2023-11-19","617"
"2023-11-26","1460"
"2023-12-03","1016"
"2023-12-10","769"
"2023-12-17","767"
"2023-12-24","4127"
"2023-12-31","2845"
"2024-01-07","1014"
"2024-01-14","4238"
"2024-01-21","5176"
"2024-01-28","1471"
"2024-02-04","2471"
"2024-02-11","2344"
"2024-02-18","1491"
"2024-02-25","1497"
