"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Krypton - Devid Dega Remix","Frank Kvitta, DEVID DEGA","2260","934","748","193","2018-05-22"
"Emptiness","Eleonora, DEVID DEGA, Giza DJs","14233","12999","1020","174","2023-12-15"
"Zero Theorem - Marrie Remix","DEVID DEGA, Marrie","8631","2836","531","132","2020-08-18"
"Spinner","DEVID DEGA","3123","1721","773","127","2023-10-13"
"Crazy V - Radio Edit","DEVID DEGA","1756","559","559","111","2024-01-04"
"Even The Truth","DEVID DEGA","2222","1112","421","92","2023-10-13"
"Cosmo - Bolster Remix","DEVID DEGA, Raul Mezcolanza, Bolster","50689","4211","311","70","2019-07-08"
"Robotika - Andrea Signore & Mha Iri Remix","DEVID DEGA, Andrea Signore, Mha Iri","24077","2564","302","66","2019-09-02"
"Humanoid - Devid Dega Remix","Superstrobe, DEVID DEGA","36133","4404","278","59","2019-04-29"
"Metamorphosis","DEVID DEGA, Fulvio Ferretta","4893","3850","792","47","2022-08-19"
"Dichotomy - Devid Dega Remix","Nihil Young, Shay De Castro, DEVID DEGA","12757","4140","134","35","2019-09-02"
"Swim Deep - Original Mix","DEVID DEGA, Mattew Jay","25059","1359","151","30","2014-01-06"
"Lizard - Devid Dega Rework","Mauro Picotto, DEVID DEGA","78540","1554","130","23","2017-07-14"
"Twisted Symphony - Superstrobe Remix","DEVID DEGA, Superstrobe","9412","1349","108","20","2019-01-28"
"Unstoppable","Durtysoxxx, DEVID DEGA","22246","600","102","19","2020-07-31"
"Oscura - Original Mix","DEVID DEGA, Dok & Martin","41393","1074","102","18","2019-04-19"
"Mizar - Heerhorst Remix","Giorgio Rusconi, DEVID DEGA, Heerhorst","11017","709","72","17","2020-02-17"
"Baby Blonde","DEVID DEGA","3311","248","45","16","2020-03-27"
"Mental Illusion","DEVID DEGA, Konfusia","4314","1042","85","15","2021-09-24"
"Your Energy - Original Mix","DEVID DEGA","2205","892","125","15","2022-06-23"
"Darkness","DEVID DEGA, Nico Cabeza","1785","776","56","13","2022-09-30"
"Introspective","DEVID DEGA, BILBONI","6591","317","44","12","2020-04-24"
"DTR - Devid Dega Remix","Alberto Ruiz, DEVID DEGA","5052","511","41","11","2017-09-25"
"Roller Coaster","DEVID DEGA, Fulvio Ferretta","1484","150","56","11","2020-01-20"
"My Secret Box","DEVID DEGA","2401","568","78","11","2021-04-30"
"Alien Interface","DEVID DEGA, BILBONI","1886","216","35","10","2020-04-24"
"Lujuria","DEVID DEGA, Dok & Martin","1975","223","32","9","2018-03-12"
"Flight Mode - Devid Dega Remix","Rony Golding, Ben Manson, DEVID DEGA","1861","277","35","9","2019-05-10"
"Mental Illusion - Sisko Electrofanatik Remix","DEVID DEGA, Konfusia, Sisko Electrofanatik","2696","570","53","9","2021-09-24"
"Blocking - Raul Mezcolanza Remix","DEVID DEGA, Dok & Martin, Raul Mezcolanza","1642","171","13","7","2018-04-23"
"Robotika - Valentin Pascual Remix","DEVID DEGA, Valentin Pascual","10525","384","30","7","2019-09-02"
"Lost - Space Mix","Durtysoxxx, DEVID DEGA","7262","664","41","7","2020-07-31"
"El Sombrero - Stefano Kosa Remix","Stefano Kosa, DEVID DEGA, Johnny Kaos","2888","243","16","6","2014-05-23"
"I'll Give You Love","DEVID DEGA","10528","368","23","6","2019-11-29"
"Mizar","Giorgio Rusconi, DEVID DEGA","1633","122","17","6","2020-02-17"
"Spectrum","DEVID DEGA","5000","439","31","5","2016-11-25"
"Cosmo","DEVID DEGA, Raul Mezcolanza","3848","215","19","5","2019-07-08"
"I'm Obsessed","DEVID DEGA, Shay De Castro","2772","292","20","5","2019-11-04"
"Voltage - Devid Dega Remix","Charles D, DEVID DEGA","2956","260","23","5","2020-03-23"
"Cosmic Stars","DEVID DEGA, Konfusia","1191","178","31","5","2021-09-24"
"Disturbia - Mosher Remix","DEVID DEGA, Mosher","1549","145","18","5","2022-03-11"
"Afterlife - Original Mix","Mattew Jay, DEVID DEGA","2181","133","9","4","2014-10-20"
"Sehnsucht","DEVID DEGA, Ingrid","1704","131","18","4","2018-06-25"
"Lost","Durtysoxxx, DEVID DEGA","3071","165","8","4","2020-07-31"
"Underhead - Gaga Remix","DEVID DEGA, Dok & Martin, Gaga","2964","65","7","3","2018-03-12"
"Devoted","DEVID DEGA, Dok & Martin","1190","56","7","3","2019-02-01"
"Crossing Roads - Devid Dega Remix","Matteo Puntar, Meli Rodriguez, DEVID DEGA","1481","168","39","3","2019-07-22"
"Introll","Durtysoxxx, DEVID DEGA","1380","123","12","3","2020-07-31"
"Destruction - Devid Dega Remix","Peter Temnitzer, DEVID DEGA","1380","118","6","3","2020-09-07"
"Disturbia - Original Mix","DEVID DEGA","1126","123","7","3","2022-03-11"
"Modernist - Diction Remix","DEVID DEGA, Diction","4280","164","16","2","2017-06-19"
"Gastown - Devid Dega Remix","Gaga, Mateo!, DEVID DEGA","1215","46","8","2","2018-08-13"
"The Growth","DEVID DEGA, Dok & Martin","1150","43","3","2","2019-02-01"
"Magic - Devid Dega Remix","Charles D, DEVID DEGA","2556","190","11","2","2019-10-14"
"Omega","Giorgio Rusconi, DEVID DEGA","1429","115","8","2","2020-02-17"
"Zero1","DEVID DEGA, Besty Fritz","1915","225","22","2","2020-06-22"
"Majorka - Devid Dega Remix","Johnny Kaos, Mattew Jay, DEVID DEGA","24927","83","4","1","2011-04-20"
"Censored - Devid Dega Remix","Veerus, Maxie Devine, DEVID DEGA","1267","98","8","1","2016-10-10"
"Cleomede","DEVID DEGA","4097","2505","5","1","2016-12-09"
