"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-27","424907","0","3751923","0","418000","0","43900","0","43","1310","257106","0","0","307894","0","19108"
"2023-03-28","425020","113","3759758","7835","418000","0","43900","0","0","0","257297","191","2029","307923","29","8961"
"2023-03-29","425111","91","3770236","10478","418000","0","43900","0","0","0","257297","0","0","307950","27","9188"
"2023-03-30","425221","110","3778173","7937","418000","0","44000","100","111","1678","257519","222","2011","307980","30","9599"
"2023-03-31","425330","109","3788540","10367","419000","1000","44000","0","0","0","257519","0","0","308013","33","10195"
"2023-04-01","425431","101","3809210","20670","419000","0","44000","0","0","0","257653","134","2007","308054","41","9565"
"2023-04-02","425548","117","3828021","18811","419000","0","44000","0","163","1740","257653","0","0","308086","32","7875"
"2023-04-03","425635","87","3842130","14109","419000","0","44000","0","0","0","257666","13","4005","308108","22","8583"
"2023-04-04","425736","101","3859799","17669","419000","0","44000","0","0","0","257666","0","0","308146","38","9073"
"2023-04-05","425835","99","3882627","22828","419000","0","44000","0","78","1808","257765","99","4004","308185","39","8878"
"2023-04-06","425947","112","3901287","18660","419000","0","44000","0","0","0","257765","0","0","308194","9","9916"
"2023-04-07","426059","112","3918563","17276","419000","0","44000","0","0","0","257821","56","3005","308235","41","10504"
"2023-04-08","426146","87","3920159","1596","419000","0","44000","0","52","1345","257821","0","0","308257","22","9253"
"2023-04-09","426234","88","3925089","4930","419000","0","44000","0","0","0","257844","23","1001","308283","26","7879"
"2023-04-10","426289","55","3926907","1818","419000","0","44000","0","0","0","257844","0","0","308320","37","7526"
"2023-04-11","426328","39","3929703","2796","419000","0","44000","0","51","1805","257837","-7","6005","308338","18","8234"
"2023-04-12","426371","43","3931146","1443","419000","0","44000","0","0","0","257837","0","0","308346","8","8670"
"2023-04-13","426418","47","3937281","6135","419000","0","44000","0","0","0","257926","89","4001","308370","24","9253"
"2023-04-14","426497","79","3937709","428","419000","0","44100","100","133","2128","257926","0","0","308398","28","11415"
"2023-04-15","426589","92","3936512","-1197","420000","1000","44100","0","0","0","258156","230","5002","308418","20","10922"
"2023-04-16","426712","123","3938008","1496","420000","0","44100","0","0","0","258156","0","0","308439","21","8171"
"2023-04-17","426799","87","3936512","-1496","420000","0","44100","0","359","5307","258243","87","1001","308469","30","9427"
"2023-04-18","426900","101","3935104","-1408","420000","0","44100","0","0","0","258243","0","0","308513","44","10653"
"2023-04-19","427025","125","3933911","-1193","420000","0","44300","200","1315","11414","258442","199","1000","308548","35","10828"
"2023-04-20","427137","112","3924625","-9286","420000","0","44300","0","0","0","258442","0","0","308585","37","11457"
"2023-04-21","427266","129","3928389","3764","420000","0","44300","0","0","0","258504","62","0","308611","26","12033"
"2023-04-22","427390","124","3940662","12273","420000","0","44500","200","1268","10446","258504","0","0","308642","31","10798"
"2023-04-23","427519","129","3954427","13765","420000","0","44500","0","0","0","258504","0","0","308672","30","8119"
"2023-04-24","427625","106","3965254","10827","420000","0","44500","0","0","0","258697","193","7000","308721","49","9286"
"2023-04-25","427716","91","3983849","18595","420000","0","44500","0","0","0","258697","0","0","308736","15","10461"
"2023-04-26","427833","117","3999194","15345","420000","0","44600","100","800","7298","258853","156","2000","308768","32","9816"
"2023-04-27","427929","96","4016147","16953","420000","0","44600","0","0","0","258853","0","0","308798","30","10867"
"2023-04-28","428082","153","4029125","12978","420000","0","44600","0","0","0","259166","313","7000","308829","31","12746"
"2023-04-29","428241","159","4038731","9606","421000","1000","44700","100","306","4263","259166","0","0","308867","38","11783"
