"Date","Spotify followers","Youtube subscribers","Instagram followers","Facebook followers","Deezer fans","X followers","Soundcloud followers","Tiktok followers"
"2023-03-06","286","375","111","2","25","84","121","35"
"2023-03-13","801","625","517","-28","53","90","244","97"
"2023-03-20","935","750","580","-39","75","60","200","68"
"2023-03-27","1158","500","1209","-30","65","104","198","35"
"2023-04-03","795","750","757","-17","44","19","208","65"
"2023-04-10","715","125","179","-26","46","10","203","22"
"2023-04-17","443","875","325","-37","45","19","161","118"
"2023-04-24","801","125","411","-5","51","0","224","360"
"2023-05-01","851","875","720","0","44","0","225","200"
"2023-05-08","721","125","698","-11","50","0","196","0"
"2023-05-15","707","875","103","-136","67","0","163","87"
"2023-05-22","742","0","228","-18","42","0","205","613"
"2023-05-29","698","750","184","-20","51","0","206","566"
"2023-06-05","850","250","1031","40681","55","0","213","384"
"2023-06-12","967","875","1226","52","50","0","260","198"
"2023-06-19","930","125","939","-9","49","0","195","127"
"2023-06-26","735","500","1244","45","38","0","222","175"
"2023-07-03","901","500","970","38","60","0","215","111"
"2023-07-10","733","875","217","81","45","0","209","39"
"2023-07-17","791","375","354","12","42","0","208","87"
"2023-07-24","1077","750","540","84","54","0","204","123"
"2023-07-31","1391","500","1196","419","63","0","224","212"
"2023-08-07","1132","500","1256","293","48","0","195","87"
"2023-08-14","1034","0","1205","6","43","0","229","91"
"2023-08-21","857","875","758","-16","49","0","212","150"
"2023-08-28","808","125","1056","-26","77","0","202","150"
"2023-09-04","712","375","1065","-60","70","0","199","140"
"2023-09-11","674","625","501","-53","68","0","205","60"
"2023-09-18","445","0","647","-26","63","0","162","0"
"2023-09-25","576","625","499","-59","54","0","133","35"
"2023-10-02","767","375","602","-49","47","0","162","65"
"2023-10-09","590","750","789","-16","51","0","136","9"
"2023-10-16","671","250","660","-54","64","0","152","91"
"2023-10-23","-755","875","698","-58","51","0","191","232"
"2023-10-30","802","750","1067","45","51","0","204","68"
"2023-11-06","801","375","642","-28","50","0","151","61"
"2023-11-13","776","625","394","-40","76","0","170","39"
"2023-11-20","839","375","667","-8","113","0","195","0"
"2023-11-27","736","0","411","11","62","0","178","300"
"2023-12-04","905","625","224","-22","66","0","182","500"
"2023-12-11","799","375","48","-15","69","0","173","0"
"2023-12-18","699","0","0","-3","38","0","159","0"
"2023-12-25","-422","875","0","-29","45","0","128","0"
"2024-01-01","250","125","104","-55","65","0","117","0"
"2024-01-08","624","0","770","-63","57","0","182","300"
"2024-01-15","622","375","0","-69","52","0","219","375"
"2024-01-22","818","625","451","-11","72","0","345","125"
"2024-01-29","684","0","65","-6","63","0","339","0"
"2024-02-05","643","250","3","-49","71","0","179","110"
"2024-02-12","-459","750","304","-70","55","0","216","190"
"2024-02-19","-70","0","185","-141","58","0","193","0"
"2024-02-26","711","0","99","-119","65","0","177","0"
