"Channel","Track","Artists","Release date","Engagement 1w","Engagement 1m","Engagement Total"
"Airplay","Gorgon City & MK - There For You","Gorgon City","2021-08-25","244","2392","N/A"
"Shazam","Real - Gorgon City Feat. Yasmin","Gorgon City, Yasmin","2013-01-01","N/A","N/A","426631"
"Shazam","Ready For Your Love - Gorgon City Feat. MNEK","Gorgon City, MNEK","2014-01-01","N/A","N/A","1608862"
"Shazam","Here For You - Gorgon City Feat. Laura Welsh","Laura Welsh, Gorgon City","2014-01-01","N/A","N/A","771726"
"Shazam","Imagination - Gorgon City Feat. Katy Menditta","Gorgon City","2014-01-01","1726","7592","2461979"
"Shazam","Saving My Life - Gorgon City Feat. ROMANS","Gorgon City, ROMANS","2015-08-14","243","N/A","849096"
"Shazam","All Four Walls - Gorgon City Feat. Vaults","Gorgon City, Vaults","2016-03-18","N/A","N/A","469708"
"Shazam","Real Life - Duke Dumont & Gorgon City Feat. Naations","Duke Dumont, Gorgon City, Naations","2017-05-19","266","1283","691516"
"Shazam","Roped In (Extended Mix) - Gorgon City","Gorgon City","2019-11-22","360","1551","N/A"
"Shazam","Nobody - Gorgon City & DRAMA","Gorgon City, DRAMA","2020-04-03","710","2775","N/A"
"Shazam","House Arrest - Sofi Tukker & Gorgon City","Sofi Tukker, Gorgon City","2020-05-15","N/A","N/A","862328"
"Shazam","You've Done Enough - Gorgon City & DRAMA","Gorgon City, DRAMA","2021-01-29","1212","4242","461718"
"Shazam","Foolproof (Mixed) - Hayden James, Gorgon City & Nat Dunn","Nat Dunn, Hayden James, Gorgon City","2021-03-12","746","3474","566681"
"Shazam","Remember (feat. Stevie Appleton)","Gorgon City, Danny Howard, Stevie Appleton, Sonny Fodera","2022-09-02","241","1034","N/A"
"Shazam","Sidewindah (feat. Flirta D)","Gorgon City, Flirta D","2022-10-21","543","3058","N/A"
"Shazam","Voodoo","Gorgon City","2023-03-10","1231","5371","N/A"
"Shazam","Biggest Regret","Bbyafricka, Gorgon City","2024-01-12","N/A","6654","N/A"
"Airplay","Gorgon City ft MNEK - Ready For Your Love","Gorgon City","2021-08-25","340","3219","N/A"
"Airplay","Gorgon City, - Voodoo,","Gorgon City","2023-10-17","218","2111","N/A"
"Airplay","Sofi Tukker & Gorgon City - House Arrest","Gorgon City","2021-08-25","136","1406","N/A"
"Airplay","DUKE DUMONT & GORGON CITY - REAL LIFE (FT. NAATIONS)","Gorgon City","2021-08-25","71","662","N/A"
"Airplay","GORGON CITY - NEVER LET ME DOWN","Gorgon City","2023-10-17","59","598","N/A"
"Airplay","Gorgon City feat. Katy Menditta - Imagination","Gorgon City","2021-08-25","57","506","N/A"
"Airplay","Gorgon City Feat.Drama - You've Done Enough.5.2.21","Gorgon City","2021-05-04","55","630","N/A"
"Airplay","Gorgon City Lick Shot","Gorgon City","2021-08-25","54","579","N/A"
"Airplay","Gorgon City & Drama - Nobody (Original Mix)","Gorgon City","2021-08-25","47","444","N/A"
"Spotify","Voodoo","Gorgon City","2023-03-10","671394","2796418","N/A"
"Spotify","You've Done Enough","Gorgon City, DRAMA","2021-01-29","286527","1166290","68665787"
"Spotify","Biggest Regret (feat. BbyAfricka)","Gorgon City, Bbyafricka","2024-01-12","215326","949106","N/A"
"Spotify","Remember (feat. Stevie Appleton)","Sonny Fodera, Gorgon City, Danny Howard, Stevie Appleton","2022-09-02","190173","857743","N/A"
"Spotify","Ready For Your Love","Gorgon City, MNEK","2014-01-01","179365","751881","126259103"
"Spotify","Imagination","Gorgon City","2014-01-01","136204","579321","85066515"
