"Date","Likes","Comments"
"2023-03-05","18000","522"
"2023-03-12","13000","536"
"2023-03-19","9000","988"
"2023-03-26","8047","186"
"2023-04-02","11014","242"
"2023-04-09","16009","667"
"2023-04-16","2001","70"
"2023-04-23","16000","475"
"2023-04-30","11000","223"
"2023-05-07","47000","565"
"2023-05-14","8000","260"
"2023-05-21","0","17"
"2023-05-28","12000","299"
"2023-06-04","36000","537"
"2023-06-11","20000","312"
"2023-06-18","19000","505"
"2023-06-25","24000","774"
"2023-07-02","10000","211"
"2023-07-09","5000","106"
"2023-07-16","8000","310"
"2023-07-23","11000","400"
"2023-07-30","5000","261"
"2023-08-06","11000","259"
"2023-08-13","11000","280"
"2023-08-20","13000","769"
"2023-08-27","17000","241"
"2023-09-03","3000","44"
"2023-09-10","1000","57"
"2023-09-17","18000","391"
"2023-09-24","2000","25"
"2023-10-01","2000","53"
"2023-10-08","2000","156"
"2023-10-15","8459","287"
"2023-10-22","1541","111"
"2023-10-29","6000","123"
"2023-11-05","7000","148"
"2023-11-12","5000","67"
"2023-11-19","8000","248"
"2023-11-26","6000","202"
"2023-12-03","0","22"
"2023-12-10","0","0"
"2023-12-17","0","0"
"2023-12-24","0","0"
"2023-12-31","3000","147"
"2024-01-07","0","0"
"2024-01-14","0","0"
"2024-01-21","1000","54"
"2024-01-28","2000","65"
"2024-02-04","0","0"
"2024-02-11","1000","25"
"2024-02-18","3000","130"
"2024-02-25","1000","20"
