"Artist","Artist country","Artist genre","Viberate rank","Subgenre rank","Number of mentions","Last mention date","Last mention time"
"Cosmic Gate","Germany","Electronic","9612","17","1","2024-01-05","14:55:09"
"Dopamine","United Kingdom","Electronic","10686","562","1","2023-12-26","10:14:49"
"Kevin Saunderson","United States","Electronic","17841","338","1","2024-01-31","13:14:10"
"Technoblazer","Switzerland","Electronic","18601","82","1","2024-01-21","20:12:24"
"Kyle Watson","South Africa","Electronic","18688","1120","1","2024-02-20","11:50:03"
"Riordan","United Kingdom","Electronic","20740","426","1","2024-01-09","18:11:49"
"Leftwing : Kody","United Kingdom","Electronic","25058","150","1","2024-02-02","07:30:05"
"Azzecca","United States","Electronic","31044","2029","1","2024-01-22","15:37:22"
"Sickflip","India","Electronic","35711","155","1","2023-12-26","04:20:22"
"Matt Guy","United Kingdom","Electronic","40281","278","1","2023-12-12","01:39:57"
"DJ S.K.T","United Kingdom","Electronic","40615","1117","1","2024-01-26","08:59:51"
"Audiojack","United Kingdom","Electronic","44734","1277","2","2024-01-12","20:34:46"
"Deetron","Switzerland","Electronic","54892","1759","1","2024-01-01","06:42:20"
"Phil Soda","Germany","Electronic","56575","4019","1","2024-02-05","02:35:43"
"Arielle Free","United Kingdom","Electronic","58277","1936","1","2024-01-14","12:32:12"
"Airsand","Russian Federation","Electronic","79653","3102","1","2024-02-04","05:28:21"
"Sydney Blu","Germany","Electronic","85860","3494","1","2024-01-13","17:00:13"
"DJ Minx","United States","Electronic","86897","3556","1","2024-01-24","22:52:05"
"ADSR","United States","Electronic","123677","5937","1","2023-12-14","01:12:05"
"TRUTOPIA","United Kingdom","Electronic","144736","7474","1","2024-01-04","01:36:43"
"BØGUTA Ø2","Poland","Electronic","153872","8173","1","2023-12-19","04:11:47"
"RAHH","United Kingdom","R&B","174927","718","1","2024-02-01","14:29:48"
"Argy (UK)","United Kingdom","Electronic","181107","1226","1","2023-12-17","04:56:33"
"ANASTASiiA","United States","Electronic","192725","15557","1","2024-01-21","22:20:35"
"Lili Chan","United Kingdom","Electronic","205459","16651","2","2024-02-01","18:25:53"
"Freddy Be","United States","Electronic","205553","12279","1","2024-01-15","10:36:09"
"Dave Treacy","Ireland","Electronic","217357","13264","5","2024-01-16","01:52:30"
"OZALID","Germany","Electronic","251116","16128","1","2024-01-30","03:41:28"
"Alex Amaro","United States","Electronic","252139","16229","1","2024-01-24","19:45:28"
"Colin Jay","United Kingdom","Electronic","268697","17667","1","2023-12-16","22:30:16"
"Take Note","Taiwan","Electronic","279578","4641","1","2024-02-22","13:43:14"
"George Kafetzis","United Kingdom","Electronic","281706","18788","1","2024-01-29","22:23:24"
"Blimey O'Reilly","United Kingdom","Electronic","286050","19189","1","2024-01-20","06:16:37"
"Paskal Daze","Canada","Electronic","300190","20455","1","2024-01-04","04:35:01"
"Greta Levska","Spain","Electronic","311907","21510","1","2024-01-01","07:38:28"
"MRKO","United States","Electronic","324216","22592","1","2024-02-09","16:38:44"
"wotty","Czech Republic","Electronic","328083","22933","1","2024-02-02","02:54:35"
"Syd Gris","United States","Electronic","333293","27253","4","2024-02-26","04:26:12"
"Jays Negri","Brazil","Electronic","345462","24363","1","2023-12-23","14:21:00"
"ELLIE SCOUGALL","United Kingdom","Electronic","364973","29553","1","2023-12-24","14:23:10"
"Dino Munaco","United States","Electronic","429892","4116","1","2023-12-27","03:01:54"
"Dj Tuca","Brazil","Electronic","446919","32974","1","2023-12-31","23:00:16"
"Doyley","United Kingdom","Electronic","594271","45706","1","2024-01-21","12:20:38"
"Koren Mcintosh","United Kingdom","Electronic","608507","46912","1","2024-01-07","15:52:37"
