"Date","Viberate points"
"2023-02-28","58213"
"2023-03-01","58259"
"2023-03-02","60907"
"2023-03-03","61450"
"2023-03-04","60658"
"2023-03-05","60721"
"2023-03-06","58498"
"2023-03-07","55678"
"2023-03-08","55814"
"2023-03-09","55608"
"2023-03-10","54933"
"2023-03-11","56031"
"2023-03-12","55447"
"2023-03-13","54513"
"2023-03-14","54865"
"2023-03-15","53781"
"2023-03-16","53342"
"2023-03-17","53285"
"2023-03-18","53782"
"2023-03-19","54444"
"2023-03-20","54252"
"2023-03-21","54455"
"2023-03-22","53716"
"2023-03-23","53922"
"2023-03-24","53549"
"2023-03-25","53630"
"2023-03-26","53328"
"2023-03-27","53580"
"2023-03-28","53186"
"2023-03-29","52776"
"2023-03-30","53001"
"2023-03-31","52462"
"2023-04-01","51949"
"2023-04-02","52258"
"2023-04-03","52312"
"2023-04-04","51862"
"2023-04-05","52170"
"2023-04-06","52856"
"2023-04-07","52716"
"2023-04-08","52849"
"2023-04-09","52887"
"2023-04-10","52579"
"2023-04-11","52491"
"2023-04-12","53195"
"2023-04-13","53286"
"2023-04-14","53289"
"2023-04-15","53225"
"2023-04-16","53783"
"2023-04-17","54404"
"2023-04-18","54485"
"2023-04-19","54518"
"2023-04-20","54500"
"2023-04-21","53481"
"2023-04-22","51742"
"2023-04-23","51064"
"2023-04-24","51316"
"2023-04-25","52387"
"2023-04-26","51996"
"2023-04-27","51562"
"2023-04-28","51665"
"2023-04-29","52015"
"2023-04-30","52084"
"2023-05-01","52836"
"2023-05-02","52142"
"2023-05-03","53028"
"2023-05-04","53083"
"2023-05-05","53117"
"2023-05-06","53315"
"2023-05-07","53049"
"2023-05-08","53640"
"2023-05-09","53681"
"2023-05-10","53708"
"2023-05-11","53866"
"2023-05-12","53851"
"2023-05-13","53994"
"2023-05-14","60402"
"2023-05-15","60600"
"2023-05-16","59477"
"2023-05-17","59491"
"2023-05-18","60445"
"2023-05-19","60046"
"2023-05-20","60236"
"2023-05-21","73477"
"2023-05-22","71878"
"2023-05-23","72193"
"2023-05-24","79795"
"2023-05-25","80832"
"2023-05-26","78997"
"2023-05-27","81897"
"2023-05-28","81794"
"2023-05-29","81560"
"2023-05-30","87464"
"2023-05-31","111248"
"2023-06-01","112845"
"2023-06-02","113160"
"2023-06-03","113361"
"2023-06-04","114026"
"2023-06-05","124455"
"2023-06-06","123323"
"2023-06-07","122030"
"2023-06-08","122556"
"2023-06-09","113098"
"2023-06-10","113569"
"2023-06-11","117401"
"2023-06-12","118090"
"2023-06-13","119838"
"2023-06-14","120694"
"2023-06-15","120433"
"2023-06-16","120020"
"2023-06-17","119536"
"2023-06-18","118586"
"2023-06-19","118555"
"2023-06-20","118324"
"2023-06-21","118579"
"2023-06-22","119058"
"2023-06-23","118694"
"2023-06-24","119364"
"2023-06-25","118772"
"2023-06-26","119068"
"2023-06-27","118340"
"2023-06-28","119691"
"2023-06-29","120245"
"2023-06-30","121927"
"2023-07-01","121285"
"2023-07-02","120523"
"2023-07-03","120269"
"2023-07-04","120553"
"2023-07-05","120318"
"2023-07-06","121026"
"2023-07-07","123630"
"2023-07-08","123630"
"2023-07-09","124225"
"2023-07-10","124225"
"2023-07-11","124225"
"2023-07-12","124225"
"2023-07-13","124225"
"2023-07-14","124225"
"2023-07-15","124225"
"2023-07-16","124225"
"2023-07-17","128041"
"2023-07-18","129858"
"2023-07-19","130902"
"2023-07-20","133025"
"2023-07-21","134617"
"2023-07-22","132506"
"2023-07-23","132195"
"2023-07-24","132857"
"2023-07-25","134914"
"2023-07-26","136164"
"2023-07-27","138420"
"2023-07-28","141555"
"2023-07-29","143682"
"2023-07-30","146970"
"2023-07-31","150378"
"2023-08-01","150760"
"2023-08-02","149465"
"2023-08-03","151921"
"2023-08-04","153879"
"2023-08-05","157623"
"2023-08-06","159725"
"2023-08-07","162464"
"2023-08-08","165086"
"2023-08-09","159060"
"2023-08-10","160833"
"2023-08-11","158504"
"2023-08-12","154423"
"2023-08-13","152521"
"2023-08-14","153596"
"2023-08-15","154257"
"2023-08-16","155255"
"2023-08-17","148401"
"2023-08-18","139917"
"2023-08-19","135254"
"2023-08-20","132109"
"2023-08-21","127279"
"2023-08-22","121548"
"2023-08-23","118794"
"2023-08-24","118645"
"2023-08-25","119122"
"2023-08-26","117068"
"2023-08-27","112494"
"2023-08-28","108510"
"2023-08-29","93043"
"2023-08-30","93102"
"2023-08-31","93459"
"2023-09-01","87971"
"2023-09-02","82813"
"2023-09-03","80172"
"2023-09-04","80863"
"2023-09-05","81651"
"2023-09-06","80628"
"2023-09-07","82172"
"2023-09-08","79412"
"2023-09-09","76516"
"2023-09-10","76141"
"2023-09-11","75223"
"2023-09-12","75546"
"2023-09-13","76417"
"2023-09-14","75845"
"2023-09-15","75672"
"2023-09-16","76414"
"2023-09-17","74795"
"2023-09-18","74309"
"2023-09-19","73299"
"2023-09-20","73976"
"2023-09-21","75361"
"2023-09-22","75464"
"2023-09-23","74436"
"2023-09-24","75870"
"2023-09-25","76762"
"2023-09-26","75972"
"2023-09-27","76007"
"2023-09-28","75249"
"2023-09-29","74877"
"2023-09-30","74805"
"2023-10-01","75465"
"2023-10-02","75723"
"2023-10-03","75749"
"2023-10-04","74987"
"2023-10-05","75152"
"2023-10-06","74621"
"2023-10-07","75214"
"2023-10-08","74889"
"2023-10-09","75059"
"2023-10-10","75293"
"2023-10-11","76288"
"2023-10-12","77001"
"2023-10-13","77380"
"2023-10-14","78021"
"2023-10-15","77488"
"2023-10-16","77358"
"2023-10-17","75811"
"2023-10-18","76529"
"2023-10-19","75120"
"2023-10-20","76699"
"2023-10-21","76795"
"2023-10-22","77067"
"2023-10-23","76365"
"2023-10-24","77307"
"2023-10-25","75531"
"2023-10-26","74055"
"2023-10-27","73654"
"2023-10-28","70022"
"2023-10-29","69189"
"2023-10-30","69288"
"2023-10-31","69334"
"2023-11-01","68180"
"2023-11-02","68026"
"2023-11-03","67961"
"2023-11-04","68201"
"2023-11-05","68307"
"2023-11-06","67229"
"2023-11-07","67733"
"2023-11-08","67125"
"2023-11-09","67608"
"2023-11-10","68104"
"2023-11-11","68671"
"2023-11-12","68331"
"2023-11-13","68523"
"2023-11-14","69203"
"2023-11-15","67930"
"2023-11-16","68948"
"2023-11-17","68838"
"2023-11-18","69637"
"2023-11-19","69287"
"2023-11-20","69443"
"2023-11-21","68902"
"2023-11-22","68331"
"2023-11-23","67544"
"2023-11-24","68116"
"2023-11-25","67229"
"2023-11-26","67871"
"2023-11-27","67395"
"2023-11-28","67133"
"2023-11-29","67150"
"2023-11-30","66777"
"2023-12-01","66777"
"2023-12-02","63383"
"2023-12-03","63842"
"2023-12-04","63748"
"2023-12-05","63219"
"2023-12-06","63374"
"2023-12-07","63353"
"2023-12-08","64097"
"2023-12-09","64420"
"2023-12-10","64815"
"2023-12-11","65148"
"2023-12-12","65809"
"2023-12-13","65764"
"2023-12-14","65450"
"2023-12-15","68642"
"2023-12-16","69233"
"2023-12-17","69059"
"2023-12-18","68215"
"2023-12-19","67909"
"2023-12-20","68610"
"2023-12-21","67062"
"2023-12-22","65713"
"2023-12-23","64323"
"2023-12-24","64952"
"2023-12-25","65339"
"2023-12-26","65001"
"2023-12-27","65213"
"2023-12-28","65173"
"2023-12-29","65938"
"2023-12-30","65136"
"2023-12-31","64762"
"2024-01-01","65192"
"2024-01-02","64918"
"2024-01-03","64708"
"2024-01-04","63972"
"2024-01-05","65540"
"2024-01-06","62887"
"2024-01-07","64507"
"2024-01-08","64743"
"2024-01-09","64145"
"2024-01-10","64855"
"2024-01-11","64810"
"2024-01-12","64363"
"2024-01-13","64055"
"2024-01-14","63564"
"2024-01-15","63703"
"2024-01-16","62240"
"2024-01-17","61652"
"2024-01-18","61373"
"2024-01-19","60090"
"2024-01-20","60090"
"2024-01-21","58710"
"2024-01-22","57065"
"2024-01-23","56884"
"2024-01-24","56966"
"2024-01-25","57434"
"2024-01-26","57031"
"2024-01-27","56440"
"2024-01-28","55781"
"2024-01-29","55534"
"2024-01-30","54895"
"2024-01-31","58302"
"2024-02-01","58302"
"2024-02-02","57955"
"2024-02-03","57650"
"2024-02-04","57485"
"2024-02-05","56483"
"2024-02-06","56071"
"2024-02-07","56101"
"2024-02-08","54577"
"2024-02-09","0"
"2024-02-10","54747"
"2024-02-11","53758"
"2024-02-12","53016"
"2024-02-13","54316"
"2024-02-14","54604"
"2024-02-15","54838"
"2024-02-16","53309"
"2024-02-17","53068"
"2024-02-18","51405"
"2024-02-19","0"
"2024-02-20","49089"
"2024-02-21","47387"
"2024-02-22","46458"
"2024-02-23","48789"
"2024-02-24","49226"
"2024-02-25","49554"
"2024-02-26","49508"
"2024-02-27","49024"
"2024-02-28","51299"
