"Date","New followers","Total followers"
"2023-04-02","203","308086"
"2023-04-09","161","308283"
"2023-04-16","224","308439"
"2023-04-23","225","308672"
"2023-04-30","196","308892"
"2023-05-07","163","309084"
"2023-05-14","205","309254"
"2023-05-21","206","309454"
"2023-05-28","213","309668"
"2023-06-04","260","309886"
"2023-06-11","195","310138"
"2023-06-18","222","310333"
"2023-06-25","215","310552"
"2023-07-02","209","310764"
"2023-07-09","208","310974"
"2023-07-16","204","311175"
"2023-07-23","224","311388"
"2023-07-30","195","311614"
"2023-08-06","229","311817"
"2023-08-13","212","312027"
"2023-08-20","202","312242"
"2023-08-27","199","312457"
"2023-09-03","205","312659"
"2023-09-10","162","312855"
"2023-09-17","133","313003"
"2023-09-24","162","313124"
"2023-10-01","136","313307"
"2023-10-08","152","313443"
"2023-10-15","191","313604"
"2023-10-22","204","313792"
"2023-10-29","151","313989"
"2023-11-05","170","314152"
"2023-11-12","195","314312"
"2023-11-19","178","314514"
"2023-11-26","182","314695"
"2023-12-03","173","314866"
"2023-12-10","159","315038"
"2023-12-17","128","315197"
"2023-12-24","117","315317"
"2023-12-31","182","315447"
"2024-01-07","219","315624"
"2024-01-14","345","315854"
"2024-01-21","339","316204"
"2024-01-28","179","316551"
"2024-02-04","216","316715"
"2024-02-11","193","316943"
"2024-02-18","177","317116"
"2024-02-25","149","317303"
