"Date","Plays"
"2023-04-09","64082"
"2023-04-16","63899"
"2023-04-23","73367"
"2023-04-30","73078"
"2023-05-07","71799"
"2023-05-14","75900"
"2023-05-21","80876"
"2023-05-28","90017"
"2023-06-04","83187"
"2023-06-11","86222"
"2023-06-18","95501"
"2023-06-25","88750"
"2023-07-02","86036"
"2023-07-09","80246"
"2023-07-16","79098"
"2023-07-23","92103"
"2023-07-30","104835"
"2023-08-06","89040"
"2023-08-13","87398"
"2023-08-20","78575"
"2023-08-27","79489"
"2023-09-03","72846"
"2023-09-10","81433"
"2023-09-17","75852"
"2023-09-24","71854"
"2023-10-01","74243"
"2023-10-08","70378"
"2023-10-15","68679"
"2023-10-22","67587"
"2023-10-29","72980"
"2023-11-05","64130"
"2023-11-12","64440"
"2023-11-19","64794"
"2023-11-26","61652"
"2023-12-03","60134"
"2023-12-10","60097"
"2023-12-17","62154"
"2023-12-24","57582"
"2023-12-31","59166"
"2024-01-07","62347"
"2024-01-14","80248"
"2024-01-21","103924"
"2024-01-28","118260"
"2024-02-04","125985"
"2024-02-11","119732"
"2024-02-18","101325"
"2024-02-25","97970"
"2024-03-03","63943"
