"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Here For You","Gorgon City","5766433","7733","580","151","2014-04-08"
"Imagination","Gorgon City","5118659","39936","3227","819","2014-09-15"
"Unmissable","Gorgon City","4848824","6951","538","146","2014-07-21"
"Jessie Ware - Say You Love Me (Gorgon City Remix)","Gorgon City","4040715","65158","4397","1172","2014-09-19"
"Go All Night","Gorgon City","2545765","11326","944","242","2014-09-29"
"Real","Gorgon City","2426809","10488","0","0","2013-02-05"
"All Four Walls","Gorgon City","2016082","64508","5431","1313","2016-03-18"
"Saving My Life","Gorgon City","2001285","7932","709","179","2015-08-17"
"No More","Gorgon City","1901546","3153","248","60","2014-02-25"
"There For You","Gorgon City","1417930","106543","7600","1828","2019-08-15"
"You've Done Enough","Gorgon City","1355614","278281","18916","4543","2021-01-22"
"Voodoo","Gorgon City","1067041","1050484","82718","19379","2023-03-10"
"Imagination (Weiss Dub)","Gorgon City","1051061","0","0","0","2015-03-17"
"Ready For Your Love (MNEK Refix)","Gorgon City","1049698","1603","109","28","2013-11-28"
"Doing It Wrong","Gorgon City","858306","742","40","11","2014-10-06"
"Ready For Your Love (Etherwood Remix)","Gorgon City","793683","21113","1215","285","2014-01-13"
"Lover Like You","Gorgon City","752930","1281","98","26","2014-10-08"
"Here For You (Bearcubs Remix)","Gorgon City","682498","6716","565","119","2014-06-12"
"Here For You ft. Laura Welsh (GRMM Remix)","Gorgon City","651914","5991","536","147","2014-06-11"
"Clean Bandit - Nightingale (Gorgon City Remix)","Gorgon City","624705","7566","524","140","2012-12-03"
"Freeze - Free Download","Gorgon City","601344","5869","462","135","2013-05-30"
"Unmissable (Huxley Remix)","Gorgon City","533860","5769","382","90","2014-08-12"
"6AM","Gorgon City","443280","1388","92","35","2014-10-01"
"FTPA","Gorgon City","411194","1109","107","28","2014-09-30"
"Go Slow","Gorgon City","388442","23131","1406","373","2019-05-02"
"Saving My Life (Warehouse Dub) - Free Download","Gorgon City","383148","5763","415","85","2015-09-22"
"Never Let Me Down","Gorgon City","383131","80632","6693","1738","2021-05-12"
"Unmissable (Metrik Remix)","Gorgon City","375535","0","0","0","2014-08-18"
"Nobody","Gorgon City","364483","50925","3669","904","2020-04-02"
"Go Deep (Zeds Dead Remix)","Gorgon City","361795","18705","1488","396","2018-06-15"
"Gorgon City - Sidewindah (feat. Flirta D)","Gorgon City","358552","199431","9435","2357","2022-10-21"
"Roped In (Extended Mix)","Gorgon City","355995","35438","2517","594","2019-11-15"
"Tell Me It’s True","Gorgon City","353728","101635","7605","1813","2021-04-14"
"Gorgon City b2b Camelphat @ Do-Lab, Coachella 2019","Gorgon City","343429","22975","1477","404","2019-04-19"
"Dillon Francis - Say Less (Gorgon City Remix) Radio Edit","Gorgon City","342876","9475","760","213","2017-05-26"
"Voodoo (Matt Guy Remix)","Gorgon City","310684","301813","82246","13425","2023-04-14"
"Saving My Life (Terrace Dub)","Gorgon City","282835","5758","430","107","2015-10-21"
"Blue Parrot","Gorgon City","261166","6774","438","102","2016-04-01"
"Here For You (Roni Size Remix)","Gorgon City","251504","2602","129","26","2014-05-02"
"Red Bull Studios London Mix Monday","Gorgon City","240882","1707","83","27","2014-01-20"
"Thor","Gorgon City","234686","1419","97","19","2013-02-05"
"Smile (The Magician Remix)","Gorgon City","232626","3920","299","78","2016-10-14"
"Unmissable (DJ Anna Remix)","Gorgon City","226028","2792","221","31","2014-08-14"
"Ready For Your Love","Gorgon City","220441","54826","4369","1158","2016-06-28"
"Primal Call","Gorgon City","216868","8327","596","142","2017-09-15"
"Gorgon City b2b Duke Dumont","Gorgon City","216028","6683","515","124","2017-06-06"
"Here For You (Deetron Remix)","Gorgon City","211341","2675","193","40","2014-06-01"
