"Date","Followers","Listeners"
"2021-03-07","341731","5519483"
"2021-03-14","342648","5563206"
"2021-03-21","343432","5631245"
"2021-03-28","344217","5690049"
"2021-04-04","345533","5767324"
"2021-04-11","346600","5816404"
"2021-04-18","347560","5793684"
"2021-04-25","348843","5766523"
"2021-05-02","350415","5775834"
"2021-05-09","351770","5772986"
"2021-05-16","352981","5831460"
"2021-05-23","354020","5894255"
"2021-05-30","355101","5949681"
"2021-06-06","356090","6070813"
"2021-06-13","356992","6072263"
"2021-06-20","357832","6004757"
"2021-06-27","359370","5942872"
"2021-07-04","360738","5853362"
"2021-07-11","361783","5813836"
"2021-07-18","363024","5795573"
"2021-07-25","364015","5786587"
"2021-08-01","364813","5704047"
"2021-08-08","365714","5582336"
"2021-08-15","366812","5453224"
"2021-08-22","367695","5301765"
"2021-08-29","368805","5179985"
"2021-09-05","369648","5069325"
"2021-09-12","371008","4976118"
"2021-09-19","371882","4905048"
"2021-09-26","372812","4810607"
"2021-10-03","373614","4757717"
"2021-10-10","374565","4705943"
"2021-10-17","375221","4616240"
"2021-10-24","376000","4517510"
"2021-10-31","376876","4449192"
"2021-11-07","377759","4388661"
"2021-11-14","378586","4396842"
"2021-11-21","379608","4402686"
"2021-11-28","380200","4361609"
"2021-12-05","381232","4356689"
"2021-12-12","382085","4267525"
"2021-12-19","382649","4183351"
"2021-12-26","383353","4066199"
"2022-01-02","383927","4036661"
"2022-01-09","384805","3992777"
"2022-01-16","385529","3993047"
"2022-01-23","386178","4113441"
"2022-01-30","387004","4127639"
"2022-02-06","387727","4182595"
"2022-02-13","388365","4279715"
"2022-02-20","389132","4379892"
"2022-02-27","389961","4417847"
"2022-03-06","390695","4413532"
"2022-03-13","391487","4385970"
"2022-03-20","392230","4258664"
"2022-03-27","392977","4160742"
"2022-04-03","393631","4076835"
"2022-04-10","394319","3984743"
"2022-04-17","395254","3993723"
"2022-04-24","396013","3934252"
"2022-05-01","396590","3954687"
"2022-05-08","397173","3954340"
"2022-05-15","397829","3953125"
"2022-05-22","398489","3958561"
"2022-05-29","399172","3930636"
"2022-06-05","399836","3914165"
"2022-06-12","400438","3850436"
"2022-06-19","401036","3821649"
"2022-06-26","401613","3801937"
"2022-07-03","402393","3819470"
"2022-07-10","402775","3841506"
"2022-07-17","403659","3859164"
"2022-07-24","404206","3863377"
"2022-07-31","404858","3828676"
"2022-08-07","405546","3810383"
"2022-08-14","406171","3789987"
"2022-08-21","406817","3736921"
"2022-08-28","407458","3677936"
"2022-09-04","403656","3686782"
"2022-09-11","404311","3748492"
"2022-09-18","404827","3785098"
"2022-09-25","405440","3827174"
"2022-10-02","406009","3785541"
"2022-10-09","406539","3675836"
"2022-10-16","407296","3626721"
"2022-10-23","407947","3611579"
"2022-10-30","408718","3652293"
"2022-11-06","409414","3695330"
"2022-11-13","410184","3735193"
"2022-11-20","410861","3714571"
"2022-11-27","411486","3629458"
"2022-12-04","412985","3577953"
"2022-12-11","413923","3463853"
"2022-12-18","414638","3395073"
"2022-12-25","415226","3351581"
"2023-01-01","415799","3318903"
"2023-01-08","416472","3346874"
"2023-01-15","417125","3391690"
"2023-01-22","417738","3413191"
"2023-01-29","418426","3449775"
"2023-02-05","419125","3520155"
"2023-02-12","419795","3542788"
"2023-02-19","420420","3571784"
"2023-02-26","421076","3554587"
"2023-03-05","421832","3507913"
"2023-03-12","422694","3508849"
"2023-03-19","423644","3615501"
"2023-03-26","424782","3752783"
"2023-04-02","425548","3828021"
"2023-04-09","426234","3925089"
"2023-04-16","426712","3938008"
"2023-04-23","427519","3954427"
"2023-04-30","428380","4055479"
"2023-05-07","429068","4125541"
"2023-05-14","429803","4190453"
"2023-05-21","430536","4227830"
"2023-05-28","431235","4287384"
"2023-06-04","432104","4334613"
"2023-06-11","433082","4453028"
"2023-06-18","433976","4591310"
"2023-06-25","434733","4636353"
"2023-07-02","435625","4678208"
"2023-07-09","436305","4628311"
"2023-07-16","437136","4526616"
"2023-07-23","438346","4497709"
"2023-07-30","439650","4477345"
"2023-08-06","440740","4457650"
"2023-08-13","441798","4478920"
"2023-08-20","442627","4496325"
"2023-08-27","443435","4487478"
"2023-09-03","444120","4457159"
"2023-09-10","444780","4423607"
"2023-09-17","445249","4327832"
"2023-09-24","445832","4196345"
"2023-10-01","446606","4082758"
"2023-10-08","447268","4002144"
"2023-10-15","447953","3933315"
"2023-10-22","447197","3905175"
"2023-10-29","448003","3873702"
"2023-11-05","448793","3800098"
"2023-11-12","449590","3773520"
"2023-11-19","450454","3740988"
"2023-11-26","451135","3669097"
"2023-12-03","452081","3660104"
"2023-12-10","452885","3632521"
"2023-12-17","453401","3611485"
"2023-12-24","453074","3606704"
"2023-12-31","453368","3563464"
"2024-01-07","453961","3606050"
"2024-01-14","454641","3714260"
"2024-01-21","455448","3846627"
"2024-01-28","456021","3994625"
"2024-02-04","456597","4055192"
"2024-02-11","456177","4059120"
"2024-02-18","456195","4007293"
"2024-02-25","456950","3972741"
