"Date","Streams"
"2023-04-02","3241382"
"2023-04-09","2834305"
"2023-04-16","2799995"
"2023-04-23","3046536"
"2023-04-30","3840303"
"2023-05-07","3397906"
"2023-05-14","3477890"
"2023-05-21","3525864"
"2023-05-28","3724409"
"2023-06-04","3659841"
"2023-06-11","3772029"
"2023-06-18","4009693"
"2023-06-25","3903628"
"2023-07-02","3677850"
"2023-07-09","3748303"
"2023-07-16","3639138"
"2023-07-23","3659724"
"2023-07-30","4136099"
"2023-08-06","3817346"
"2023-08-13","3733958"
"2023-08-20","3839583"
"2023-08-27","3730229"
"2023-09-03","3396552"
"2023-09-10","3443419"
"2023-09-17","3676450"
"2023-09-24","2765467"
"2023-10-01","3245888"
"2023-10-08","3174290"
"2023-10-15","3069571"
"2023-10-22","3081800"
"2023-10-29","3114041"
"2023-11-05","2963732"
"2023-11-12","3048728"
"2023-11-19","2088940"
"2023-11-26","3816170"
"2023-12-03","2999851"
"2023-12-10","2346058"
"2023-12-17","2451131"
"2023-12-24","3222555"
"2023-12-31","2151252"
"2024-01-07","1919593"
"2024-01-14","3698432"
"2024-01-21","4520303"
"2024-01-28","2990356"
"2024-02-04","3189218"
"2024-02-11","3536406"
"2024-02-18","3133559"
"2024-02-25","3145731"
