"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Voodoo","Gorgon City","36306103","35838461","2796418","671394","2023-03-10"
"You've Done Enough","Gorgon City, DRAMA","68712962","13807782","1166290","286527","2021-01-29"
"Biggest Regret (feat. BbyAfricka)","Gorgon City, Bbyafricka","1907060","1628893","949106","215326","2024-01-12"
"Remember (feat. Stevie Appleton)","Sonny Fodera, Gorgon City, Danny Howard, Stevie Appleton","21777798","11993001","857743","190173","2022-09-02"
"Ready For Your Love","Gorgon City, MNEK","126285669","11032850","751881","179365","2014-01-01"
"Imagination","Gorgon City","85086778","8465288","579321","136204","2014-01-01"
"Nobody","Gorgon City, DRAMA","45090998","7045987","519271","107217","2020-04-03"
"House Arrest","Sofi Tukker, Gorgon City","53609254","5131186","312457","79537","2020-05-15"
"Real Life","Duke Dumont, Gorgon City, Naations","84731517","4655066","324855","79073","2017-06-02"
"Biggest Regret (feat. Bbyafricka) - Drum & Bass Remix","Gorgon City, Bbyafricka","134603","70005","70005","70005","2024-02-16"
"Lost & Found","Gorgon City, DRAMA","3472682","3278145","223849","56830","2023-06-28"
"Where You Are - Gorgon City Remix","John Summit, Hayla, Gorgon City","3007303","2848830","230108","55714","2023-06-09"
"Foolproof","Hayden James, Gorgon City, Nat Dunn","23081727","3474578","211921","54281","2021-03-19"
"Sidewindah (feat. Flirta D)","Gorgon City, Flirta D","6664832","3462483","190726","47148","2022-10-21"
"There For You","Gorgon City, MK","60618581","3063216","220393","44395","2019-08-16"
"A Lot Like Heaven - Space Motion Remix","Gorgon City, Julia Church, Space Motion","1189070","1082344","146144","36514","2023-09-22"
"Biggest Regret (feat. Bbyafricka) - Drumsheds Version","Gorgon City, Bbyafricka","144796","97582","97582","35377","2024-02-09"
"Burning - Snakehips Remix","Gorgon City, Evan Giia, Snakehips","14642508","2986583","169707","33463","2020-11-06"
"Tell Me It’s True","Gorgon City","14033513","1840898","156863","31513","2021-04-21"
"All Four Walls","Gorgon City, Vaults","57443522","1987204","117827","31195","2016-03-18"
"All Four Walls - Graves Remix","Gorgon City, Vaults","57443522","1987204","117827","31195","2016-04-29"
"Pose","Gorgon City, NEZ","2292322","2134554","103981","24707","2023-07-21"
"Go Slow (with Kaskade)","Gorgon City, Kaskade, Roméo","25154443","1618892","100778","23609","2019-05-09"
"Somebody To Love - Gorgon City Remix","Ben Kim, Gorgon City","6505735","1646999","81550","21510","2022-01-21"
"Alive","Pax, Gorgon City","16231804","1384264","107604","20279","2020-11-20"
"Never Let Me Down","Gorgon City, Hayley May","14304039","1332166","73558","18751","2021-05-14"
"Roped In","Gorgon City","11813644","1159197","73034","18361","2019-11-22"
"Go All Night","Gorgon City, Jennifer Hudson","29838763","1048984","72875","18359","2014-01-01"
"Unmissable","Gorgon City, Zak Abel","27046444","1043702","69871","17807","2014-01-01"
"Saving My Life","Gorgon City, ROMANS","42518994","1208209","68218","17226","2015-08-14"
"Baggage (with AlunaGeorge)","Gryffin, Gorgon City, AlunaGeorge","20034605","1026702","65592","16885","2019-09-19"
"Oxygen","Gorgon City, Aura James","3559498","845122","59563","15259","2021-06-25"
"Here For You","Gorgon City, Laura Welsh","22652444","909373","52681","13999","2014-01-01"
"Rumblah","Gorgon City","2197600","1620579","51429","12415","2023-01-27"
"Voodoo - Matt Guy Remix","Gorgon City, Matt Guy","823686","765400","65458","12371","2023-04-14"
"Dreams","Gorgon City, Jem Cooke","7793624","911128","50808","12176","2021-06-21"
"Gasoline","Gorgon City, Santino Le Saint","641539","607292","46539","11291","2023-07-21"
"Here For You - Bearcubs Remix","Gorgon City, Laura Welsh","10919286","337461","40629","11289","2014-01-01"
"Burning","Gorgon City, Evan Giia","8035217","658080","42854","10576","2020-09-18"
"Heartless","Gorgon City, RAHH","564485","526554","39766","9984","2023-07-21"
