"Date","Spotify streams","Youtube views","Instagram post likes","Shazams","Airplay spins","X likes","Soundcloud plays","Tiktok likes"
"2023-03-06","66482075","42534275","61000","160514","23000","143","116046","1035596"
"2023-03-13","65069777","44764723","37500","324941","31985","8841","312675","623933"
"2023-03-20","74486943","57358036","15500","297501","31969","1409","881039","427390"
"2023-03-27","75325560","48315614","189000","389153","31314","5495","976808","405185"
"2023-04-03","84835618","45104319","117000","438203","30668","12416","1284502","242104"
"2023-04-10","74220980","49834864","214000","426256","31084","40","899593","696649"
"2023-04-17","74748061","62913428","173000","406653","30409","0","753480","375513"
"2023-04-24","82541090","55784033","281000","462048","30686","0","786421","1410333"
"2023-05-01","103596075","49645743","304500","444254","30591","0","721569","374663"
"2023-05-08","90491197","50696633","89500","418049","43788","0","643674","198118"
"2023-05-15","91476131","53929827","85000","440428","40386","0","653545","184146"
"2023-05-22","92265564","43906710","20000","428737","44223","0","599578","135725"
"2023-05-29","94626623","46068392","106333","419747","43502","0","621943","123116"
"2023-06-05","94828203","43795413","234667","407885","44293","0","587186","104814"
"2023-06-12","93769857","44268254","74000","405566","44884","0","528756","169190"
"2023-06-19","94974623","48111153","218500","397654","44669","0","538006","63186"
"2023-06-26","91922789","45559506","32500","373417","43956","0","500315","59019"
"2023-07-03","89788583","49758726","68000","374404","43994","0","456878","82655"
"2023-07-10","89548583","47755828","273500","355407","43997","0","441008","84807"
"2023-07-17","88240651","46357665","223000","358377","43627","0","409446","46515"
"2023-07-24","87749775","47757907","203500","356499","42857","0","429318","119453"
"2023-07-31","87004508","46480606","290000","367787","42236","0","433131","81562"
"2023-08-07","93633945","50226080","147000","409254","41739","0","486332","187927"
"2023-08-14","90525270","43678596","184000","398799","41318","0","511773","1737658"
"2023-08-21","89849823","44841924","198000","403678","40695","0","513322","190537"
"2023-08-28","91619686","48621932","251000","446964","39808","0","527804","276493"
"2023-09-04","89928442","48157852","304000","392162","39290","0","506238","159349"
"2023-09-11","90404146","45550527","121000","371004","38767","0","535165","228044"
"2023-09-18","102749628","41443512","38333","363787","35869","0","519635","85339"
"2023-09-25","78000997","46416257","13667","352790","34578","0","511115","104441"
"2023-10-02","87795273","41472383","6332","342291","34151","0","494939","9547"
"2023-10-09","85545153","46960019","668","330092","32508","0","474126","7871"
"2023-10-16","82046972","40838068","0","309364","33901","0","450948","4589"
"2023-10-23","82650966","36032758","0","296042","33181","0","437432","2976"
"2023-10-30","82134553","39360752","0","300583","36939","0","436534","1497"
"2023-11-06","80664178","41131030","3250","292580","36031","0","403521","794"
"2023-11-13","81349746","31462913","12082","281872","35379","0","406594","177"
"2023-11-20","57172064","40072837","54668","303039","35161","0","396726","0"
"2023-11-27","109380707","38854541","92000","345696","36294","0","396255","1848"
"2023-12-04","87297364","31531071","103000","259361","37214","0","373996","1852"
"2023-12-11","75848203","42440449","10000","246678","36745","0","382963","0"
"2023-12-18","63555871","34160224","0","238669","36822","0","363974","0"
"2023-12-25","78967672","40995659","0","234220","36400","0","344122","0"
"2024-01-01","85466099","41471151","0","256130","37610","0","351364","0"
"2024-01-08","46586750","19147275","0","347605","33193","0","364401","0"
"2024-01-15","105281152","14662105","0","300485","39430","0","366353","0"
"2024-01-22","128089287","14175333","3000","250179","39386","0","344238","0"
"2024-01-29","79181460","14135077","14125","255212","39442","0","349012","0"
"2024-02-05","95687080","13308386","21875","246466","37749","0","341712","5705"
"2024-02-12","100831283","13590206","0","243135","39124","0","356105","9515"
"2024-02-19","88989872","13225999","0","242007","39044","0","345599","0"
"2024-02-26","95357178","13942075","0","256787","37784","0","373985","0"
