"Date","Spotify followers total","Spotify followers new","Youtube subscribers total","Youtube subscribers new","Instagram followers total","Instagram followers new","Facebook followers total","Facebook followers new","Deezer fans total","Deezer fans new","X followers total","X followers new","Soundcloud followers total","Soundcloud followers new","Tiktok followers total","Tiktok followers new"
"2023-03-06","23226441","8292","18700000","0","10733266","12409","14876443","-1697","11642412","1542","11782344","-3467","7179151","255","937300","69100"
"2023-03-13","23242045","15771","18700000","0","10749541","14156","14870178","-6197","11645239","2721","11777171","-4745","7179716","530","980800","31633"
"2023-03-20","23255723","13956","18700000","0","10760926","13504","14866765","-3385","11648263","3105","11771335","-5831","7180577","853","1000000","24567"
"2023-03-27","23268570","12818","18700000","0","10782286","17216","14862613","-4191","11651249","2978","11760798","-10048","7181343","798","1000000","0"
"2023-04-03","23282135","13660","18700000","50000","10795411","17269","14860258","-2409","11654241","2986","11750254","-11054","7182111","744","1100000","87500"
"2023-04-10","23302747","18005","18800000","110000","10819064","22442","14857394","-2884","11657275","3048","11749118","-1982","7182804","722","1100000","12500"
"2023-04-17","23313405","13446","18900000","102500","10833330","15477","14856261","-1339","11660103","2823","11749118","0","7183396","566","1100000","50000"
"2023-04-24","23337935","22413","19000000","37500","10852812","22829","14853953","-2516","11663343","3162","11749118","0","7184091","690","1200000","50000"
"2023-05-01","23352656","16384","19000000","0","10878023","18959","14850519","-3054","11666627","3337","11749118","0","7184564","523","1200000","0"
"2023-05-08","23366803","14369","19000000","0","10876526","1409","14847513","-2892","11669556","2958","11749118","0","7184971","382","1200000","0"
"2023-05-15","23375014","8006","19000000","0","10888720","12194","14843916","-3491","11672363","2859","11749118","0","7185374","416","1200000","0"
"2023-05-22","23389903","15125","19000000","0","10899742","11022","14840699","-3337","11675824","3361","11749118","0","7185679","334","1200000","0"
"2023-05-29","23403745","13767","19000000","0","10917053","15293","14837674","-2987","11678901","3104","11749118","0","7186120","411","1200000","0"
"2023-06-05","23417437","13918","19000000","0","10930015","14980","14834661","-3030","11682104","3196","11749118","0","7186567","448","1200000","0"
"2023-06-12","23418424","1688","19000000","0","10966322","36307","14831213","-3525","11685258","3192","11749118","0","7186828","283","1200000","0"
"2023-06-19","23433748","13975","19000000","0","10999553","27977","14826753","-4168","11688495","3179","11749118","0","7187083","249","1200000","0"
"2023-06-26","23448553","15058","19000000","0","11012350","18051","14823153","-3824","11691658","3231","11749118","0","7187402","308","1200000","0"
"2023-07-03","23464887","15648","19000000","0","11024333","11983","14819538","-3592","11694990","3281","11749118","0","7187834","431","1200000","0"
"2023-07-10","23481231","17779","19000000","50000","11045472","18942","14816088","-3436","11697996","3022","11749118","0","7188342","540","1200000","0"
"2023-07-17","23496862","14643","19100000","50000","11059547","13204","14819643","3548","11701881","3708","11749118","0","7188813","417","1200000","25000"
"2023-07-24","23511701","15074","19100000","0","11095268","33252","14815249","-4204","11706236","4390","11749118","0","7189382","556","1300000","75000"
"2023-07-31","23529327","17185","19100000","0","11121916","26557","14811290","-3887","11710798","4483","11749118","0","7190019","623","1300000","0"
"2023-08-07","23546998","17812","19100000","0","11142673","26385","14808023","-3759","11714229","3643","11749118","0","7190776","774","1300000","0"
"2023-08-14","23563066","16354","19100000","0","11164941","19380","14804154","-3645","11717473","3256","11749118","0","7191318","553","1300000","0"
"2023-08-21","23579596","16306","19100000","0","11190094","24108","14800449","-3695","11721891","4309","11749118","0","7191834","545","1300000","0"
"2023-08-28","23595771","16245","19100000","0","11223624","37463","14796364","-4196","11727068","5128","11749118","0","7192392","530","1300000","0"
"2023-09-04","23611007","15501","19100000","0","11255380","31756","14792697","-3487","11731805","4706","11749118","0","7192930","579","1300000","0"
"2023-09-11","23625570","14457","19100000","0","11271354","18814","14788821","-3903","11736694","4924","11749118","0","7193404","449","1300000","0"
"2023-09-18","23638686","13292","19100000","0","11302875","25632","14785770","-3574","11741451","4655","11749118","0","7193719","346","1300000","0"
"2023-09-25","23652298","13786","19100000","0","11313292","13466","14782527","-2806","11745697","4358","11749118","0","7193906","223","1300000","0"
"2023-10-02","23667333","14553","19100000","0","11322150","10475","14779085","-3419","11749577","3881","11749118","0","7194195","243","1300000","0"
"2023-10-09","23683669","13868","19100000","0","11333414","8426","14775836","-3308","11753486","3443","11749118","0","7194394","204","1300000","0"
"2023-10-16","23698449","14546","19100000","0","11336184","3991","14772618","-3064","11757045","3603","11749118","0","7194549","169","1300000","0"
"2023-10-23","23379702","-318459","19100000","0","11338809","3884","14768167","-4677","11760920","3851","11749118","0","7194691","155","1300000","0"
"2023-10-30","23395525","15663","19100000","0","11345307","4413","14766532","-1699","11764750","3795","11749118","0","7194818","108","1300000","0"
