"Date","Spotify followers","Youtube subscribers","Instagram followers","Facebook followers","Deezer fans","X followers","Soundcloud followers","Tiktok followers"
"2023-03-06","8292","0","12409","-1697","1542","-3467","255","69100"
"2023-03-13","15771","0","14156","-6197","2721","-4745","530","31633"
"2023-03-20","13956","0","13504","-3385","3105","-5831","853","24567"
"2023-03-27","12818","0","17216","-4191","2978","-10048","798","0"
"2023-04-03","13660","50000","17269","-2409","2986","-11054","744","87500"
"2023-04-10","18005","110000","22442","-2884","3048","-1982","722","12500"
"2023-04-17","13446","102500","15477","-1339","2823","0","566","50000"
"2023-04-24","22413","37500","22829","-2516","3162","0","690","50000"
"2023-05-01","16384","0","18959","-3054","3337","0","523","0"
"2023-05-08","14369","0","1409","-2892","2958","0","382","0"
"2023-05-15","8006","0","12194","-3491","2859","0","416","0"
"2023-05-22","15125","0","11022","-3337","3361","0","334","0"
"2023-05-29","13767","0","15293","-2987","3104","0","411","0"
"2023-06-05","13918","0","14980","-3030","3196","0","448","0"
"2023-06-12","1688","0","36307","-3525","3192","0","283","0"
"2023-06-19","13975","0","27977","-4168","3179","0","249","0"
"2023-06-26","15058","0","18051","-3824","3231","0","308","0"
"2023-07-03","15648","0","11983","-3592","3281","0","431","0"
"2023-07-10","17779","50000","18942","-3436","3022","0","540","0"
"2023-07-17","14643","50000","13204","3548","3708","0","417","25000"
"2023-07-24","15074","0","33252","-4204","4390","0","556","75000"
"2023-07-31","17185","0","26557","-3887","4483","0","623","0"
"2023-08-07","17812","0","26385","-3759","3643","0","774","0"
"2023-08-14","16354","0","19380","-3645","3256","0","553","0"
"2023-08-21","16306","0","24108","-3695","4309","0","545","0"
"2023-08-28","16245","0","37463","-4196","5128","0","530","0"
"2023-09-04","15501","0","31756","-3487","4706","0","579","0"
"2023-09-11","14457","0","18814","-3903","4924","0","449","0"
"2023-09-18","13292","0","25632","-3574","4655","0","346","0"
"2023-09-25","13786","0","13466","-2806","4358","0","223","0"
"2023-10-02","14553","0","10475","-3419","3881","0","243","0"
"2023-10-09","13868","0","8426","-3308","3443","0","204","0"
"2023-10-16","14546","0","3991","-3064","3603","0","169","0"
"2023-10-23","-318459","0","3884","-4677","3851","0","155","0"
"2023-10-30","15663","0","4413","-1699","3795","0","108","0"
"2023-11-06","15527","0","2747","-3906","3617","0","137","0"
"2023-11-13","14752","0","-179","-3568","4116","0","128","0"
"2023-11-20","15817","0","1259","-4665","4698","0","148","0"
"2023-11-27","15144","0","3137","-2074","3653","0","314","50000"
"2023-12-04","29680","62500","701","-2368","3343","0","198","50000"
"2023-12-11","22260","37500","-2486","-2834","2812","0","225","0"
"2023-12-18","-6740","0","1252","-4163","2712","0","361","0"
"2023-12-25","-282595","0","418","-2781","2494","0","340","0"
"2024-01-01","-89610","0","-2744","-2935","2875","0","466","0"
"2024-01-08","-44291","0","-8232","-3105","3422","0","377","0"
"2024-01-15","-45111","0","0","-3784","2917","0","339","0"
"2024-01-22","-43351","0","-10554","-2862","4653","0","946","0"
"2024-01-29","-40072","0","-5015","-2790","5345","0","732","0"
"2024-02-05","-38469","0","-2495","-4364","4706","0","436","0"
"2024-02-12","-289597","0","0","-2891","4356","0","357","0"
"2024-02-19","-231988","0","0","-6814","4250","0","969","0"
"2024-02-26","12501","0","0","-3633","5079","0","1204","0"
