"Country","Instagram Followers","Instagram Followers (%)"
"United States","1647227","19.39%"
"Brazil","1185671","13.96%"
"Mexico","823619","9.70%"
"United Kingdom","724115","8.53%"
"India","566581","6.67%"
"Italy","514063","6.05%"
"Indonesia","475377","5.60%"
"Colombia","304022","3.58%"
"Peru","237683","2.80%"
"France","237683","2.80%"
"Chile","232161","2.73%"
"Australia","198996","2.34%"
"Venezuela","193463","2.28%"
"Spain","193463","2.28%"
"Argentina","190697","2.25%"
"Philippines","176887","2.08%"
"Canada","171354","2.02%"
"Russian Federation","143723","1.69%"
"Germany","140956","1.66%"
"China","135423","1.59%"
