"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"Calvin Harris - Summer (Extended)","Calvin Harris","85188191","1953784","137828","34647","2014-04-07"
"Calvin Harris + Disciples - How Deep Is Your Love (Calvin Harris & R3hab Remix)","Calvin Harris","17869610","173469","12911","3463","2015-08-07"
"Summer (Diplo & Grandtheft Remix)","Calvin Harris","17672789","103854","5742","1464","2014-06-20"
"Calvin Harris - C.U.B.A","Calvin Harris","16967712","145911","10402","2655","2014-06-23"
"Fatboy Slim & Riva Star - Eat Sleep Rave Repeat (Calvin Harris Remix)","Calvin Harris","14581540","126975","8641","2020","2013-07-23"
"Miracle (with Ellie Goulding)","Calvin Harris","11548720","11325437","294456","70631","2023-03-10"
"Calvin Harris / Alesso / Hurts - Under Control PREVIEW","Calvin Harris","11005233","195097","0","0","2013-09-18"
"Calvin Harris feat Haim - Pray To God (Mike Pickering vs Calvin Harris Hacienda Remix)","Calvin Harris","10896820","344306","16911","4128","2015-02-10"
"Slide Ft. Frank Ocean & Migos","Calvin Harris","9970407","219632","15081","3909","2017-02-24"
"Calvin Harris - Live At EDC Las Vegas 2014 FREE DOWNLOAD","Calvin Harris","8674041","94094","6472","1558","2014-06-24"
"Summer (R3hab & Ummet Ozcan remix)","Calvin Harris","8464662","334640","15601","3988","2014-06-20"
"Calvin Harris - I Need Your Love feat. Ellie Goulding (acapella)","Calvin Harris","7026105","59494","4184","930","2013-07-10"
"Giant","Calvin Harris","6061384","387762","30083","7904","2019-01-11"
"Calvin Harris & R3hab - Burnin'","Calvin Harris","3979861","14396","1519","389","2014-10-10"
"How Deep Is Your Love","Calvin Harris","3537797","233947","25524","6593","2015-07-17"
"Desire (Preview)","Calvin Harris","3534225","3474749","259646","63142","2023-07-17"
"Calvin Harris Live @ EDC New York FREE DOWNLOAD","Calvin Harris","3233364","22001","1577","399","2014-05-28"
"Calvin Harris - Outside feat Ellie Goulding Acapella","Calvin Harris","2848993","0","0","0","2015-03-17"
"Calvin Harris - Blame feat John Newman Acapella","Calvin Harris","2778428","0","0","0","2015-03-17"
